motif,Naive,CM,EM,PD1_Low
REV1ctd,-0.15947712418300652,-0.2494076797385621,-0.035069444444444445,-0.1381717501815541
NRBOX,-0.0925925925925926,-0.21222009975591638,0.12782553326965934,-0.09110686617849943
Clathr,0.12333793420749942,0.19866574649183344,-0.017563837129054523,0.06781688520818956
DLG,0.08149744572158366,-0.04066890166028097,0.18043582375478928,0.038527032779906344
CSL,0.029538904899135448,0.16131924431636246,0.058373358949727824,0.0871384352652364
MYND,0.0889330443159923,0.12677959751659174,0.1534066581031899,0.14553896381931064
IRF7,0.14541306436119117,0.04179474863912904,0.07602465577969901,0.11029992528551606
TYR,0.04203670254133113,0.08034377796175042,0.1274742229246632,0.0651876381536952
BRCT,0.03899585217717129,0.12739305849650134,0.08298259831472912,0.06767588308251786
APCC,0.09650019254124825,0.07537249326105631,0.12210077312716609,0.09562881996899593
Integrin,-0.11748318924111431,0.049199487672110145,-0.011607428754402817,-0.04752908528124667
ANK,0.07082727713178294,0.0717155200258398,0.04250444121447028,0.10223541128337639
EVH1,0.09981319038336582,0.062077647823261854,0.04540285899935023,0.04051873510937839
PTB,-0.03815494393476045,-0.09964661909616038,-0.06753143051308189,-0.047238645373201944
TRFH,-0.025654177014721235,0.09804556743332253,0.06315012777597812,0.059322847304706716
LYPXL,-0.09502713920817368,-0.04657567049808429,-0.044999201787994894,-0.03045843976160068
deltaCOP1,0.02476718047527296,0.09133483194176836,0.05590344679940056,0.07016698779704561
WRC,0.005371953149730928,0.051807534029756255,0.08890471668249446,0.022862720270127677
PCNA,0.028628939498504716,0.08775017253278122,0.03622038187255579,0.0816731845717353
eIF4E,-0.048621204780361756,-0.0873405200258398,-0.08570534560723514,-0.03348406546080965
CYCLIN,0.03970648489589153,0.08522483890192573,0.05003235929526577,0.04911473659378452
TRAF4,0.032393909944930355,0.08307238239211027,-0.03629917575495807,0.0174207249037181
NRP,0.08261858349577647,0.001031513970110462,-0.012110136452241713,0.06678037686809617
TRAF6,0.079254693289781,-0.025727481867832747,0.08174402472648086,0.05827464891792378
Pex14,-0.011735026041666667,0.08145887586805556,0.04335666232638889,0.048750361689814815
CDC14,-0.014225104066602628,0.016026256804354787,-0.07995517130963817,0.03973209520759953
GBD,0.05491698595146871,-0.06842672413793104,-0.049788473818646234,-0.005893465304384844
SH2,0.046326050864906404,0.040112934446909394,0.0581881552046631,0.0678956964925254
PP2B,-0.05781094990079365,0.05207299933862434,0.04604311342592593,0.06555025077160494
PP1,0.00381521872749943,0.06277768997067243,0.024151344326782925,0.055075543379636945
Actin,-0.043236714975845414,-0.037209569818265474,-0.06177823786519438,-0.003887738670347366
LIR,0.03163158275462963,0.02819507740162037,0.0596412941261574,0.05151909722222223
MAPK,0.008832883035010694,0.05822005516154452,-0.006850866824271079,0.052079815377687716
SUMO,0.04572869889532793,0.05640015721298178,0.01339864361991253,0.04075899863135507
PDZ,-0.013261228291295259,-0.05590292014031251,0.023425913271478395,-0.022216148087406806
BIR,-0.004926596003898637,0.03175636574074074,-0.051910102948343084,0.03157869355100715
CKS1,0.008404116926844198,0.03972681359044996,0.004327364554637282,0.0514194980104071
14-3-3,0.005004790128757071,0.03886662770960292,0.048810120091111825,0.01902436406568638
WD40,0.002521133295634143,0.04471250743109023,0.019855057491263938,0.030771963402786845
WW,0.02411279339902267,0.04427497587194775,0.010299245068531297,0.012086596501400634
FHA,-0.009328010215794307,-0.0016966540404040403,0.040600877381772274,0.003759481653657791
UBA3,-0.040414688192465964,-0.019870212092434315,0.009531497309275086,0.016887200590904292
PP4,-0.006095283317505541,0.011722063944286166,-0.036850269072491296,-0.005777144666033555
PP2A,-0.03682989772331465,0.017102846648301192,0.008098223615464995,0.02610659010867997
SH3,0.014352497823572204,-0.03619627999793289,-0.03108813439391952,-0.023062515486757914
MSH2,0.03229166666666666,-0.02267156862745098,-0.03174019607843137,0.0017973856209150326
TRAF2like,0.027734644582470668,0.0023953301127214166,0.03137796181274442,-0.005770263016639829
Arc,-0.012551362152425981,-0.023528087357874594,0.00018011932905549928,-0.02805405456114676
USP7,-0.01735031523945243,-0.0006702436988095754,0.02145454578169308,0.0027469495664857757
