ELM,n_with,n_without,u_stat,pvalue,cliff_delta,n_pairs,mean_with,mean_without,median_with,median_without,phenotype,qvalue,sig_stars
14-3-3,121,231,512375.5,0.4867780412775934,0.01840025600356179,1006236,-1.2656696633529478,-0.6337302761578141,-2.0191578482910626,-2.9322822284030248,Naive_High,0.8841530856102738,
ANK,8,344,46222.0,0.42758716301694977,-0.06690083979328165,99072,-4.127189999722798,-0.7747680321522655,-2.6538443667212714,-2.5039068583319306,Naive_High,0.8841530856102738,
APCC,11,341,72799.0,0.2788497201930632,0.07821617938919992,135036,-0.8548579833094389,-0.8508336810608736,-0.7499992589225318,-2.5688274039054475,Naive_High,0.8841530856102738,
Actin,7,345,40495.0,0.44711707991861926,-0.06843800322061191,86940,-5.990437649433808,-0.7466801724989134,-2.1826932252625926,-2.5227821883926476,Naive_High,0.8841530856102738,
Arc,70,282,350792.0,0.6856697398610286,-0.012743442530676573,710640,-1.5037901071020927,-0.6889092750390613,-2.5108218878118205,-2.5116844697150467,Naive_High,0.8841530856102738,
BIR,48,304,250248.0,0.1970230245408442,-0.047240497076023395,525312,-1.5805625253449724,-0.735758953426326,-3.9804412404205887,-2.329204509727073,Naive_High,0.801912215406408,
BRCT,41,311,242422.0,0.15121824276285284,0.05622216993874119,459036,-0.3257888244057313,-0.9201941519534624,-1.312644250449679,-2.7571605375166834,Naive_High,0.801912215406408,
CDC14,5,347,26872.0,0.18886461019784972,-0.13954530899775858,62460,-5.638580791065018,-0.7819735420831029,-4.651027113354028,-2.5039068583319306,Naive_High,0.801912215406408,
CKS1,22,330,131866.0,0.8612742770254475,0.009075604530149984,261360,-1.2508724344016484,-0.8242985742464408,-1.606197210906875,-2.585679633812312,Naive_High,0.9566893696109318,
CSL,5,347,31638.0,0.9022051921744536,0.013064361191162345,62460,-2.9475792132520002,-0.8207487809564891,-1.2365868830110052,-2.5548261174554963,Naive_High,0.9566893696109318,
CYCLIN,38,314,220629.0,0.500987347863641,0.027251648228852385,429552,-1.1913736612256804,-0.809762815068745,-2.053276081438214,-2.5611493446021782,Naive_High,0.8841530856102738,
Clathr,7,345,50978.0,0.055011498286789765,0.17271681619507706,86940,2.861002259065148,-0.9262746054249793,-0.4711196093533907,-2.5688274039054475,Naive_High,0.5391126832105397,
DLG,4,348,26404.0,0.6500973978327488,0.05379948914431673,50112,1.144890596576759,-0.8739002455300827,-1.3661894394322642,-2.5490993821307173,Naive_High,0.8841530856102738,
EVH1,10,342,70704.0,0.049557595812846016,0.14853801169590644,123120,3.344269876228594,-0.9736269643872743,-1.2925598477420797,-2.5611493446021782,Naive_High,0.5391126832105397,
FHA,176,176,556118.5,0.9176408239125264,-0.002599682908631772,1115136,-1.4222765532171777,-0.2796423277951052,-2.4040502423491596,-2.706788003619374,Naive_High,0.9566893696109318,
GBD,4,348,26056.0,0.7365126943784497,0.03991060025542784,50112,1.6390461217671133,-0.8795801940954893,-3.9974462455296855,-2.5039068583319306,Naive_High,0.9253621031934367,
IRF7,5,347,35604.0,0.18724605287126406,0.14005763688760806,62460,0.37167808254746065,-0.8685766958815535,-0.5842996271156023,-2.5580831774240935,Naive_High,0.801912215406408,
