ELM,contrast,effect_low,effect_high,diff,pvalue,qvalue
14-3-3,PD1Low_vs_PD1High,0.01902436406568638,0.04276332788729483,-0.023738963821608453,0.09687202058663644,0.22603471470215167
ANK,PD1Low_vs_PD1High,0.10223541128337639,0.021129414298018945,0.08110599698535745,0.08031027516704844,0.22603471470215167
APCC,PD1Low_vs_PD1High,0.09562881996899593,0.10035348598398453,-0.004724666014988596,0.4575864001091857,0.6059928001445972
Actin,PD1Low_vs_PD1High,-0.003887738670347366,-0.09092860976918948,0.08704087109884212,1.0,1.0
Arc,PD1Low_vs_PD1High,-0.02805405456114676,0.004121167773650043,-0.032175222334796805,0.09398938565147591,0.22603471470215167
BIR,PD1Low_vs_PD1High,0.03157869355100715,-0.0482989156920078,0.07987760924301496,0.15559809898225554,0.3314916021795879
BRCT,PD1Low_vs_PD1High,0.06767588308251786,0.09857178957641666,-0.030895906493898798,0.00022938931295588086,0.005620038167419081
CDC14,PD1Low_vs_PD1High,0.03973209520759953,-0.09183477425552354,0.13156686946312307,1.0,1.0
CKS1,PD1Low_vs_PD1High,0.0514194980104071,-0.016447301295786143,0.06786679930619324,0.02522911776593738,0.104803483632444
CSL,PD1Low_vs_PD1High,0.0871384352652364,0.07901590351158073,0.008122531753655668,0.2909022152051671,0.4338678750994349
CYCLIN,PD1Low_vs_PD1High,0.04911473659378452,0.06752771880160414,-0.018412982207819624,0.01887926461860623,0.10278710736796724
Clathr,PD1Low_vs_PD1High,0.06781688520818956,0.13514301050532931,-0.06732612529713976,0.08586271428825736,0.22603471470215167
DLG,PD1Low_vs_PD1High,0.038527032779906344,0.10898254576415496,-0.07045551298424862,0.16436474421680855,0.33557801944265075
EVH1,PD1Low_vs_PD1High,0.04051873510937839,0.09767706302794021,-0.057158327918561826,0.2973455748770761,0.4338678750994349
FHA,PD1Low_vs_PD1High,0.003759481653657791,0.015957993763391493,-0.012198512109733701,0.2083356554696006,0.37381883960080253
GBD,PD1Low_vs_PD1High,-0.005893465304384844,-0.03630534269902086,0.030411877394636015,1.0,1.0
IRF7,PD1Low_vs_PD1High,0.11029992528551606,0.06518838723449673,0.045111538051019334,0.9342858275539498,1.0
Integrin,PD1Low_vs_PD1High,-0.04752908528124667,-0.005731668267691323,-0.04179741701355535,0.48828450716721816,0.629630022399834
LIR,PD1Low_vs_PD1High,0.05151909722222223,0.028126205632716048,0.02339289158950618,0.005667820860205182,0.03967474602143627
LYPXL,PD1Low_vs_PD1High,-0.03045843976160068,-0.0939429012345679,0.06348446147296723,1.0,1.0
MAPK,PD1Low_vs_PD1High,0.052079815377687716,-0.011945101129498292,0.064024916507186,0.000938597402561385,0.009323927326313907
MSH2,PD1Low_vs_PD1High,0.0017973856209150326,-0.016544117647058824,0.018341503267973857,1.0,1.0
MYND,PD1Low_vs_PD1High,0.14553896381931064,0.10054056947120531,0.04499839434810533,0.30940929057772637,0.4338678750994349
NRBOX,PD1Low_vs_PD1High,-0.09110686617849943,-0.026884573207400324,-0.0642222929710991,0.2918743222099323,0.4338678750994349
NRP,PD1Low_vs_PD1High,0.06678037686809617,-0.019087069525666016,0.08586744639376218,0.05227848423130674,0.19704967133338694
PCNA,PD1Low_vs_PD1High,0.0816731845717353,0.020059811364159193,0.0616133732075761,0.8042505553468491,0.98520693029989
PDZ,PD1Low_vs_PD1High,-0.022216148087406806,-0.008276008686012783,-0.013940139401394023,0.09156077908673409,0.22603471470215167
PP1,PD1Low_vs_PD1High,0.055075543379636945,0.00542062530366624,0.04965491807597071,0.18861628444495146,0.3696879175121049
PP2A,PD1Low_vs_PD1High,0.02610659010867997,-0.03385914174837895,0.05996573185705892,0.6067901171018459,0.7623773266151398
PP2B,PD1Low_vs_PD1High,0.06555025077160494,-0.0386801421957672,0.10423039296737213,0.022540241306144838,0.104803483632444
PP4,PD1Low_vs_PD1High,-0.005777144666033555,-0.015038514297773559,0.009261369631740003,1.0,1.0
PTB,PD1Low_vs_PD1High,-0.047238645373201944,-0.08965001698946655,0.042411371616264605,0.07290290792934201,0.22603471470215167
Pex14,PD1Low_vs_PD1High,0.048750361689814815,0.026636646412037033,0.022113715277777782,0.07167750302187072,0.22603471470215167
REV1ctd,PD1Low_vs_PD1High,-0.1381717501815541,-0.15779774872912128,0.01962599854756719,0.0009514211557463171,0.009323927326313907
SH2,PD1Low_vs_PD1High,0.0678956964925254,0.028522397185127186,0.03937329930739822,0.0008938345896484903,0.009323927326313907
SH3,PD1Low_vs_PD1High,-0.023062515486757914,-0.012225428892095559,-0.010837086594662355,0.23290372870433373,0.39352698987973633
SUMO,PD1Low_vs_PD1High,0.04075899863135507,0.036259334520793086,0.004499664110561984,0.21361076548617286,0.37381883960080253
TRAF2like,PD1Low_vs_PD1High,-0.005770263016639829,0.046775554021930836,-0.05254581703857066,0.45517738276849,0.6059928001445972
TRAF4,PD1Low_vs_PD1High,0.0174207249037181,0.03535735281767027,-0.017936627913952174,0.8454228602178345,1.0
TRAF6,PD1Low_vs_PD1High,0.05827464891792378,0.03190617518102898,0.0263684737368948,0.21137361403171073,0.37381883960080253
TRFH,PD1Low_vs_PD1High,0.059322847304706716,0.0310381648250129,0.028284682479693818,0.10643523871334912,0.23706030440700487
TYR,PD1Low_vs_PD1High,0.0651876381536952,0.10138216413146796,-0.03619452597777276,0.00019535522803858273,0.005620038167419081
UBA3,PD1Low_vs_PD1High,0.016887200590904292,-0.05072280257465442,0.06761000316555871,0.02566615925692506,0.104803483632444
USP7,PD1Low_vs_PD1High,0.0027469495664857757,-0.0004576250041983942,0.00320457457068417,1.0,1.0
WD40,PD1Low_vs_PD1High,0.030771963402786845,0.013953835409205369,0.016818127993581476,0.0023506717361721557,0.019197152512072605
WRC,PD1Low_vs_PD1High,0.022862720270127677,0.07452674897119342,-0.05166402870106575,0.09605891304590186,0.22603471470215167
WW,PD1Low_vs_PD1High,0.012086596501400634,0.04037141305826718,-0.028284816556866543,0.008148017544821784,0.049906607462033424
deltaCOP1,PD1Low_vs_PD1High,0.07016698779704561,0.04450331834724899,0.025663669449796624,0.3099056250710249,0.4338678750994349
eIF4E,PD1Low_vs_PD1High,-0.03348406546080965,-0.11429398148148147,0.08080991602067182,0.30775756789013614,0.4338678750994349
