ELM,tsubset,cliff_delta,pvalue,qvalue
14-3-3,Naive,0.005004790128757071,0.7335219061491078,0.9470565604517563
14-3-3,CM,0.03886662770960292,0.0936390415834758,0.21532804197410715
14-3-3,EM,0.048810120091111825,0.02166707436745774,0.1516695205722042
ANK,Naive,0.07082727713178294,0.03527376282738093,0.28960965656580867
ANK,CM,0.0717155200258398,0.44440992673358515,0.6221738974270192
ANK,EM,0.04250444121447028,0.7420259000410132,0.9806487256077053
APCC,Naive,0.09650019254124825,0.13949475204900752,0.5696035708667807
APCC,CM,0.07537249326105631,0.2896935568362575,0.4731661428325539
APCC,EM,0.12210077312716609,0.04767976427903298,0.28317992354563487
Actin,Naive,-0.043236714975845414,0.7439404061701672,0.9470565604517563
Actin,CM,-0.037209569818265474,0.7203058367530324,0.8649343738670808
Actin,EM,-0.06177823786519438,0.4670011180168344,0.7801491489759567
Arc,Naive,-0.012551362152425981,0.829581792702847,0.9483193870046781
Arc,CM,-0.023528087357874594,0.03456074249400343,0.12096259872901201
Arc,EM,0.00018011932905549928,0.979307220027531,0.9806487256077053
BIR,Naive,-0.004926596003898637,0.23031335316758017,0.6160146738277996
BIR,CM,0.03175636574074074,0.0966778963965379,0.21532804197410715
BIR,EM,-0.051910102948343084,0.07413081887935158,0.2876644520854473
BRCT,Naive,0.03899585217717129,0.3005800504310725,0.6978171787638581
BRCT,CM,0.12739305849650134,9.916550750665998e-06,0.00024295549339131695
BRCT,EM,0.08298259831472912,0.008933772632603754,0.10943871474939598
CDC14,Naive,-0.014225104066602628,0.21689083932689246,0.6160146738277996
CDC14,CM,0.016026256804354787,0.30552094279279196,0.4829201998982841
CDC14,EM,-0.07995517130963817,0.4974806632562494,0.7801491489759567
CKS1,Naive,0.008404116926844198,0.9683904627296296,0.9733292960830399
CKS1,CM,0.03972681359044996,0.006284000728144723,0.03890828632015958
CKS1,EM,0.004327364554637282,0.9806487256077053,0.9806487256077053
CSL,Naive,0.029538904899135448,0.9064324054627304,0.9562694051525711
CSL,CM,0.16131924431636246,0.07338381620763446,0.1936583439364027
CSL,EM,0.058373358949727824,0.6407919712042961,0.8971087596860146
CYCLIN,Naive,0.03970648489589153,0.32807028135262994,0.6978171787638581
CYCLIN,CM,0.08522483890192573,0.006352373276760748,0.03890828632015958
CYCLIN,EM,0.05003235929526577,0.01431696849818942,0.1403062912822563
Clathr,Naive,0.12333793420749942,0.10835352358219774,0.5696035708667807
Clathr,CM,0.19866574649183344,0.005839454255824106,0.03890828632015958
Clathr,EM,-0.017563837129054523,0.46588700463336996,0.7801491489759567
DLG,Naive,0.08149744572158366,0.5711834760418271,0.9201986105854075
DLG,CM,-0.04066890166028097,0.7659407099783928,0.8649343738670808
DLG,EM,0.18043582375478928,0.06068658818170469,0.2876644520854473
EVH1,Naive,0.09981319038336582,0.11630497223125436,0.5696035708667807
EVH1,CM,0.062077647823261854,0.3622518217997406,0.5378890687329482
EVH1,EM,0.04540285899935023,0.16560883181019515,0.4508240421499756
FHA,Naive,-0.009328010215794307,0.8321986457387992,0.9483193870046781
FHA,CM,-0.0016966540404040403,0.9942345410065623,0.9942345410065623
FHA,EM,0.040600877381772274,0.05201263901858599,0.28317992354563487
GBD,Naive,0.05491698595146871,0.7747404389978819,0.9483193870046781
GBD,CM,-0.06842672413793104,0.6510581528194507,0.8179961407218739
GBD,EM,-0.049788473818646234,0.6159682356789581,0.8877189278902631
IRF7,Naive,0.14541306436119117,0.13222835922819676,0.5696035708667807
IRF7,CM,0.04179474863912904,0.8118397426138291,0.8649343738670808
IRF7,EM,0.07602465577969901,0.5383710160274018,0.7993993874346269
Integrin,Naive,-0.11748318924111431,0.205651563633519,0.6160146738277996
Integrin,CM,0.049199487672110145,0.7735186049073989,0.8649343738670808
Integrin,EM,-0.011607428754402817,0.9557178587930618,0.9806487256077053
LIR,Naive,0.03163158275462963,0.00353290731436684,0.05770415280132505
LIR,CM,0.02819507740162037,0.22627420806972942,0.4166433043833607
LIR,EM,0.0596412941261574,0.002854018103219391,0.0641832171628095
LYPXL,Naive,-0.09502713920817368,0.48269440748106507,0.8447152130918639
LYPXL,CM,-0.04657567049808429,0.7966304122790848,0.8649343738670808
LYPXL,EM,-0.044999201787994894,0.8228588454922693,0.9806487256077053
MAPK,Naive,0.008832883035010694,0.19878658315897724,0.6160146738277996
MAPK,CM,0.05822005516154452,0.0014372856148600066,0.02347566504271344
MAPK,EM,-0.006850866824271079,0.9430805330892361,0.9806487256077053
MSH2,Naive,0.03229166666666666,0.3702703397522512,0.6978171787638581
MSH2,CM,-0.02267156862745098,0.49277477032993244,0.6707212151712969
MSH2,EM,-0.03174019607843137,0.7632377734011274,0.9806487256077053
MYND,Naive,0.0889330443159923,0.3902202645875428,0.7081775172144296
MYND,CM,0.12677959751659174,0.12125434884372965,0.25653442659657116
MYND,EM,0.1534066581031899,0.06782796279089809,0.2876644520854473
NRBOX,Naive,-0.0925925925925926,0.5290608412928153,0.8939303870119982
NRBOX,CM,-0.21222009975591638,0.06734213337967687,0.1936583439364027
NRBOX,EM,0.12782553326965934,0.30799779215900547,0.6619513782571554
NRP,Naive,0.08261858349577647,0.03546240692642555,0.28960965656580867
NRP,CM,0.001031513970110462,0.7289644548865403,0.8649343738670808
NRP,EM,-0.012110136452241713,0.8581404653960985,0.9806487256077053
PCNA,Naive,0.028628939498504716,0.8828479436046146,0.9562694051525711
PCNA,CM,0.08775017253278122,0.34920133527221253,0.5347145446355754
PCNA,EM,0.03622038187255579,0.24378798897758802,0.5972805729950906
PDZ,Naive,-0.013261228291295259,0.7537797113799694,0.9470565604517563
PDZ,CM,-0.05590292014031251,0.01959511015258486,0.0738584921135891
PDZ,EM,0.023425913271478395,0.31486134942740684,0.6619513782571554
PP1,Naive,0.00381521872749943,0.9172380008606293,0.9562694051525711
PP1,CM,0.06277768997067243,0.13088491152886284,0.25653442659657116
PP1,EM,0.024151344326782925,0.80144132049845,0.9806487256077053
PP2A,Naive,-0.03682989772331465,0.31993508013928773,0.6978171787638581
PP2A,CM,0.017102846648301192,0.229578963639811,0.4166433043833607
PP2A,EM,0.008098223615464995,0.95274926635449,0.9806487256077053
PP2B,Naive,-0.05781094990079365,0.33750689637011233,0.6978171787638581
PP2B,CM,0.05207299933862434,0.007259600962632562,0.03952449412988839
PP2B,EM,0.04604311342592593,0.5094851585149105,0.7801491489759567
PP4,Naive,-0.006095283317505541,0.6373680817750327,0.933836768272621
PP4,CM,0.011722063944286166,0.9269910935627215,0.9664375230760288
PP4,EM,-0.036850269072491296,0.4636321917649707,0.7801491489759567
PTB,Naive,-0.03815494393476045,0.22842927916975653,0.6160146738277996
PTB,CM,-0.09964661909616038,0.010771109676062873,0.04798039764791644
PTB,EM,-0.06753143051308189,0.08746526403235688,0.3061284241132491
Pex14,Naive,-0.011735026041666667,0.8732947915875209,0.9562694051525711
Pex14,CM,0.08145887586805556,0.01859788730195777,0.0738584921135891
Pex14,EM,0.04335666232638889,0.32985365898128616,0.6619513782571554
REV1ctd,Naive,-0.15947712418300652,0.003120616935414211,0.05770415280132505
REV1ctd,CM,-0.2494076797385621,1.6663092606838958e-06,8.16491537735109e-05
REV1ctd,EM,-0.035069444444444445,0.742132591735222,0.9806487256077053
SH2,Naive,0.046326050864906404,0.001329836503668691,0.05770415280132505
SH2,CM,0.040112934446909394,0.05971428897974773,0.1936583439364027
SH2,EM,0.0581881552046631,0.003929584724253643,0.0641832171628095
SH3,Naive,0.014352497823572204,0.7114005243091155,0.9470565604517563
SH3,CM,-0.03619627999793289,0.12879920556298696,0.25653442659657116
SH3,EM,-0.03108813439391952,0.13569108447305323,0.3911095964223299
SUMO,Naive,0.04572869889532793,0.15165329998912247,0.5716162845743847
SUMO,CM,0.05640015721298178,0.07509201091411533,0.1936583439364027
SUMO,EM,0.01339864361991253,0.8644621779596574,0.9806487256077053
TRAF2like,Naive,0.027734644582470668,0.6479683698218186,0.933836768272621
TRAF2like,CM,0.0023953301127214166,0.594935676575641,0.7671538987422738
TRAF2like,EM,0.03137796181274442,0.20974441901113017,0.5409198174497568
TRAF4,Naive,0.032393909944930355,0.816051097150799,0.9483193870046781
TRAF4,CM,0.08307238239211027,0.27172015965196783,0.4731661428325539
TRAF4,EM,-0.03629917575495807,0.33773029502916097,0.6619513782571554
TRAF6,Naive,0.079254693289781,0.08250423967456433,0.5696035708667807
TRAF6,CM,-0.025727481867832747,0.5689582633366859,0.7534852676620976
TRAF6,EM,0.08174402472648086,0.07631914034920029,0.2876644520854473
TRFH,Naive,-0.025654177014721235,0.6362212235580716,0.933836768272621
