ELM,contrast,effect_ts1,effect_ts2,diff,pvalue,qvalue
14-3-3,EM_vs_CM,0.048810120091111825,0.03886662770960292,0.009943492381508906,0.04333414873491548,0.12490431105946227
ANK,EM_vs_CM,0.04250444121447028,0.0717155200258398,-0.029211078811369515,0.8888198534671703,1.0
APCC,EM_vs_CM,0.12210077312716609,0.07537249326105631,0.04672827986610978,0.09535952855806595,0.2459272052286964
Actin,EM_vs_CM,-0.06177823786519438,-0.037209569818265474,-0.024568668046928907,0.9340022360336688,1.0
Arc,EM_vs_CM,0.00018011932905549928,-0.023528087357874594,0.02370820668693009,0.06912148498800685,0.188164042467352
BIR,EM_vs_CM,-0.051910102948343084,0.03175636574074074,-0.08366646868908383,0.14826163775870316,0.27701021311931956
BRCT,EM_vs_CM,0.08298259831472912,0.12739305849650134,-0.04441046018177222,1.9833101501331996e-05,0.00032394065785508924
CDC14,EM_vs_CM,-0.07995517130963817,0.016026256804354787,-0.09598142811399296,0.6110418855855839,0.7879224314129898
CKS1,EM_vs_CM,0.004327364554637282,0.03972681359044996,-0.03539944903581268,0.012568001456289446,0.06225325811225533
CSL,EM_vs_CM,0.058373358949727824,0.16131924431636246,-0.10294588536663464,0.1467676324152689,0.27701021311931956
CYCLIN,EM_vs_CM,0.05003235929526577,0.08522483890192573,-0.03519247960665996,0.012704746553521495,0.06225325811225533
Clathr,EM_vs_CM,-0.017563837129054523,0.19866574649183344,-0.21622958362088796,0.011678908511648212,0.06225325811225533
DLG,EM_vs_CM,0.18043582375478928,-0.04066890166028097,0.22110472541507026,0.12137317636340939,0.27701021311931956
EVH1,EM_vs_CM,0.04540285899935023,0.062077647823261854,-0.016674788823911622,0.3312176636203903,0.5071770474187226
FHA,EM_vs_CM,0.040600877381772274,-0.0016966540404040403,0.042297531422176314,0.10402527803717199,0.25486193119107137
GBD,EM_vs_CM,-0.049788473818646234,-0.06842672413793104,0.018638250319284802,1.0,1.0
IRF7,EM_vs_CM,0.07602465577969901,0.04179474863912904,0.03422990714056997,1.0,1.0
Integrin,EM_vs_CM,-0.011607428754402817,0.049199487672110145,-0.060806916426512966,1.0,1.0
LIR,EM_vs_CM,0.0596412941261574,0.02819507740162037,0.03144621672453703,0.005708036206438782,0.055014186139551
LYPXL,EM_vs_CM,-0.044999201787994894,-0.04657567049808429,0.0015764687100893945,1.0,1.0
MAPK,EM_vs_CM,-0.006850866824271079,0.05822005516154452,-0.0650709219858156,0.0028745712297200132,0.03521349756407016
MSH2,EM_vs_CM,-0.03174019607843137,-0.02267156862745098,-0.009068627450980391,0.9855495406598649,1.0
MYND,EM_vs_CM,0.1534066581031899,0.12677959751659174,0.026627060586598167,0.13565592558179618,0.27701021311931956
NRBOX,EM_vs_CM,0.12782553326965934,-0.21222009975591638,0.3400456330255757,0.13468426675935374,0.27701021311931956
NRP,EM_vs_CM,-0.012110136452241713,0.001031513970110462,-0.013141650422352175,1.0,1.0
PCNA,EM_vs_CM,0.03622038187255579,0.08775017253278122,-0.051529790660225436,0.48757597795517604,0.6826063691372464
PDZ,EM_vs_CM,0.023425913271478395,-0.05590292014031251,0.07932883341179091,0.03919022030516972,0.1226749526829789
PP1,EM_vs_CM,0.024151344326782925,0.06277768997067243,-0.038626345643889504,0.26176982305772567,0.413765204188018
PP2A,EM_vs_CM,0.008098223615464995,0.017102846648301192,-0.009004623032836197,0.459157927279622,0.6617276010794553
PP2B,EM_vs_CM,0.04604311342592593,0.05207299933862434,-0.006029885912698409,0.014519201925265124,0.06467644493981738
PP4,EM_vs_CM,-0.036850269072491296,0.011722063944286166,-0.048572333016777464,0.9272643835299414,1.0
PTB,EM_vs_CM,-0.06753143051308189,-0.09964661909616038,0.03211518858307849,0.021542219352125747,0.08119759601955089
Pex14,EM_vs_CM,0.04335666232638889,0.08145887586805556,-0.038102213541666666,0.03719577460391554,0.1226749526829789
REV1ctd,EM_vs_CM,-0.035069444444444445,-0.2494076797385621,0.21433823529411766,3.3326185213677917e-06,0.0001632983075470218
SH2,EM_vs_CM,0.0581881552046631,0.040112934446909394,0.018075220757753703,0.007859169448507286,0.055014186139551
SH3,EM_vs_CM,-0.03108813439391952,-0.03619627999793289,0.0051081456040133685,0.2575984111259739,0.413765204188018
SUMO,EM_vs_CM,0.01339864361991253,0.05640015721298178,-0.04300151359306925,0.15018402182823065,0.27701021311931956
TRAF2like,EM_vs_CM,0.03137796181274442,0.0023953301127214166,0.028982631700023007,0.41948883802226034,0.6228773655482047
TRAF4,EM_vs_CM,-0.03629917575495807,0.08307238239211027,-0.11937155814706835,0.5434403193039357,0.7396826568303569
TRAF6,EM_vs_CM,0.08174402472648086,-0.025727481867832747,0.1074715065943136,0.15263828069840057,0.27701021311931956
TRFH,EM_vs_CM,0.06315012777597812,0.09804556743332253,-0.034895439657344415,0.16795555245001337,0.2939222167875234
TYR,EM_vs_CM,0.1274742229246632,0.08034377796175042,0.047130444962912785,1.3085595886863643e-05,0.00032059709922815927
UBA3,EM_vs_CM,0.009531497309275086,-0.019870212092434315,0.0294017094017094,1.0,1.0
USP7,EM_vs_CM,0.02145454578169308,-0.0006702436988095754,0.022124789480502657,0.8599248051908785,1.0
WD40,EM_vs_CM,0.019855057491263938,0.04471250743109023,-0.024857449939826293,0.006901029793903168,0.055014186139551
WRC,EM_vs_CM,0.08890471668249446,0.051807534029756255,0.0370971826527382,0.04005712740668699,0.1226749526829789
WW,EM_vs_CM,0.010299245068531297,0.04427497587194775,-0.033975730803416454,0.01757915025696133,0.07178153021592543
deltaCOP1,EM_vs_CM,0.05590344679940056,0.09133483194176836,-0.0354313851423678,0.21235868092726196,0.3588129436357185
eIF4E,EM_vs_CM,-0.08570534560723514,-0.0873405200258398,0.001635174418604654,0.5633676121830411,0.7460814323505138
14-3-3,Naive_vs_CM,0.005004790128757071,0.03886662770960292,-0.03386183758084585,0.1872780831669516,0.3509049572911376
ANK,Naive_vs_CM,0.07082727713178294,0.0717155200258398,-0.0008882428940568537,0.07054752565476186,0.18291136204156336
APCC,Naive_vs_CM,0.09650019254124825,0.07537249326105631,0.02112769928019194,0.27898950409801504,0.4020731088471393
Actin,Naive_vs_CM,-0.043236714975845414,-0.037209569818265474,-0.00602714515757994,1.0,1.0
Arc,Naive_vs_CM,-0.012551362152425981,-0.023528087357874594,0.010976725205448613,0.06912148498800685,0.18291136204156336
BIR,Naive_vs_CM,-0.004926596003898637,0.03175636574074074,-0.03668296174463938,0.1933557927930758,0.3509049572911376
BRCT,Naive_vs_CM,0.03899585217717129,0.12739305849650134,-0.08839720631933005,1.9833101501331996e-05,0.0004859109867826339
CDC14,Naive_vs_CM,-0.014225104066602628,0.016026256804354787,-0.030251360870957415,0.4337816786537849,0.5904250626120962
CKS1,Naive_vs_CM,0.008404116926844198,0.03972681359044996,-0.031322696663605765,0.012568001456289446,0.06225325811225533
CSL,Naive_vs_CM,0.029538904899135448,0.16131924431636246,-0.13178033941722703,0.1467676324152689,0.3199572638949262
CYCLIN,Naive_vs_CM,0.03970648489589153,0.08522483890192573,-0.0455183540060342,0.012704746553521495,0.06225325811225533
Clathr,Naive_vs_CM,0.12333793420749942,0.19866574649183344,-0.07532781228433402,0.011678908511648212,0.06225325811225533
DLG,Naive_vs_CM,0.08149744572158366,-0.04066890166028097,0.12216634738186463,1.0,1.0
EVH1,Naive_vs_CM,0.09981319038336582,0.062077647823261854,0.03773554256010397,0.2326099444625087,0.39267815770797826
FHA,Naive_vs_CM,-0.009328010215794307,-0.0016966540404040403,-0.007631356175390267,1.0,1.0
GBD,Naive_vs_CM,0.05491698595146871,-0.06842672413793104,0.12334371008939975,1.0,1.0
IRF7,Naive_vs_CM,0.14541306436119117,0.04179474863912904,0.10361831572206212,0.2644567184563935,0.39267815770797826
Integrin,Naive_vs_CM,-0.11748318924111431,0.049199487672110145,-0.16668267691322447,0.411303127267038,0.5758243781738532
LIR,Naive_vs_CM,0.03163158275462963,0.02819507740162037,0.0034365053530092567,0.00706581462873368,0.05770415280132505
LYPXL,Naive_vs_CM,-0.09502713920817368,-0.04657567049808429,-0.048451468710089395,0.9653888149621301,1.0
MAPK,Naive_vs_CM,0.008832883035010694,0.05822005516154452,-0.049387172126533825,0.0028745712297200132,0.03521349756407016
MSH2,Naive_vs_CM,0.03229166666666666,-0.02267156862745098,0.054963235294117646,0.7405406795045024,0.8850364218468444
MYND,Naive_vs_CM,0.0889330443159923,0.12677959751659174,-0.03784655320059943,0.2425086976874593,0.39267815770797826
NRBOX,Naive_vs_CM,-0.0925925925925926,-0.21222009975591638,0.11962750716332378,0.13468426675935374,0.3199572638949262
NRP,Naive_vs_CM,0.08261858349577647,0.001031513970110462,0.08158706952566601,0.0709248138528511,0.18291136204156336
PCNA,Naive_vs_CM,0.028628939498504716,0.08775017253278122,-0.05912123303427651,0.6984026705444251,0.8613421943478754
PDZ,Naive_vs_CM,-0.013261228291295259,-0.05590292014031251,0.042641691849017255,0.03919022030516972,0.12002004968458227
PP1,Naive_vs_CM,0.00381521872749943,0.06277768997067243,-0.058962471243173,0.26176982305772567,0.39267815770797826
PP2A,Naive_vs_CM,-0.03682989772331465,0.017102846648301192,-0.05393274437161584,0.459157927279622,0.6080740118027427
PP2B,Naive_vs_CM,-0.05781094990079365,0.05207299933862434,-0.109883949239418,0.014519201925265124,0.06467644493981738
PP4,Naive_vs_CM,-0.006095283317505541,0.011722063944286166,-0.017817347261791707,1.0,1.0
PTB,Naive_vs_CM,-0.03815494393476045,-0.09964661909616038,0.061491675161399924,0.021542219352125747,0.07539776773244011
Pex14,Naive_vs_CM,-0.011735026041666667,0.08145887586805556,-0.09319390190972222,0.03719577460391554,0.12002004968458227
REV1ctd,Naive_vs_CM,-0.15947712418300652,-0.2494076797385621,0.08993055555555557,3.3326185213677917e-06,0.0001632983075470218
SH2,Naive_vs_CM,0.046326050864906404,0.040112934446909394,0.00621311641799701,0.002659673007337382,0.03521349756407016
SH3,Naive_vs_CM,0.014352497823572204,-0.03619627999793289,0.05054877782150509,0.2575984111259739,0.39267815770797826
SUMO,Naive_vs_CM,0.04572869889532793,0.05640015721298178,-0.01067145831765385,0.15018402182823065,0.3199572638949262
TRAF2like,Naive_vs_CM,0.027734644582470668,0.0023953301127214166,0.02533931446974925,1.0,1.0
TRAF4,Naive_vs_CM,0.032393909944930355,0.08307238239211027,-0.05067847244717992,0.5434403193039357,0.7007519906813907
TRAF6,Naive_vs_CM,0.079254693289781,-0.025727481867832747,0.10498217515761375,0.16500847934912866,0.32919288280202624
TRFH,Naive_vs_CM,-0.025654177014721235,0.09804556743332253,-0.12369974444804377,0.16795555245001337,0.32919288280202624
TYR,Naive_vs_CM,0.04203670254133113,0.08034377796175042,-0.03830707542041929,0.008840503114913023,0.06188352180439116
UBA3,Naive_vs_CM,-0.040414688192465964,-0.019870212092434315,-0.02054447610003165,0.01689632218212389,0.06625987404546962
USP7,Naive_vs_CM,-0.01735031523945243,-0.0006702436988095754,-0.016680071540642855,1.0,1.0
WD40,Naive_vs_CM,0.002521133295634143,0.04471250743109023,-0.04219137413545609,0.006901029793903168,0.05770415280132505
WRC,Naive_vs_CM,0.005371953149730928,0.051807534029756255,-0.04643558088002533,0.1414496787279207,0.3199572638949262
WW,Naive_vs_CM,0.02411279339902267,0.04427497587194775,-0.020162182472925082,0.01757915025696133,0.06625987404546962
deltaCOP1,Naive_vs_CM,0.02476718047527296,0.09133483194176836,-0.0665676514664954,0.703136485181939,0.8613421943478754
eIF4E,Naive_vs_CM,-0.048621204780361756,-0.0873405200258398,0.03871931524547804,0.21087140408143545,0.36902495714251204
14-3-3,Naive_vs_EM,0.005004790128757071,0.048810120091111825,-0.043805329962354755,0.04333414873491548,0.23593036533453984
ANK,Naive_vs_EM,0.07082727713178294,0.04250444121447028,0.02832283591731266,0.07054752565476186,0.31593780716270037
APCC,Naive_vs_EM,0.09650019254124825,0.12210077312716609,-0.02560058058591784,0.09535952855806595,0.3893847416121026
Actin,Naive_vs_EM,-0.043236714975845414,-0.06177823786519438,0.018541522889348967,0.9340022360336688,1.0
Arc,Naive_vs_EM,-0.012551362152425981,0.00018011932905549928,-0.01273148148148148,1.0,1.0
