motif,Naive,CM,EM,PD1_Low
Integrin,-2.5563536079063436,-0.9227500563632607,-1.2088259747949943,-1.5830156776691375
DLG,-2.4747375702231906,-2.475796831815678,-1.951065591152095,-2.063658406467253
IRF7,-1.6020255803807497,-2.2289781908485087,-1.8748147712607581,-1.6701734753919222
GBD,-1.142209175996775,-1.6391280588935415,-1.5682203806081472,-1.4233174829733204
CDC14,-1.588510446749239,-0.5204840358928999,-1.5310429365940854,-1.304475451370025
APCC,-1.4010343605341151,-1.315383558492674,-1.3211462200788968,-1.319031792529292
PP2B,-1.2353391351139429,-0.88725002092147,-0.7016962425371198,-0.537634744335798
NRBOX,-0.5314092628806472,-1.138202400728687,0.4686934401429237,-0.20650668579588655
REV1ctd,0.654623924071033,0.8203550887119162,1.1248996430206644,0.9743419045878305
PCNA,-1.1231084608449178,-0.44044187873860374,-0.8908681134978267,-1.055476385832558
TRAF6,-0.8596666304143734,-0.8839342143602807,-1.1227074736320353,-1.0254096369807244
TRFH,-0.5757450984816705,-1.107040379733191,-0.6416503569888398,-0.40354005138483684
MYND,0.9515534417018155,0.012448993578005108,0.21188651180611906,0.22230202311958108
TYR,-0.8746612888460802,-0.7918075683882895,-0.7188193918837238,-0.8786467838340721
eIF4E,0.4712738238630141,0.8589559438021831,0.5672451033595967,0.630285900398646
USP7,-0.6765109466678711,-0.8060118083590763,-0.669979206014136,-0.6623452545266785
MSH2,-0.6068760321280374,-0.30015948803184905,-0.7596830161067838,-0.6592104564700378
PP2A,-0.7448548253677697,-0.5230250401467659,-0.6733693150650677,-0.523993218423639
BIR,0.43282508667880054,0.7316691490073521,0.4832097070369762,0.5169144329649371
LIR,-0.6309764337638138,-0.5962234376719233,-0.7038482529355069,-0.6317567922665861
SUMO,-0.5257514419179028,-0.6726597986301303,-0.6599260752150973,-0.6267383199398334
BRCT,-0.6287416435732724,-0.506656853114801,-0.614461383621649,-0.6553857619554609
ANK,-0.055995202819593304,-0.6548355676297184,-0.1901849348063488,-0.15549147237416117
WRC,-0.3324012154952482,-0.6369253490681525,-0.34612192933490554,-0.39398620124599515
PP4,-0.4268602308453622,-0.6196694721700947,-0.547154719582282,-0.5433031131169377
FHA,-0.44727229399936785,-0.6161815348791448,-0.50972095900048,-0.49173572401552035
TRAF2like,0.6048195788419974,0.19855688762952628,0.3580202575667504,0.3972909378362539
CYCLIN,-0.5506618134458222,-0.47424171709576424,-0.4903468798120175,-0.5994297381641649
WD40,-0.5885924823229909,-0.5345391984096128,-0.5240377001338299,-0.47566272264143267
Pex14,-0.5595902769401239,-0.4206386703170573,-0.5207893365661903,-0.4567552721021544
EVH1,-0.21420347911771265,0.0536100192971663,-0.5521032118031869,-0.5148408363969343
CKS1,-0.4206545026803479,-0.22073929109947638,-0.5165522750712103,-0.3624266976249381
NRP,0.3873757569257007,-0.4887164614599163,-0.29169154864688585,-0.10966482119389688
Clathr,-0.061886455497459025,-0.16714171656028942,-0.4479767318329629,-0.33744294304145167
TRAF4,0.10900563580346317,0.43830220392274727,0.3308876420627965,0.15060953628648577
PP1,0.39469764348102016,0.39532778664409535,0.335097192550527,0.23777054704439177
Actin,0.12016830006470614,0.3575259607447909,0.2139233755385993,0.3537466061116552
deltaCOP1,0.08780594651104329,-0.3494505708986899,0.28474974829643296,0.05482349472449541
14-3-3,-0.28623347663074317,-0.15747803507897434,-0.0977224686783458,-0.17660608293103558
MAPK,-0.2787375388568253,-0.1033789734686255,-0.15401640151542323,-0.04643725710743127
PTB,-0.264442705001393,-0.14621834470311876,-0.06475999052635018,-0.03274138216186184
UBA3,-0.13605130156636708,-0.25841779919906527,-0.2175144523281618,-0.1694670259200625
Arc,0.19312030467803643,0.04955341646823798,0.2475032204498433,0.1586683516449733
CSL,-0.03241771199940635,-0.21305243569841484,-0.026551115820269866,0.023321596497609648
WW,-0.17052760144181378,0.13894720343545477,-0.11501826862135699,-0.11933894006215842
LYPXL,0.05129783717237052,-0.005454056149262421,0.04280950200270814,0.16127422445684203
SH3,-0.12774642836288852,-0.15520412302640385,0.03914337144305956,-0.02444793542672917
PDZ,-0.0029204193741899087,-0.12524036084324153,-0.017645624118405673,-0.08952498088475389
SH2,-0.015693743910732916,-0.05017419615197989,0.084471171979633,0.055315249578660144
