motif,contrast,EM_coef,CM_coef,logFC,se,zscore,pvalue,Naive_coef,Low_coef,High_coef,qvalue
14-3-3,EM_vs_CM,-0.0977224686783458,-0.15747803507897434,0.05975556640062854,0.061759882639927086,0.9675466313466927,0.3332708417758261,,,,0.5103209764692337
ANK,EM_vs_CM,-0.1901849348063488,-0.6548355676297184,0.4646506328233696,0.2138571987247274,2.172714482346972,0.029801813098828043,,,,0.10735780435637281
APCC,EM_vs_CM,-1.3211462200788968,-1.315383558492674,-0.005762661586222739,0.17652972220737995,-0.032644143513991364,0.9739583671397424,,,,0.9739583671397425
Actin,EM_vs_CM,0.2139233755385993,0.3575259607447909,-0.14360258520619162,0.2142648515694,-0.6702106488972084,0.5027235164137465,,,,0.6482487448493046
Arc,EM_vs_CM,0.2475032204498433,0.04955341646823798,0.19794980398160533,0.07854809061246959,2.5201096861567835,0.01173182697744614,,,,0.06131752737275871
BIR,EM_vs_CM,0.4832097070369762,0.7316691490073521,-0.24845944197037595,0.0903419059630612,-2.75021253228779,0.005955662248211846,,,,0.03898093648437407
BRCT,EM_vs_CM,-0.614461383621649,-0.506656853114801,-0.10780453050684802,0.09738773838812011,-1.1069620497522366,0.2683103365299604,,,,0.4382402163322687
CDC14,EM_vs_CM,-1.5310429365940854,-0.5204840358928999,-1.0105589007011855,0.28459368006909774,-3.5508831413818727,0.00038394084881357,,,,0.006271033863954977
CKS1,EM_vs_CM,-0.5165522750712103,-0.22073929109947638,-0.2958129839717339,0.13731769715207723,-2.154223309207739,0.031222663749019237,,,,0.10735780435637281
CSL,EM_vs_CM,-0.026551115820269866,-0.21305243569841484,0.18650131987814497,0.2547965307671341,0.7319617708947298,0.46419190168635494,,,,0.6318167550730942
CYCLIN,EM_vs_CM,-0.4903468798120175,-0.47424171709576424,-0.016105162716253285,0.10029994686500035,-0.16057000247398115,0.8724320828348211,,,,0.9095568523171539
Clathr,EM_vs_CM,-0.4479767318329629,-0.16714171656028942,-0.28083501527267346,0.21918734840005746,-1.2812555894425877,0.20010390632791142,,,,0.35675891139432564
DLG,EM_vs_CM,-1.951065591152095,-2.475796831815678,0.5247312406635829,0.2780958878205677,1.8868716282570441,0.05917759400411858,,,,0.16109456145565615
EVH1,EM_vs_CM,-0.5521032118031869,0.0536100192971663,-0.6057132311003532,0.18816610878748757,-3.2190346869766975,0.0012862292520768417,,,,0.01575630833794131
FHA,EM_vs_CM,-0.50972095900048,-0.6161815348791448,0.10646057587866486,0.06210429272575356,1.714222499059514,0.08648787031065455,,,,0.21189528226110363
GBD,EM_vs_CM,-1.5682203806081472,-1.6391280588935415,0.07090767828539435,0.2703569746258255,0.26227427046604107,0.7931099970811328,,,,0.8832361331130798
IRF7,EM_vs_CM,-1.8748147712607581,-2.2289781908485087,0.35416341958775055,0.2511711484730655,1.4100481752812843,0.15852545833698983,,,,0.29875951763509623
