motif,tsubset,coef,se
14-3-3,Naive,-0.28623347663074317,0.03620705931568246
ANK,Naive,-0.055995202819593304,0.125491956837468
APCC,Naive,-1.4010343605341151,0.10372447103521527
Actin,Naive,0.12016830006470614,0.12556642199642187
Arc,Naive,0.19312030467803643,0.04604696669693918
BIR,Naive,0.43282508667880054,0.05296002230961278
BRCT,Naive,-0.6287416435732724,0.057160762496839206
CDC14,Naive,-1.588510446749239,0.16787264493707976
CKS1,Naive,-0.4206545026803479,0.08046526445528991
CSL,Naive,-0.03241771199940635,0.14945362728291903
CYCLIN,Naive,-0.5506618134458222,0.0589130328505927
Clathr,Naive,-0.061886455497459025,0.1286117110731331
DLG,Naive,-2.4747375702231906,0.1632325828127506
EVH1,Naive,-0.21420347911771265,0.11043248795639517
FHA,Naive,-0.44727229399936785,0.03640251205869909
GBD,Naive,-1.142209175996775,0.1584328762061775
IRF7,Naive,-1.6020255803807497,0.14732257705961974
Integrin,Naive,-2.5563536079063436,0.15141309949106474
LIR,Naive,-0.6309764337638138,0.04020481436830879
LYPXL,Naive,0.05129783717237052,0.1690285346751026
MAPK,Naive,-0.2787375388568253,0.046605091705543916
MSH2,Naive,-0.6068760321280374,0.09875769807805575
MYND,Naive,0.9515534417018155,0.15432682058497055
NRBOX,Naive,-0.5314092628806472,0.18509807287759591
NRP,Naive,0.3873757569257007,0.10939699792459841
PCNA,Naive,-1.1231084608449178,0.12485262936413168
PDZ,Naive,-0.0029204193741899087,0.04068086230963084
PP1,Naive,0.39469764348102016,0.07987635075667464
PP2A,Naive,-0.7448548253677697,0.06115812506576401
PP2B,Naive,-1.2353391351139429,0.08594324320068113
PP4,Naive,-0.4268602308453622,0.06804338414067337
PTB,Naive,-0.264442705001393,0.06907115183416657
Pex14,Naive,-0.5595902769401239,0.06461303387405512
REV1ctd,Naive,0.654623924071033,0.0935362614897902
SH2,Naive,-0.015693743910732916,0.037457358432986095
SH3,Naive,-0.12774642836288852,0.0382226954865557
SUMO,Naive,-0.5257514419179028,0.05744154293815375
TRAF2like,Naive,0.6048195788419974,0.06563510594327573
TRAF4,Naive,0.10900563580346317,0.11178895637043901
TRAF6,Naive,-0.8596666304143734,0.07874544418746139
TRFH,Naive,-0.5757450984816705,0.11212142318697577
TYR,Naive,-0.8746612888460802,0.05604186561990956
UBA3,Naive,-0.13605130156636708,0.06767257049882906
USP7,Naive,-0.6765109466678711,0.03477103174685121
WD40,Naive,-0.5885924823229909,0.03714435690433234
WRC,Naive,-0.3324012154952482,0.0683016970981123
WW,Naive,-0.17052760144181378,0.03779346611989033
deltaCOP1,Naive,0.08780594651104329,0.1358490239632307
eIF4E,Naive,0.4712738238630141,0.11810177396560324
14-3-3,CM,-0.15747803507897434,0.04001020152279686
ANK,CM,-0.6548355676297184,0.13865554427784815
APCC,CM,-1.315383558492674,0.11486082700622446
Actin,CM,0.3575259607447909,0.1387859697839533
Arc,CM,0.04955341646823798,0.05090139689553378
BIR,CM,0.7316691490073521,0.058520779429880966
BRCT,CM,-0.506656853114801,0.06312408672510214
CDC14,CM,-0.5204840358928999,0.1849088035259322
CKS1,CM,-0.22073929109947638,0.08902212393915859
CSL,CM,-0.21305243569841484,0.1654951884376189
CYCLIN,CM,-0.47424171709576424,0.06505095239174799
Clathr,CM,-0.16714171656028942,0.14204683166173362
DLG,CM,-2.475796831815678,0.1809683179012993
EVH1,CM,0.0536100192971663,0.12199748660372925
FHA,CM,-0.6161815348791448,0.04022541686476636
GBD,CM,-1.6391280588935415,0.1751222712022536
IRF7,CM,-2.2289781908485087,0.16300908797583108
Integrin,CM,-0.9227500563632607,0.16673102986903093
