motif,Naive,CM,EM,PD1_Low
SH3,0.09761754177620025,0.09769049619346595,0.0977876054245751,0.09777047365310128
LIR,0.09778033223833482,0.09768686247342523,0.09762743591293649,0.09767238035033825
WW,0.09761446184703766,0.09763753234088504,0.0977109236921003,0.09766703099558646
SH2,0.09769482835848582,0.09765443592856884,0.09764029095143964,0.09764350224660072
USP7,0.09768229767404754,0.0976135873921906,0.09764719481153528,0.09760850551589093
Arc,0.09763492312847832,0.09767649300443258,0.09764136943209378,0.09766865835564414
LYPXL,0.09767533488953073,0.09767545588128002,0.09767533859669925,0.09767541638559646
PCNA,0.09767493936993345,0.09767505578960163,0.09767492514762344,0.09767500002415325
Actin,0.09767390811538768,0.09767443992203459,0.09767414852697788,0.0976742926545583
Integrin,0.09767305232487315,0.0976739486278699,0.09767339720245047,0.09767364176100693
Clathr,0.09767310593665471,0.09767392846045803,0.09767345392091001,0.09767348566236676
CDC14,0.09767286729772108,0.09767391116550314,0.09767314127625493,0.09767374813591309
IRF7,0.0976731656107391,0.09767334766797559,0.09767316542967132,0.09767323289040683
ANK,0.09767231896403994,0.09767303463428212,0.09767265138459987,0.09767303316671451
DLG,0.09767217425974162,0.09767261430576901,0.09767285583427729,0.09767256573878641
MYND,0.09767184334098629,0.09767252971523359,0.09767237910282252,0.09767249237686537
GBD,0.09767189132842376,0.09767209850273167,0.09767203895473563,0.09767206105027428
PP2B,0.09767097198985096,0.09767198598619806,0.09767157211732264,0.09767168281758598
TRFH,0.09767118462923785,0.09767157654232674,0.09767084463232584,0.09767116600703094
CSL,0.09767054560334032,0.09767156078023861,0.09767079173505755,0.09767110030188948
MSH2,0.09766985063124034,0.0976709749284927,0.09767018588139253,0.09767049180069325
deltaCOP1,0.09766950377488663,0.09767056342219976,0.09766969001846612,0.09767018515993417
TRAF4,0.0976692239752058,0.09767005969150927,0.09766940569229807,0.09766958926263905
NRP,0.0976691021717404,0.0976697030771595,0.09766983680319484,0.0976693267921367
APCC,0.09766813822978097,0.0976690427963904,0.0976691432387217,0.09766939607241462
eIF4E,0.09766808808031187,0.09766935239825184,0.0976683934423972,0.09766860809149386
EVH1,0.09766824129922688,0.09766917082055168,0.09766863701412681,0.09766862613091223
UBA3,0.09766746286649523,0.09766720946247176,0.09766615407440238,0.09766637965047291
PDZ,0.09761541680925082,0.09766630802645812,0.09765665686845179,0.09764783861137485
14-3-3,0.09765295241531763,0.09765147139888385,0.0976318098026837,0.09766618056109926
WRC,0.0976627745823021,0.09766464631724514,0.09766332513740675,0.09766443439321926
MAPK,0.09764116048997003,0.09766376586753925,0.09766219269652934,0.09766448196605279
TYR,0.09766409597854597,0.09765267099309527,0.09764739957367624,0.09765119709688755
PP1,0.09766174905237389,0.09766374729632593,0.0976633877287094,0.09766365890142659
TRAF6,0.09766138561726621,0.09766270902656496,0.09766215367270115,0.09766251813651292
REV1ctd,0.09766186177912078,0.0976624283539512,0.09766250420313499,0.09766262405912082
PP4,0.0976603522112177,0.09766256339860872,0.09766094212430232,0.0976614065024688
CKS1,0.09765875756552388,0.09766190635075803,0.09766083513318222,0.0976609699770418
SUMO,0.09764900631346361,0.09766159199673499,0.09765519722500433,0.0976564692816991
FHA,0.09759923277031744,0.09763573798930981,0.09764693557427373,0.09766139974718571
PP2A,0.09765925629185619,0.0976611900511313,0.09766053120888374,0.09766033883148295
Pex14,0.09765749414592996,0.09766096812540509,0.09765919077711069,0.09765981155187822
WD40,0.09766056353799181,0.09764501986141245,0.09764190921062915,0.09764238475555861
CYCLIN,0.09765559857684344,0.09765828018593659,0.09765931096311539,0.09766053063957358
BIR,0.09764060701925191,0.09765428519559705,0.09765564300217648,0.09765957631479741
PTB,0.09765584724676243,0.09765943715354189,0.09765745606626348,0.09765833336236676
TRAF2like,0.09765852346117371,0.09765614726089777,0.09765381175281553,0.0976549198417768
BRCT,0.09765460688170464,0.09765793309343493,0.09765625180153448,0.09765673953467793
