motif,Naive,CM,EM,PD1_Low
F_14_3_3,-4.628813303450831,-4.020966399602161,-5.181486736537737,-5.131576000608275
Arc,0.37795395060014897,1.3567813907326272,1.129539276468688,1.2201123717370208
BIR,4.278905956307532,7.565171152878073,6.159334315035559,7.309564937277673
BRCT,-2.3360187647000865,-11.316339143057318,-8.642001713589321,-6.918473087508949
CKS1,-12.323629733309964,-7.974241914374128,-7.114910081569683,-6.855129607446688
CYCLIN,-8.914467062112845,-8.695281179465818,-13.518260869833803,-9.813935867089139
FHA,-1.6021751921710365,-4.341176515479165,-3.848720267018109,-5.079272593735418
LIR,-10.181463295540507,-2.7601717715370264,-3.230111593329142,-2.916468336742389
MAPK,1.8962496376428422,3.27569092153678,0.47439844112420293,3.639778622868054
PDZ,2.2779490872287256,-1.5108250804659678,1.3872835599913274,-0.6185597576011513
PP2A,-7.102315102381285,-7.3330187600727195,-11.566852844287926,-7.086387963078201
PP4,0.5461199757042186,0.2442829224743366,0.11031426536334302,0.3096808701265246
PTB,-3.0016984769757817,-3.19741376398007,-2.3205738569782013,-1.6410744527717058
Pex14,-6.5739177795818655,-5.738205233386334,-5.718326563118643,-4.815532075758954
SH2,-2.793996565694424,-0.12572005057386562,1.158264190060766,0.7264404564839941
SH3,1.5833829210287125,1.3322677925902238,1.8713680042449987,1.3857694340543043
SUMO,-2.0028933700579774,-1.5510216399278702,-2.0244525675941976,-2.031663047072028
TRAF2like,0.8186163465563395,0.7698129191425613,0.7683883539732577,0.8324172564304544
TRAF6,-3.7292420932887116,-3.2942617881024896,-3.802573695909606,-2.863316594100693
TYR,-2.3406177515911897,-0.9189799572095755,-0.8212198088091146,-1.074069022063876
USP7,-5.952904680718245,-4.106946130973035,-4.681246905951329,-4.224069013160706
WD40,-7.892877179972124,-2.3937241465439225,-3.307479560491211,-2.924235155756015
WRC,-2.6061139571453515,-2.6925522777373603,-2.2867823284038833,-3.871011740556477
WW,3.4434706535182187,2.4955788245747716,1.9571490737179782,2.491790986797448
