motif,contrast,log_effect,se_log_effect,z,logFC,pvalue,qvalue,neglog10_q
DLG,EM_vs_CM,0.9031320005075184,0.20074402303668185,4.498923488957326,1.3029440584003256,6.8298430794442725e-06,0.00030734293857499225,3.512376760656497
IRF7,EM_vs_CM,0.6479312160974546,0.18423614582853706,3.5168517729439714,0.9347671523009531,0.0004366975763328061,0.009825695467488137,2.0076367002906528
WD40,EM_vs_CM,-0.18237075332006503,0.059364132296992674,-3.072069720613161,-0.2631053814180423,0.0021258006637117043,0.03188700995567557,1.4963862026332342
F_14_3_3,EM_vs_CM,-0.1824050728705795,0.06438889725576524,-2.832865302010547,-0.26315489406337506,0.004613282098406332,0.04846786047426747,1.3145461509957843
FHA,EM_vs_CM,0.1289895165283458,0.04634852502477789,2.7830339036547143,0.1860925358221095,0.005385317830474163,0.04846786047426747,1.3145461509957843
PP1,EM_vs_CM,-0.5721633961442814,0.21303618931064408,-2.6857568096562545,-0.8254572941955421,0.007236573884383081,0.05078326032788073,1.2942794204974584
WW,EM_vs_CM,-0.34798342951384276,0.13100156277368516,-2.656330368478197,-0.5020339680711551,0.007899618273225892,0.05078326032788073,1.2942794204974584
deltaCOP1,EM_vs_CM,-0.3242809789578388,0.13404022361070805,-2.4192810950513293,-0.46783856019709236,0.015551217696195035,0.08747559954109707,1.0581130722632002
MYND,EM_vs_CM,0.4546445712677676,0.21146862111311338,2.1499386948032386,0.6559134683350972,0.031560064347935415,0.1578003217396771,0.8018921156410224
MAPK,EM_vs_CM,-0.23342303036596718,0.11748382019395683,-1.9868525723848913,-0.3367582483382548,0.04693873671248409,0.20017691319427985,0.698586012024
SH2,EM_vs_CM,0.11025416250125365,0.055989813461312425,1.9691825295584624,0.15906313347792456,0.048932134336379524,0.20017691319427985,0.698586012024
SH3,EM_vs_CM,0.13007533833830787,0.06752988977021596,1.9261891109391025,0.18765904556263083,0.0540807649783724,0.20280286866889652,0.6929259061520113
UBA3,EM_vs_CM,-0.7037072152930528,0.42343045574569144,-1.6619192260362423,-1.0152349097410693,0.09652897119741037,0.33413874645257435,0.47607316101297714
BIR,EM_vs_CM,-0.10118295708294174,0.07142413550768333,-1.4166493771850717,-0.14597615040604087,0.1565854644616719,0.4857988305325932,0.3135435350102066
