ELM,tsubset,cliff_delta,pvalue,qvalue
14-3-3,Naive,-0.007588469780046639,0.6473795429520088,0.9747394613911984
14-3-3,CM,0.03704622802041974,0.18201079351954186,0.5084985574101282
14-3-3,EM,0.03987245541060062,0.10632611809238957,0.48936674110301864
ANK,Naive,0.026452359617682202,0.5378346039062563,0.9579402959302692
ANK,CM,0.12027703106332138,0.19068695902879806,0.5084985574101282
ANK,EM,0.09985439068100357,0.31246231340782726,0.6162687237713269
APCC,Naive,0.030846346635820317,0.6440364562508547,0.9747394613911984
APCC,CM,-0.04824561403508772,0.6043143606510122,0.7251772327812146
APCC,EM,0.03741726110147163,0.7738762635934978,0.8778497255838061
Actin,Naive,0.0022133687472332894,0.9726797857256384,0.987740460425505
Actin,CM,-0.015714918105356357,0.6464326439552522,0.7456213021299024
Actin,EM,0.04445182234026856,0.6197619418501222,0.8749580355531137
Arc,Naive,-0.0286863610984214,0.3955294384541923,0.8828383193196873
Arc,CM,-0.05446677833612507,0.029826655100254507,0.14316794448122164
Arc,EM,-0.026935180955281458,0.4462927573814589,0.7934093464559269
BIR,Naive,-0.00830669379056476,0.16586175153664262,0.5940422188212546
BIR,CM,0.04917244433373466,0.05586933597502863,0.19155200905724104
BIR,EM,-0.04545328738877126,0.12141478234837799,0.48936674110301864
BRCT,Naive,0.02103525776092148,0.7886893048727431,0.987740460425505
BRCT,CM,0.10123876246663857,0.005328649447663314,0.07166486797281868
BRCT,EM,0.07504126281781148,0.055328194185707,0.48936674110301864
CDC14,Naive,-0.18503762726870296,0.12122806585437562,0.581894716101003
CDC14,CM,-0.06717574147853032,0.04176668412222928,0.15563748291522692
CDC14,EM,-0.18105356352368304,0.1510030597530675,0.48936674110301864
CKS1,Naive,-0.017746913580246913,0.8807821866874738,0.987740460425505
CKS1,CM,0.027012108262108266,0.008132481293873894,0.07807182042118939
CKS1,EM,-0.0091820987654321,0.9662586455561276,0.9662586455561276
CSL,Naive,0.025769745649263723,0.9236397743430516,0.987740460425505
CSL,CM,0.1791164658634538,0.04215181828954062,0.15563748291522692
CSL,EM,0.07126282909415439,0.5455547369705946,0.8728875791529515
CYCLIN,Naive,0.006675221417069244,0.7634674565581234,0.987740460425505
CYCLIN,CM,0.07822312801932367,0.0750916493380942,0.24029327788190144
CYCLIN,EM,0.003801831723027376,0.23876103056278752,0.5493491123042532
Clathr,Naive,0.05042791795779844,0.11123266631904871,0.581894716101003
Clathr,CM,0.27445772465692786,0.005972072331068223,0.07166486797281868
Clathr,EM,-0.07566032167625793,0.2013009682297886,0.5371774334518338
DLG,Naive,0.04437804338202744,0.8135682012907723,0.987740460425505
DLG,CM,-0.1385568835768039,0.27044206684987415,0.5736185411348358
DLG,EM,0.1693227091633466,0.15292710659469333,0.48936674110301864
EVH1,Naive,0.08831583107497742,0.2351664550194108,0.7054993650582324
EVH1,CM,0.05813855013550135,0.40790981985920893,0.5864637870785868
EVH1,EM,0.03761574074074074,0.24034023663311077,0.5493491123042532
FHA,Naive,-0.01233931645288467,0.8167699112739963,0.987740460425505
FHA,CM,0.014470195457826643,0.6844854894665355,0.7640768254510165
FHA,EM,0.04298198123160642,0.09025338920156467,0.48936674110301864
GBD,Naive,0.12428065515714919,0.3444700688912552,0.8267281653390125
GBD,CM,-0.020104766120702375,0.973933269139768,0.973933269139768
GBD,EM,-0.03238896266784713,0.7309097628733459,0.8778497255838061
IRF7,Naive,0.09823668289803747,0.5587985059593237,0.9579402959302692
IRF7,CM,0.015973144459200235,0.8596489996130323,0.8970250430744685
IRF7,EM,0.09565441935959865,0.5745627878652038,0.8749580355531137
Integrin,Naive,-0.36072530864197533,0.007035037225121998,0.06753635736117118
Integrin,CM,-0.06156305114638448,0.8408617976645101,0.8969192508421442
Integrin,EM,-0.07705026455026455,0.7814658314382348,0.8778497255838061
LIR,Naive,0.04173291630926727,9.041152150568443e-05,0.004339753032272853
LIR,CM,0.023781006576148733,0.34615392557305835,0.5736185411348358
LIR,EM,0.05970051674721229,0.01454258178151635,0.3490219627563924
LYPXL,Naive,0.017002865961199293,0.9248497477965966,0.987740460425505
LYPXL,CM,-0.10121803350970018,0.4837828711631944,0.6450438282175925
LYPXL,EM,0.08110119047619048,0.7399801106489381,0.8778497255838061
MAPK,Naive,0.033235401605737715,0.03313051289244329,0.2650441031395463
MAPK,CM,0.0712403353090988,0.0012770326091351425,0.03064878261924342
MAPK,EM,-0.007450520208768745,0.9293666942168525,0.9491404536682749
MSH2,Naive,0.01982520403573035,0.9290525709368552,0.987740460425505
MSH2,CM,0.010217852323115485,0.5993190423533028,0.7251772327812146
MSH2,EM,-0.07571814150761519,0.11536905775168271,0.48936674110301864
