ELM,contrast,effect_ts1,effect_ts2,diff,pvalue,qvalue
14-3-3,EM_vs_CM,0.03987245541060062,0.03704622802041974,0.0028262273901808743,0.21265223618477913,0.46396851531224537
ANK,EM_vs_CM,0.09985439068100357,0.12027703106332138,-0.020422640382317808,0.38137391805759613,0.7040749256447929
APCC,EM_vs_CM,0.03741726110147163,-0.04824561403508772,0.08566287513655935,1.0,1.0
Actin,EM_vs_CM,0.04445182234026856,-0.015714918105356357,0.060166740445624915,1.0,1.0
Arc,EM_vs_CM,-0.026935180955281458,-0.05446677833612507,0.027531597380843615,0.05965331020050901,0.2603053536022211
BIR,EM_vs_CM,-0.04545328738877126,0.04917244433373466,-0.09462573172250592,0.11173867195005727,0.33111688053346205
BRCT,EM_vs_CM,0.07504126281781148,0.10123876246663857,-0.02619749964882709,0.010657298895326628,0.11466378875650989
CDC14,EM_vs_CM,-0.18105356352368304,-0.06717574147853032,-0.11387782204515272,0.08353336824445856,0.2890410396997071
CKS1,EM_vs_CM,-0.0091820987654321,0.027012108262108266,-0.036194207027540365,0.01626496258774779,0.1301197007019823
CSL,EM_vs_CM,0.07126282909415439,0.1791164658634538,-0.10785363676929942,0.08430363657908124,0.2890410396997071
CYCLIN,EM_vs_CM,0.003801831723027376,0.07822312801932367,-0.07442129629629629,0.1501832986761884,0.40048879646983576
Clathr,EM_vs_CM,-0.07566032167625793,0.27445772465692786,-0.3501180463331858,0.011944144662136447,0.11466378875650989
DLG,EM_vs_CM,0.1693227091633466,-0.1385568835768039,0.30787959274015053,0.30585421318938666,0.5872400893236224
EVH1,EM_vs_CM,0.03761574074074074,0.05813855013550135,-0.02052280939476061,0.48068047326622154,0.7956090591992633
FHA,EM_vs_CM,0.04298198123160642,0.014470195457826643,0.028511785773779774,0.18050677840312934,0.4560171243868531
GBD,EM_vs_CM,-0.03238896266784713,-0.020104766120702375,-0.012284196547144757,1.0,1.0
IRF7,EM_vs_CM,0.09565441935959865,0.015973144459200235,0.07968127490039842,1.0,1.0
Integrin,EM_vs_CM,-0.07705026455026455,-0.06156305114638448,-0.015487213403880068,1.0,1.0
LIR,EM_vs_CM,0.05970051674721229,0.023781006576148733,0.035919510171063554,0.0290851635630327,0.15512087233617441
LYPXL,EM_vs_CM,0.08110119047619048,-0.10121803350970018,0.18231922398589068,0.9675657423263888,1.0
MAPK,EM_vs_CM,-0.007450520208768745,0.0712403353090988,-0.07869085551786754,0.002554065218270285,0.04086504349232456
MSH2,EM_vs_CM,-0.07571814150761519,0.010217852323115485,-0.08593599383073067,0.23073811550336543,0.4815404149635452
MYND,EM_vs_CM,0.1394466755912539,0.10156180276662204,0.03788487282463186,0.3051862766794462,0.5872400893236224
