motif,Naive,CM,EM,PD1_Low
IRF7,-2.058776092058387,-3.5775807962081174,-2.474400091222374,-2.740360077736536
PP2B,-2.962910413954547,-2.0875099786620153,-2.851430775827824,-2.291038205925929
ANK,-1.3590524680698746,-2.7560049453426956,-2.083568472568416,-1.8366255415374986
CDC14,-1.7676084378790793,-0.3861982353035555,-2.595790741651939,-1.1952263113106394
DLG,-2.0549734563599173,-2.475088776588276,-1.440314662126474,-1.782686710161086
TRFH,-1.7734556427652004,-1.3854458208144154,-0.9235689434730361,-1.3475984341003402
GBD,-0.37226919659467245,-1.202910130830121,-1.2028270371898229,-1.0614555551524134
UBA3,-0.4390602799746687,-0.006886718324282004,-1.185569331816784,-0.6347481636630573
CKS1,-0.9702481815617356,-1.1011747007537485,-1.1273218702703873,-0.9884922346461655
TRAF2like,1.095152786859717,0.3539760831431857,0.4931834424772475,0.3650917894798829
CYCLIN,-0.7584720841624427,-1.067773749934864,-0.384272677938919,-0.8724354701575338
REV1ctd,0.43348399129718335,0.6927100733809229,0.9947575940934376,0.840058020164316
TRAF6,-0.39897024868296144,-0.9876700415909024,-0.7337473866967047,-0.7064615977114054
MSH2,-0.7386817130589071,-0.959018836656196,-0.5934277317241359,-0.6232023513371365
TYR,-0.7519348060938936,-0.8461096207751234,-0.8215276687248184,-0.9140188890360346
PP2A,-0.650270859372782,-0.892395689392262,-0.6202589385043307,-0.6985829069210044
NRP,0.4551799256049284,-0.8160670007929104,-0.3765640835504101,-0.28598367208640485
TRAF4,0.14035071006354527,0.812353368107288,0.4931663907722651,0.3681405172259953
MYND,-0.7730083782334708,-0.7046897817971541,-0.7512192194482588,-0.5279967706432204
Arc,0.4690830606868449,0.7594382168736468,0.6372629715392273,0.5578518819489018
Clathr,0.1735842733840734,-0.12952358112860773,-0.7350752883951477,-0.47267047512436006
WRC,-0.6888642230686342,-0.19316438441041411,-0.7146895011179133,-0.4930661546721181
USP7,-0.6146442177572357,-0.5423766425800068,-0.7017008379328509,-0.5898829094612044
LIR,-0.6069071263738638,-0.4766614398663379,-0.6847265276761932,-0.41711854620112826
14-3-3,-0.6536093580161725,-0.6687563683638122,-0.5100186857569146,-0.6515816363284445
PTB,-0.6479638158376724,-0.49877228740944396,-0.3308152566859722,-0.3545082269708733
eIF4E,-0.16305838430604058,0.626935215934696,-0.481033229081827,-0.015651137153790674
SUMO,-0.6070929503552771,-0.062490005357330014,-0.6132508808697571,-0.27345244172275357
WD40,-0.5932308292243207,-0.48993320441195676,-0.45961799863499947,-0.47002475397539556
APCC,-0.5889628684428949,-0.5729759776876056,-0.4116329419198932,-0.541550931716761
deltaCOP1,0.5431770110373587,0.19155967153006714,0.3374732585360688,0.13921727599742434
EVH1,-0.2522973360467684,-0.37260576654384625,-0.15341959412212702,-0.5393066580599948
PP1,0.38181406929155515,0.5056673271612293,0.4608599156465346,0.09354068655825101
Actin,0.17131229292294625,-0.07864956768562203,-0.21703514395407209,0.4940425371687386
WW,0.44663428942547734,0.4768825937118256,0.4384538804817596,0.28517511918852007
BRCT,-0.4102203596563877,-0.2806033545647206,-0.4379258037584304,-0.4523824877764169
FHA,-0.4292851277518635,-0.38911662064284497,-0.347748302285955,-0.4205446039857448
Pex14,0.06518698247071009,0.326134574397065,-0.13485787893985568,0.33551330541126945
CSL,-0.10074407275508218,0.08677807308491017,-0.27375599222066166,0.09674102736407317
BIR,-0.00472804720869624,0.26289724449276053,0.1951907418637045,0.23637404725289674
SH2,-0.06872816448615698,-0.25480307668677127,0.0992287268813209,-0.16183666760602786
PP4,0.1667037867480573,0.25099509636737005,0.05878144147994724,0.14019010715727268
MAPK,0.2086080579463565,0.08123117254117551,0.19639837817292755,0.1939341590896284
PDZ,0.13046619890502406,-0.11986527623854878,0.11293265392084618,0.007786424500978001
SH3,-0.021822378485551228,-0.07059403440016317,0.06478480782522411,-0.018718265641583996
