CCD,total_counts,g_statistic,df,pvalue,Naive_High_prop,Naive_Low_prop,CM_High_prop,CM_Low_prop,EM_High_prop,EM_Low_prop,Naive_High_effect,Naive_Low_effect,CM_High_effect,CM_Low_effect,EM_High_effect,EM_Low_effect,Naive_High_se,Naive_Low_se,CM_High_se,CM_Low_se,EM_High_se,EM_Low_se,qvalue,Naive_High_pip,Naive_Low_pip,CM_High_pip,CM_Low_pip,EM_High_pip,EM_Low_pip,max_pip,Naive_High_ci_excludes_zero,Naive_Low_ci_excludes_zero,CM_High_ci_excludes_zero,CM_Low_ci_excludes_zero,EM_High_ci_excludes_zero,EM_Low_ci_excludes_zero,significant_pip
AGTRAP-1,24152,4875.531376616835,5,0.0,0.22780722093408412,0.10077840344484928,0.08616263663464724,0.05510930771778735,0.16354753229546207,0.36659489897316994,0.31008869300946573,-0.48422388488227885,-0.8341213370079679,-0.8675885910330072,0.40673008956220835,0.5373523244354631,0.015628407760676997,0.021606922286267084,0.02312362696643211,0.02841225314266753,0.017759486934966023,0.01360824163660579,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
ANO6-2,2880,3026.8638294435104,5,0.0,0.43645833333333334,0.0375,0.049305555555555554,0.04236111111111111,0.3506944444444444,0.08368055555555555,1.2712957253660029,-1.5315900194255683,-1.4157864011723473,-1.1276385864276128,1.4167535815816472,-1.3306909196882808,0.03768690838054939,0.09813140179129702,0.08611731055825825,0.0925810300525948,0.03920705825191371,0.06734186645973762,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
ARL6IP1-2,2956,1837.9261486779312,5,0.0,0.05953991880920163,0.11062246278755074,0.04803788903924222,0.04296346414073072,0.2902571041948579,0.4485791610284168,-1.2422804336583924,-0.3687692472953399,-1.4432821425560363,-1.112939447130288,1.1366238186287279,0.8633185193679415,0.07778235391536886,0.05872183437266188,0.086060021429506,0.09077137475832915,0.04067509129472792,0.0370713662575943,0.0,1.0,0.9999999961166789,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
ASIC2-2,8865,4996.373688094478,5,0.0,0.21804850535815004,0.09498025944726453,0.0164692611393119,0.024252679075014102,0.22053017484489565,0.4257191201353638,0.2463692508515012,-0.5424530285485307,-2.5554657142093524,-1.7115919934221162,0.7732967494827858,0.77668251461363,0.02588920497094943,0.03636089654157823,0.08350286864901284,0.06912840579301548,0.0258589586142261,0.02163580319630989,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
CAV1-2,6433,1089.229716934597,5,2.8738615059147905e-233,0.20503653039017566,0.06078035131353956,0.22260220736825742,0.06793098087983833,0.0794341675734494,0.36421576247473963,0.16679338166547386,-1.0267225208417305,0.29862703838353677,-0.629656894935436,-0.42855093287040935,0.5134781117172866,0.031021256217197226,0.0522765910814968,0.03011750241667864,0.049669842063283266,0.04623952165033971,0.02603796412036569,4.242366984921834e-233,0.9999986311728608,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
CLPTM1-1,13242,3445.83010749032,5,0.0,0.13457181694608064,0.11607008004833107,0.07106177314605044,0.09031868297840205,0.11954387554750037,0.4684337713336354,-0.3457987701621619,-0.31809561231306915,-1.0361420605229268,-0.3212218434329386,0.02817187531486276,0.9584910339221676,0.02563381436400556,0.027311776248925366,0.033952395992899134,0.030515882772006255,0.02701678153657307,0.017608444365250726,0.0,1.0,1.0,1.0,1.0,0.3685370122625016,1.0,1.0,True,True,True,True,False,True,True
ENTPD7-2,26939,1142.2302354003073,5,9.55972247383451e-245,0.15742974869148818,0.2027543709863024,0.1545714391774008,0.14150488139871562,0.1391662645235532,0.2045732952225398,-0.16222527742352888,0.3614534324059593,-0.15773379552176814,0.1976251448250952,0.20990906599030756,-0.30147543332120286,0.016990278089860356,0.015486543022752803,0.0171181428829292,0.017832004845033913,0.0179603896831044,0.01532736419424488,1.481756983444349e-244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
GABRA1-1,4369,2037.0959860826595,5,0.0,0.21240558480201419,0.1650263218127718,0.38750286106660564,0.03364614328221561,0.010986495765621425,0.19043259327077133,0.21123358374599732,0.09608466002109828,1.0968337748225374,-1.3688714183745663,-2.4812442741693617,-0.38315052507036973,0.03710528853155934,0.04087654414975126,0.031195315106997547,0.08397336290841421,0.14517915851352672,0.0386171394388627,0.0,0.9999997998562516,0.8900690946891212,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
GABRA6-1,22,8.90846294387028,5,0.1127714388430559,0.36363636363636365,0.045454545454545456,0.09090909090909091,0.22727272727272727,0.09090909090909091,0.18181818181818182,0.9608977085212714,-1.3277115072680095,-0.7560616389386641,0.7695245446542276,-0.2781379922808096,-0.4381304277735074,0.4432122750837741,1.0235373938522219,0.7416257101813013,0.5087587395941487,0.7416280824529077,0.5527767725436294,0.12054877945292182,0.9765461872814731,0.9415136122597697,0.9207108540610698,0.9397619185450168,0.8932418442670431,0.8912523192422669,0.9765461872814731,True,False,False,False,False,False,True
GABRP-1,98,5.015329210583138,5,0.4140122560546442,0.16326530612244897,0.10204081632653061,0.19387755102040816,0.15306122448979592,0.16326530612244897,0.22448979591836735,-0.11366519377392681,-0.4579658818753536,0.12154636277972575,0.28252014847674456,0.39037928121452636,-0.17375362293876662,0.2733197246107992,0.3337265139613874,0.25553571532826447,0.2805829402798799,0.2733264282674168,0.24211370366030116,0.4140122560546442,0.784194697629978,0.9065138388915954,0.777655322482312,0.8473883481633996,0.8983485679672759,0.7924291404040429,0.9065138388915954,False,False,False,False,False,False,True
