ELM,effect,se,zscore,pvalue,contrast,pip,ci_excludes_zero,significant_pip,qvalue
14-3-3,0.20641384809359914,26416.01527880296,7.813966107872147e-06,0.999993765357084,EM_vs_CM,0.09999995766884111,False,False,1.0
APCC,-0.6130826338600219,7155.436719700269,-8.568067301498029e-05,0.9999316367139258,EM_vs_CM,0.09999995766883603,False,False,1.0
Actin,-0.29483420774205216,79784.98547416745,-3.695359546534137e-06,0.9999970515296712,EM_vs_CM,0.09999995766884147,False,False,1.0
Arc,-0.31834517441382004,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
BIR,-0.21979094787533981,67625.80496156904,-3.2501047196442904e-06,0.9999974067916232,EM_vs_CM,0.09999995766884144,False,False,1.0
BRCT,0.7963897492797135,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
CDC14,0.0,100000.0,0.0,1.0,EM_vs_CM,0.09999995766884147,False,False,1.0
CKS1,0.0,100000.0,0.0,1.0,EM_vs_CM,0.09999995766884147,False,False,1.0
CYCLIN,-0.4853637337076859,29050.558275739935,-1.670755271209408e-05,0.9999866693016428,EM_vs_CM,0.09999995766884116,False,False,1.0
Clathr,-0.6920242858764865,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
FHA,0.018892931907287636,17145.22788236288,1.1019353045008285e-06,0.9999991207828335,EM_vs_CM,0.09999995766884054,False,False,1.0
GBD,0.06887242460166065,43629.71556888499,1.578566894228799e-06,0.9999987404858469,EM_vs_CM,0.09999995766884134,False,False,1.0
IRF7,0.0,100000.0,0.0,1.0,EM_vs_CM,0.09999995766884147,False,False,1.0
Integrin,-0.3106808998221212,82238.22544801625,-3.777816193498804e-06,0.9999969857387857,EM_vs_CM,0.09999995766884147,False,False,1.0
LIR,0.2598843026296756,0.40653760119672716,0.6392626459758031,0.5226520844065224,EM_vs_CM,0.09999895355250064,False,False,1.0
LYPXL,-0.4119180871629342,26868.085979208365,-1.5331128815118927e-05,0.9999877675290192,EM_vs_CM,0.09999995766884112,False,False,1.0
MAPK,-0.30866898831553546,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
MYND,0.0,100000.0,0.0,1.0,EM_vs_CM,0.09999995766884147,False,False,1.0
NRBOX,0.3497149450256457,81235.91315129676,4.304930312955598e-06,0.999996565162568,EM_vs_CM,0.09999995766884147,False,False,1.0
NRP,-0.6209119650099708,57834.917998511,-1.0735935771983918e-05,0.9999914339626019,EM_vs_CM,0.09999995766884143,False,False,1.0
PCNA,-0.681792614307393,0.0,0.0,1.0,EM_vs_CM,,True,False,1.0
