ELM,phenotype,effect,se,pip,significant
14-3-3,Naive_High,0.05840488813566504,0.0,,False
14-3-3,CM_High,-0.2288107682721741,25771.426546720944,0.0999999786042249,False
14-3-3,CM_Low,-0.027761849192304778,33173.0519075215,0.09999997860422506,False
14-3-3,EM_High,0.1168660768133743,0.0,,False
14-3-3,EM_Low,0.03938900190934516,31098.465464807687,0.099999978604225,False
APCC,Naive_High,-0.027885625352675233,0.0,,False
APCC,CM_High,0.40249607160764517,0.0,,False
APCC,CM_Low,0.10389107162991054,20994.885154130676,0.0999999786042247,False
APCC,EM_High,-0.09977415303402293,23248.979915325803,0.09999997860422478,False
APCC,EM_Low,-0.6200039714484652,14965.958708999384,0.09999997860422415,False
Actin,Naive_High,0.14704494606428048,79106.1550655674,0.0999999786042252,False
Actin,CM_High,0.4731246425124529,70416.60318907171,0.09999997860422521,False
Actin,CM_Low,-0.028813297255652907,81732.36204575682,0.09999997860422524,False
Actin,EM_High,-0.017256497820644312,75225.63942502541,0.09999997860422523,False
Actin,EM_Low,-0.12810057240666,80026.48157997504,0.09999997860422524,False
Arc,Naive_High,0.19770745087720185,0.0,,False
Arc,CM_High,0.009491728946391116,0.0,,False
Arc,CM_Low,0.08213176752736868,22470.533134854766,0.09999997860422477,False
Arc,EM_High,-0.1790368469276339,0.0,,False
Arc,EM_Low,-0.3660300054262463,17097.292368150196,0.0999999786042244,False
BIR,Naive_High,-0.28413091067599466,70939.16050595774,0.09999997860422521,False
BIR,CM_High,0.40616044065486917,71246.48366465383,0.09999997860422523,False
BIR,CM_Low,-0.14609024201776372,68156.21861350523,0.09999997860422521,False
BIR,EM_High,0.07150538900239244,68624.2345013536,0.09999997860422521,False
BIR,EM_Low,-0.2510170861159666,48130.035818842734,0.09999997860422517,False
BRCT,Naive_High,-0.14857556839885924,0.0,,False
BRCT,CM_High,-0.7692164005284584,0.0,,False
BRCT,CM_Low,-0.1568678539590678,19556.01556304334,0.0999999786042246,False
BRCT,EM_High,0.6561080355106067,0.0,,False
BRCT,EM_Low,0.01058720856129404,5313.233708773632,0.09999997860421636,False
CDC14,Naive_High,0.0,100000.0,0.09999997860422523,False
CDC14,CM_High,0.0,100000.0,0.09999997860422523,False
CDC14,CM_Low,0.0,100000.0,0.09999997860422523,False
CDC14,EM_High,0.0,100000.0,0.09999997860422523,False
CDC14,EM_Low,0.0,100000.0,0.09999997860422523,False
CKS1,Naive_High,0.0,100000.0,0.09999997860422523,False
CKS1,CM_High,0.0,100000.0,0.09999997860422523,False
CKS1,CM_Low,0.0,100000.0,0.09999997860422523,False
CKS1,EM_High,0.0,100000.0,0.09999997860422523,False
CKS1,EM_Low,0.0,100000.0,0.09999997860422523,False
CYCLIN,Naive_High,0.0746412133342016,47020.44376050604,0.09999997860422513,False
CYCLIN,CM_High,0.20294735366594518,42277.444010198786,0.09999997860422513,False
CYCLIN,CM_Low,0.37314223138193325,43990.764970903154,0.09999997860422515,False
CYCLIN,EM_High,0.417323311965632,38736.58450064878,0.09999997860422508,False
CYCLIN,EM_Low,-0.8119611943331253,46075.74413663443,0.09999997860422515,False
Clathr,Naive_High,-0.12295263477273563,0.0,,False
Clathr,CM_High,0.2438782029247525,14992.074425733392,0.09999997860422415,False
Clathr,CM_Low,0.1745549096911436,39414.51202641801,0.09999997860422512,False
Clathr,EM_High,-0.7435941809600229,9975.890520605066,0.09999997860422274,False
Clathr,EM_Low,-0.22202127817705386,0.0,,False
FHA,Naive_High,0.7041805030872755,0.0,,False
FHA,CM_High,0.39699809036376693,33473.82959939384,0.09999997860422506,False
FHA,CM_Low,0.3182436446987033,34113.92603517274,0.09999997860422508,False
FHA,EM_High,0.5865742240358673,0.0,,False
FHA,EM_Low,0.16645337484117817,0.0,,False
GBD,Naive_High,0.1215879736665064,0.0,,False
GBD,CM_High,0.23637287992422726,0.0,,False
GBD,CM_Low,-0.22708172812601424,43976.97167294745,0.09999997860422512,False
GBD,EM_High,0.01895584794750782,45424.02143303189,0.09999997860422516,False
GBD,EM_Low,0.1280801530540265,35942.26537971867,0.09999997860422508,False
IRF7,Naive_High,0.0,100000.0,0.09999997860422523,False
IRF7,CM_High,0.0,100000.0,0.09999997860422523,False
IRF7,CM_Low,0.0,100000.0,0.09999997860422523,False
IRF7,EM_High,0.0,100000.0,0.09999997860422523,False
IRF7,EM_Low,0.0,100000.0,0.09999997860422523,False
Integrin,Naive_High,0.27436587505913773,62050.56321906802,0.09999997860422519,False
Integrin,CM_High,0.484719082195199,71352.97706091034,0.09999997860422521,False
Integrin,CM_Low,0.002933741616399143,38918.9557865158,0.0999999786042251,False
Integrin,EM_High,-0.5928186190964102,49955.68696383345,0.09999997860422517,False
Integrin,EM_Low,0.45910964326376574,74679.64745837299,0.09999997860422523,False
LIR,Naive_High,0.3213971011787675,0.5184927184193199,0.0999994026259938,False
LIR,CM_High,-0.3198388021108633,0.6035161828078152,0.09999948210911064,False
LIR,CM_Low,-0.21898588585087134,0.5979768093300915,0.09999936967072579,False
LIR,EM_High,-0.14748349219337054,0.5727434864855779,0.0999992628586001,False
LIR,EM_Low,0.12842740949098708,0.5584150398144175,0.09999921483921795,False
LYPXL,Naive_High,-0.11938814903930631,0.0,,False
LYPXL,CM_High,0.4608529816587427,37651.87232801333,0.09999997860422509,False
LYPXL,CM_Low,0.2541854746815678,65970.03598775005,0.09999997860422521,False
LYPXL,EM_High,-0.06007187028159599,43411.08279823213,0.09999997860422512,False
LYPXL,EM_Low,-0.048725847703961954,43901.00760676026,0.09999997860422515,False
MAPK,Naive_High,0.05135491329200212,0.0,,False
MAPK,CM_High,0.2563623204393812,15440.612016051187,0.0999999786042242,False
MAPK,CM_Low,0.11771619072695648,28572.213564025285,0.09999997860422496,False
MAPK,EM_High,0.1185325774685765,21708.842525741235,0.09999997860422474,False
MAPK,EM_Low,-0.3617920429333097,0.0,,False
MYND,Naive_High,0.0,100000.0,0.09999997860422523,False
MYND,CM_High,0.0,100000.0,0.09999997860422523,False
MYND,CM_Low,0.0,100000.0,0.09999997860422523,False
MYND,EM_High,0.0,100000.0,0.09999997860422523,False
MYND,EM_Low,0.0,100000.0,0.09999997860422523,False
NRBOX,Naive_High,0.17543013855474368,42353.07147287892,0.09999997860422512,False
NRBOX,CM_High,-0.22492782340125902,80855.3881911139,0.09999997860422524,False
NRBOX,CM_Low,-0.09335199087214247,80145.02322616483,0.09999997860422523,False
