motif,tsubset,coef,se
14-3-3,Naive,-0.0067311949515796885,0.24400185705383717
APCC,Naive,-0.6681365964970105,0.48544842028448226
Arc,Naive,1.974402010547238,0.4451626237323863
BIR,Naive,-1.281774812231655,1.1315255020894979
BRCT,Naive,-1.6400044191425074,0.5024840050453633
CYCLIN,Naive,-4.107556558033409,0.36562048371782896
FHA,Naive,-2.966118092113606,0.2761427711794274
LIR,Naive,-1.264796004044952,0.2997881223830586
MAPK,Naive,-3.0651345908432943,0.35588708246227774
NRP,Naive,-0.3237001428562063,0.4065410131826109
PCNA,Naive,-1.8191186318013262,0.3377456833169977
PDZ,Naive,-0.6533010453526307,0.3060371744902554
PP1,Naive,3.9144110000209404,0.7298525767077578
PP2A,Naive,0.4240922879310122,0.28627058440718384
PP2B,Naive,-1.3789172447049556,0.6171006820545892
PP4,Naive,1.9144696894620858,1.0769194437540868
Pex14,Naive,-0.5629703746670152,0.38113448357099916
SH2,Naive,1.0293640691529122,0.30970301948968315
SH3,Naive,4.1623975943836165,0.33730009017790136
SUMO,Naive,0.5090493181219751,0.411396047909247
TYR,Naive,-2.7819736000043016,0.5381641419016534
UBA3,Naive,-1.817334899374065,0.4167257385469238
USP7,Naive,0.3909030001870893,0.30303476621565867
WD40,Naive,-0.48016320761161413,0.3396436053991974
WRC,Naive,-1.5744932411719903,0.39345596749598216
WW,Naive,-4.218906324867059,0.30635762751942136
14-3-3,CM,-0.37352875476100894,0.24677610942766323
APCC,CM,-1.7292894306284872,0.4913612357359713
Arc,CM,3.1679641060830988,0.4458435601505971
BIR,CM,2.400579872393011,1.1448517618350678
BRCT,CM,-1.768068110229908,0.4941911655629768
CYCLIN,CM,-1.0502266088658094,0.35427006637497793
FHA,CM,-3.5140946446851777,0.27694781734646085
LIR,CM,-3.1817719337601402,0.31178148491072033
MAPK,CM,-2.616561394429175,0.3629182502860049
NRP,CM,0.7449049725667334,0.4135691903824765
PCNA,CM,-1.364717565494732,0.33962248166679326
PDZ,CM,-1.2310736633827082,0.3037785603320755
PP1,CM,9.532971367345613,0.7681100084324901
PP2A,CM,-1.4038381161898066,0.2876951701559301
PP2B,CM,-4.890798150218666,0.6503413435032127
PP4,CM,-0.5854528967131825,1.0871375421728173
Pex14,CM,-4.0656074071962065,0.41996092412834873
SH2,CM,2.1749477701194615,0.31422532359677374
SH3,CM,2.5542489599460474,0.32203927047956654
SUMO,CM,2.140820276432287,0.4162554763008502
TYR,CM,-4.364331540908673,0.550279200775867
UBA3,CM,-3.113579231626527,0.4234187918582582
USP7,CM,0.23399163470557477,0.3038206401205335
WD40,CM,-0.11568717001506088,0.33948828189130625
WRC,CM,-0.7731778089524937,0.38175497080453746
WW,CM,-2.5279944036935356,0.30121835765978083
14-3-3,EM,-0.2645628095069159,0.24281983524104503
APCC,EM,-1.8270331570381184,0.47678471322305566
Arc,EM,2.2337906704292094,0.4392792857531403
BIR,EM,2.238050612483982,1.1387907524736829
BRCT,EM,-0.3948382356080369,0.49222016984042766
