motif,Naive,CM,EM,PD1_Low
SH3,-0.2684056487184995,-0.7770381483231177,-0.48425662050240936,-0.5096811309946566
PP4,-0.4023261253593857,-0.2754853551474595,-0.7123805108031208,-0.3308261983191922
LYPXL,-0.2595379201724043,-0.5719832688219606,-0.6561344010824076,-0.4559125789609159
TYR,-0.029651639383337893,0.575066309644389,0.496726506277246,0.38623561312874405
PP2A,-0.06507561340508661,-0.5653823921942991,-0.41466082688248995,-0.3187970566413234
TRAF6,-0.31447276025934434,-0.4189286619612118,-0.5438837043689995,-0.3550504104030006
TRAF2like,-0.12590812640056112,-0.541766711924428,-0.14539173778100567,-0.20326505483763802
WW,0.08823369185724905,0.3936737206561181,0.5275251947210842,0.29676976612113154
FHA,0.013150877021626768,-0.524002864926732,-0.29233207259368876,-0.20109165147245678
WRC,-0.17459794725540975,-0.5202517935055337,-0.3797686981916054,-0.3765635934655885
SUMO,-0.09102931347998314,0.45080330108512956,-0.01641468097947242,0.022269226360702905
USP7,-0.11940479065337034,-0.3737295618490978,-0.4313784419404721,-0.3535139664517888
SH2,0.03946545443793899,0.13436031099779408,0.3815039143170036,0.1616839360136623
CYCLIN,0.03125063213233304,0.3814464230223105,0.11781483840397813,0.1405827837001218
MAPK,-0.05446162213657051,0.35002096287625384,0.3023488966802236,0.24472486287996853
PDZ,0.04685378623779283,0.13611547543366553,0.32562925083905864,0.19446678319789892
14-3-3,0.05070648124105107,0.24905106524247383,0.3019266800828547,0.17634272819692107
LIR,-0.031958868915940894,-0.17900234538575113,-0.29670153016730094,-0.19825411709069643
BIR,0.015536830411459385,0.1152678899549984,0.21206413862083562,0.16830061891279355
EVH1,0.07997549560120665,0.06135787112547479,-0.19614190148666197,0.011692147636567238
NRP,-0.11744283748840399,-0.17921244576241468,-0.0636873918136287,-0.06212683532639762
Pex14,-0.07144899283044971,0.14827716912654268,0.05183563731840707,0.014775081712169192
ANK,-0.010974535284251156,0.12113209291566254,0.08404446263820269,0.06314555559487488
CKS1,0.07235237230322618,-0.01108195890458563,0.10127144041574974,0.04030422042933506
NRBOX,0.07235237230322618,-0.01108195890458563,0.10127144041574974,0.04030422042933506
Arc,0.07235237230322618,-0.01108195890458563,0.10127144041574974,0.04030422042933506
PP2B,-0.06449046933994408,-0.008878595283427297,0.029631755765381625,-0.00968103380994123
Integrin,-0.04190841912412078,0.062091145783035984,-0.05559996524765131,-0.04068368959180562
BRCT,-0.04190841912412078,0.062091145783035984,-0.05559996524765131,-0.04068368959180562
TRFH,-0.04190841912412078,0.062091145783035984,-0.05559996524765131,-0.04068368959180562
WD40,-0.05401866038134372,0.028580831216563247,0.029272075078946774,0.05378534077936009
UBA3,-0.020530164537255185,-0.04080110922851358,0.0014255216901763292,-0.04739764677298159
CDC14,0.043960304802688914,-0.031922513945086335,-0.028206234075205304,-0.03771661296304041
APCC,0.0,0.0,0.0,0.0
