ELM,effect,se,zscore,pvalue,contrast,pip,ci_excludes_zero,significant_pip,qvalue
14-3-3,0.09559309753519879,40989.27911597394,2.3321487861430865e-06,0.99999813921449,EM_vs_CM,0.09999991790172999,False,False,1.0
ANK,0.0015378326332188413,59795.30787485797,2.5718282719394627e-08,0.9999999794797793,EM_vs_CM,0.09999991790173006,False,False,1.0
APCC,0.0,100000.0,0.0,1.0,EM_vs_CM,0.09999991790173011,False,False,1.0
Actin,0.03378363269380254,45963.06537885852,7.350169623225757e-07,0.9999994135413138,EM_vs_CM,0.09999991790173003,False,False,1.0
Arc,0.07967050296608272,0.7152938240805221,0.1113815054512676,0.9113138253114692,EM_vs_CM,0.09999952833825289,False,False,1.0
BIR,-0.19927867331140245,40989.334253692105,-4.8617201752539434e-06,0.9999961209085332,EM_vs_CM,0.09999991790172999,False,False,1.0
BRCT,0.16647630801890803,66297.1235855004,2.5110638141670063e-06,0.9999979964609514,EM_vs_CM,0.09999991790173009,False,False,1.0
CDC14,-0.0397079178284131,77051.6735711712,-5.153414064619327e-07,0.9999995888170482,EM_vs_CM,0.0999999179017301,False,False,1.0
CKS1,-0.05571784419324371,80660.51288583876,-6.90769773211123e-07,0.9999994488454629,EM_vs_CM,0.09999991790173009,False,False,1.0
CYCLIN,-0.2155247136176609,40609.498558010666,-5.307248827753533e-06,0.9999957654281,EM_vs_CM,0.09999991790173002,False,False,1.0
Clathr,0.12200660399446309,66334.26250564691,1.8392697738077195e-06,0.9999985324750443,EM_vs_CM,0.09999991790173009,False,False,1.0
EVH1,-0.18359665541295833,48883.010029009274,-3.7558377707101957e-06,0.9999970032750298,EM_vs_CM,0.09999991790173005,False,False,1.0
FHA,0.052709192809885536,40585.984313572706,1.298704311386101e-06,0.9999989637838809,EM_vs_CM,0.09999991790173,False,False,1.0
IRF7,0.13851661140823235,72404.37476565204,1.9130972659671847e-06,0.9999984735692282,EM_vs_CM,0.09999991790173009,False,False,1.0
Integrin,-0.08197430525293138,65579.20698189213,-1.2500045216400116e-06,0.9999990026406913,EM_vs_CM,0.09999991790173009,False,False,1.0
LIR,0.009253529621372214,27591.629280000776,3.353745270881645e-07,0.9999997324098427,EM_vs_CM,0.09999991790172985,False,False,1.0
LYPXL,-0.0736243015441437,73837.40693475973,-9.97113855978118e-07,0.999999204418249,EM_vs_CM,0.09999991790173007,False,False,1.0
MAPK,0.028433683406706267,40033.36197536451,7.102497018412697e-07,0.9999994333027286,EM_vs_CM,0.09999991790173002,False,False,1.0
MSH2,-0.016510007413769217,69401.12477033919,-2.3789250488956488e-07,0.9999998101892432,EM_vs_CM,0.09999991790173007,False,False,1.0
NRBOX,-0.05571784419324371,82184.25115777204,-6.779625464528498e-07,0.9999994590641513,EM_vs_CM,0.0999999179017301,False,False,1.0
NRP,-0.1326332558611874,60896.6075823658,-2.178007300025606e-06,0.999998262201602,EM_vs_CM,0.09999991790173009,False,False,1.0
PDZ,0.034370810454533524,28099.501377093122,1.2231822192600473e-06,0.9999990240417922,EM_vs_CM,0.09999991790172988,False,False,1.0
PP1,0.05582406751514276,64946.15753790019,8.595438072308726e-07,0.9999993141832669,EM_vs_CM,0.09999991790173007,False,False,1.0
PP2A,0.007387667437398299,43137.53241994605,1.7125846155220433e-07,0.9999998633555176,EM_vs_CM,0.09999991790173002,False,False,1.0
PP2B,-0.05178045666375419,54400.353141937296,-9.518404509002457e-07,0.9999992405411999,EM_vs_CM,0.09999991790173007,False,False,1.0
PP4,-0.1639267744686172,19234.656006097157,-8.522469776254609e-06,0.9999932000529457,EM_vs_CM,0.09999991790172959,False,False,1.0
Pex14,-0.3609993309955839,27591.622616562825,-1.308365716697218e-05,0.9999895607519479,EM_vs_CM,0.09999991790172985,False,False,1.0
REV1ctd,0.1926265457566967,76687.95253957501,2.5118227749957373e-06,0.9999979958553884,EM_vs_CM,0.09999991790173009,False,False,1.0
SH2,0.31751114734536023,0.357467208222329,0.8882245421176707,0.3744199798224621,EM_vs_CM,0.099999584537342,False,False,1.0
SH3,0.18353670843501904,42053.46464439136,4.3643659324392245e-06,0.9999965177398048,EM_vs_CM,0.09999991790173002,False,False,1.0
SUMO,-0.5439627716721342,23842.50404157052,-2.2814833992424192e-05,0.9999817963962018,EM_vs_CM,0.09999991790172978,False,False,1.0
TRAF2like,0.42335324150357134,42203.86190732273,1.0031149339679645e-05,0.9999919963008149,EM_vs_CM,0.09999991790173002,False,False,1.0
TRAF6,-0.032378551082511975,55560.73554283664,-5.827595831151031e-07,0.999999535025126,EM_vs_CM,0.09999991790173006,False,False,1.0
TRFH,-0.1889621051893704,52717.44838627476,-3.58443192858643e-06,0.9999971400371049,EM_vs_CM,0.09999991790173005,False,False,1.0
TYR,-0.21797044210384175,51335.688172931914,-4.245982665501159e-06,0.9999966121959858,EM_vs_CM,0.09999991790173006,False,False,1.0
UBA3,0.1792729705287074,42202.46691626019,4.2479263329422876e-06,0.9999966106451635,EM_vs_CM,0.09999991790173002,False,False,1.0
USP7,-0.07843603742604671,42053.46464324712,-1.8651504243810705e-06,0.9999985118252728,EM_vs_CM,0.09999991790173002,False,False,1.0
WD40,-0.08579850372781767,0.3608728845094119,-0.23775270298974197,0.812072904365779,EM_vs_CM,0.09999845578271706,False,False,1.0
WRC,-0.03922934585351201,54839.46565077331,-7.153487983149016e-07,0.9999994292342382,EM_vs_CM,0.09999991790173007,False,False,1.0
WW,0.13494240051652306,42053.46464287117,3.208829561666051e-06,0.9999974397244346,EM_vs_CM,0.09999991790173,False,False,1.0
14-3-3,0.013221877758135606,35750.13009130291,3.6984138867097857e-07,0.999999704909266,Naive_vs_CM,0.09999991790172998,False,False,1.0
ANK,-0.11020362540645737,55856.12641439667,-1.972990833429023e-06,0.9999984257810755,Naive_vs_CM,0.09999991790173007,False,False,1.0
APCC,0.0,86602.54037844387,0.0,1.0,Naive_vs_CM,0.09999991790173009,False,False,1.0
Actin,0.013316329734550991,39734.41579375301,3.3513339679312877e-07,0.9999997326022368,Naive_vs_CM,0.09999991790172999,False,False,1.0
Arc,0.10638592592883356,0.7321938184711242,0.1452974926105978,0.8844759943255767,Naive_vs_CM,0.09999954939112916,False,False,1.0
BIR,-0.4057178503323764,35750.11639839357,-1.1348714107980004e-05,0.9999909450362284,Naive_vs_CM,0.09999991790172996,False,False,1.0
BRCT,0.1885487521145856,56375.747217765645,3.344501162641236e-06,0.9999973314741587,Naive_vs_CM,0.09999991790173007,False,False,1.0
CDC14,-0.06851610803011055,59065.74428629345,-1.1599973700155355e-06,0.9999990744560079,Naive_vs_CM,0.09999991790173007,False,False,1.0
