ELM,phenotype,effect,se,pip,significant
14-3-3,Naive_High,0.054386439367039456,39888.73879261261,0.0999999650502189,False
14-3-3,CM_High,-0.0028267200485379207,37852.002110691894,0.09999996505021887,False
14-3-3,CM_Low,0.030769403899306165,39410.38267995463,0.0999999650502189,False
14-3-3,EM_High,-0.025783802457289222,34561.49961585534,0.09999996505021887,False
14-3-3,EM_Low,0.24491268137845504,27683.132871009373,0.09999996505021877,False
ANK,Naive_High,-0.13084406721972228,62330.49476872356,0.09999996505021898,False
ANK,CM_High,-0.004003178341069838,59482.28893314316,0.09999996505021898,False
ANK,CM_Low,0.09356636193426231,62346.65459393437,0.09999996505021896,False
ANK,EM_High,0.098783640898257,60885.34031816238,0.09999996505021896,False
ANK,EM_Low,-0.006144792038626848,60586.803139383854,0.09999996505021898,False
APCC,Naive_High,0.0,100000.0,0.09999996505021899,False
APCC,CM_High,0.0,100000.0,0.09999996505021899,False
APCC,CM_Low,0.0,100000.0,0.09999996505021899,False
APCC,EM_High,0.0,100000.0,0.09999996505021899,False
APCC,EM_Low,0.0,100000.0,0.09999996505021899,False
Actin,Naive_High,-0.06572011538467429,39277.47962701192,0.09999996505021894,False
Actin,CM_High,0.24963692135475876,46422.75598055469,0.09999996505021894,False
Actin,CM_Low,-0.34198969620853503,34140.86397177507,0.09999996505021884,False
Actin,EM_High,0.0932119787653976,40221.484513689575,0.09999996505021892,False
Actin,EM_Low,-0.11799748823156878,45062.365263426436,0.09999996505021895,False
Arc,Naive_High,0.12983945677054742,1.0715114401537704,0.09999980314709671,False
Arc,CM_High,0.011075364976017184,1.080505737121679,0.0999998034755919,False
Arc,CM_Low,-0.09400776006313687,1.1421566957672018,0.09999982141214968,False
Arc,EM_High,-0.033093709014664824,1.129411835592988,0.09999981727713698,False
Arc,EM_Low,0.10950231985971058,1.075532569023757,0.09999980365132746,False
BIR,Naive_High,-0.2502570998081782,39888.740177717445,0.0999999650502189,False
BIR,CM_High,0.19020878432226473,37851.97172142777,0.0999999650502189,False
BIR,CM_Low,0.3709698165343099,39410.38551803104,0.09999996505021892,False
BIR,EM_High,0.23494558263335524,34561.496645649684,0.09999996505021884,False
BIR,EM_Low,-0.07232432839958546,27682.992332703565,0.09999996505021876,False
BRCT,Naive_High,0.35131002889408813,55541.71446495272,0.09999996505021895,False
BRCT,CM_High,0.10624362821442693,66240.49886339648,0.09999996505021899,False
BRCT,CM_Low,-0.13203110354951,55748.547485515795,0.09999996505021896,False
BRCT,EM_High,0.24566492460041997,55863.71023322943,0.09999996505021896,False
BRCT,EM_Low,0.06150021610231301,54687.92468969349,0.09999996505021895,False
CDC14,Naive_High,-0.06417234297895998,66911.1680096658,0.09999996505021898,False
CDC14,CM_High,0.15167003770119888,69302.61737170901,0.09999996505021899,False
CDC14,CM_Low,-0.0788101646199378,67261.38542233549,0.09999996505021898,False
CDC14,EM_High,0.05168834309979919,71401.62887698213,0.09999996505021896,False
CDC14,EM_Low,-0.0582443056753643,72652.51446964973,0.09999996505021899,False
CKS1,Naive_High,-0.15888354608702318,78325.66764858557,0.09999996505021899,False
CKS1,CM_High,0.010647040456914763,81357.64087171333,0.099999965050219,False
CKS1,CM_Low,0.15985036934226585,78901.99332876485,0.099999965050219,False
CKS1,EM_High,0.0039535807743841574,78025.87314740088,0.09999996505021898,False
CKS1,EM_Low,0.05510814063830903,74157.07968286783,0.09999996505021898,False
CYCLIN,Naive_High,-0.1960444224371972,17159.249333184063,0.09999996505021838,False
CYCLIN,CM_High,0.0920026565860059,37242.472986577144,0.09999996505021887,False
CYCLIN,CM_Low,0.1962032808311404,20273.430590853262,0.09999996505021858,False
CYCLIN,EM_High,-0.021989745401917084,36571.6989617591,0.09999996505021888,False
CYCLIN,EM_Low,-0.12085374441625843,31013.190552203036,0.09999996505021884,False
Clathr,Naive_High,0.058837834001198554,63355.10429958504,0.09999996505021896,False
Clathr,CM_High,-0.33725201942167565,64956.32078556412,0.09999996505021896,False
Clathr,CM_Low,0.020829516679474035,64520.96268633469,0.09999996505021898,False
Clathr,EM_High,-0.22127164973941352,52877.09273185162,0.09999996505021895,False
Clathr,EM_Low,0.14886235498613806,59472.36036545188,0.09999996505021898,False
EVH1,Naive_High,0.06005126697876718,8721.941990737569,0.09999996505021654,False
EVH1,CM_High,-0.13306513567043296,42989.56162974421,0.09999996505021894,False
EVH1,CM_Low,0.07538082422200022,30620.591430665845,0.09999996505021883,False
EVH1,EM_High,-0.21002762089304583,41883.053409392414,0.09999996505021892,False
EVH1,EM_Low,-0.21485000138130358,38627.94094015978,0.0999999650502189,False
FHA,Naive_High,-0.10413824077569694,37420.168267684574,0.09999996505021888,False
FHA,CM_High,-0.37591556867572157,46462.73228548709,0.09999996505021892,False
FHA,CM_Low,-0.43376137722370806,18266.71862595409,0.09999996505021845,False
FHA,EM_High,-0.36031955749443967,46542.887577977075,0.0999999650502189,False
FHA,EM_Low,-0.3439390027852189,21235.45938681735,0.09999996505021859,False
IRF7,Naive_High,-0.06754926888712856,74472.48269609967,0.09999996505021898,False
IRF7,CM_High,-0.421515997337385,71978.38855295397,0.09999996505021899,False
IRF7,CM_Low,0.04881488055221744,73757.1159536424,0.09999996505021898,False
IRF7,EM_High,-0.2326614610063503,55891.80163602782,0.09999996505021896,False
IRF7,EM_Low,0.13699356703764745,68523.42979128493,0.09999996505021898,False
Integrin,Naive_High,0.06594055943093256,65193.04883529208,0.09999996505021898,False
Integrin,CM_High,0.004397099238290209,69504.45750883281,0.09999996505021899,False
Integrin,CM_Low,-0.00463497833768671,67717.75064160326,0.099999965050219,False
Integrin,EM_High,-0.040364703219184915,65808.25839723725,0.09999996505021896,False
Integrin,EM_Low,-0.12382178638607434,63791.63790929237,0.09999996505021896,False
LIR,Naive_High,0.19527472298712287,33935.843813573505,0.09999996505021885,False
LIR,CM_High,-0.2032863288687934,28369.173987523962,0.09999996505021878,False
LIR,CM_Low,-0.07026417639388564,36510.738701052214,0.09999996505021888,False
LIR,EM_High,-0.16987996371533237,19695.852884596425,0.09999996505021853,False
LIR,EM_Low,-0.08516348230460224,32056.742595811324,0.09999996505021884,False
LYPXL,Naive_High,-0.2518267061915686,70171.42860542783,0.09999996505021899,False
LYPXL,CM_High,-0.4204192970863867,75549.33453834191,0.09999996505021899,False
LYPXL,CM_Low,-0.37491478067675293,69147.00836672292,0.09999996505021898,False
LYPXL,EM_High,-0.349146384136001,71751.05501282154,0.099999965050219,False
LYPXL,EM_Low,-0.5934362967154261,69974.17617663542,0.09999996505021896,False
MAPK,Naive_High,0.053114224937361273,27263.15922830787,0.09999996505021877,False
MAPK,CM_High,0.12898001087063535,38366.09713546509,0.0999999650502189,False
MAPK,CM_Low,0.18281568649948396,24413.50661664296,0.09999996505021871,False
MAPK,EM_High,0.16802525425427084,19362.414522807256,0.0999999650502185,False
MAPK,EM_Low,0.200637809929261,40603.08016036592,0.09999996505021892,False
MSH2,Naive_High,0.12638710288832714,65669.13333096512,0.09999996505021898,False
MSH2,CM_High,0.08426397791570944,68253.54166289499,0.09999996505021898,False
MSH2,CM_Low,-0.027985363872743346,66065.48177445048,0.09999996505021898,False
MSH2,EM_High,0.01138981126693694,44306.631069951,0.09999996505021892,False
MSH2,EM_Low,0.01186878794849072,53096.391108743315,0.09999996505021895,False
