motif,Naive,CM,EM,PD1_Low
TYR,-0.22452219048058616,0.562429672523762,0.3444592304199202,0.2769051403869454
PP4,-0.23415262841994436,-0.327011628929415,-0.4909384033980322,-0.31000961290097606
LYPXL,-0.1259133530957843,-0.39766703888156985,-0.4712913404257135,-0.3227836924640597
TRAF2like,-0.09112941743044894,-0.46072165507615725,-0.03736841357258591,-0.08116854940571674
SH3,-0.3148681981312198,-0.44111657249239095,-0.2575798640573719,-0.22471129430371892
TRAF6,-0.15924921521616553,-0.3893153836256042,-0.42169393470811617,-0.24795834573374734
PP2A,-0.08308823965977936,-0.41716868494210074,-0.4097810175047024,-0.354992385424547
FHA,-0.05206912038784847,-0.4048384729497148,-0.35212928013982925,-0.25923346000297565
SUMO,-0.1295826112608294,0.39208280804932144,-0.15187996362281272,0.08186679516799093
Pex14,-0.190383220627792,0.37177317768194174,0.010773846686357808,-0.038850756237024386
UBA3,0.17141454676004736,-0.3106132250825988,-0.13134025455389142,-0.29621389786832536
WRC,-0.2375145397560514,-0.2615220963025528,-0.3007514421560648,-0.29375755177396734
PP2B,-0.22764821302297536,0.26128383508913144,0.20950337842537722,0.2936338439903294
WW,0.09784845023183841,0.1530238104406858,0.28796621095720887,0.13362836098513556
BIR,-0.1251285499040891,0.28058930042828734,0.08131062711688489,0.09954849604490813
REV1ctd,0.27718173099275617,-0.16585827829674327,0.026768267459953428,-0.037685319171296756
SH2,0.0155086868588734,-0.07504860368054615,0.24246254366481407,0.10784866143195515
PDZ,-0.05211956720589721,0.1580114593648359,0.19238226981936943,0.22254734810282387
EVH1,0.03002563348938359,-0.02884215572421637,-0.21243881113717472,-0.04648972571976778
PP1,-0.13449699626117803,0.15308348017889994,0.2089075476940427,0.056993944930151426
IRF7,-0.03377463444356428,-0.18635055839258377,-0.04783394698435142,0.06193614919662163
MAPK,0.026557112468680637,0.15589784868505965,0.18433153209176592,0.12781783214291498
NRP,-0.17620208385099934,0.012801488059492147,-0.11983176780169527,0.01761537404357605
BRCT,0.17565501444704407,-0.012893737667541538,0.1535825703513665,-0.02351029581573233
Clathr,0.029418917000599277,-0.15821125137110081,-0.03620464737663773,0.056563957221870693
Actin,-0.032860057692337144,-0.046176387426888135,-0.012392754733085591,-0.15332906148003458
CYCLIN,-0.0980222112185986,0.14410296870857314,-0.07142174490908776,0.025116512138293984
LIR,0.09763736149356143,-0.13677525263133952,-0.1275217230099673,-0.051809219566162634
14-3-3,0.027193219683519728,0.013971341925384122,0.1095644394605829,0.09189402842592041
TRFH,-0.08295522232742347,0.08491961925706702,-0.10404248593230338,-0.07241768783503715
USP7,-0.08186215396361463,0.06446044891396238,-0.01397558851208433,-0.09828544093995928
WD40,-0.08842049292577712,0.06584811464879176,-0.019950389079025917,-0.018712632864384238
CKS1,-0.07944177304351159,0.0852487048995903,0.029530860706346595,0.07165283666019162
NRBOX,-0.07944177304351159,0.0852487048995903,0.029530860706346595,0.07165283666019162
Integrin,0.03297027971546628,-0.00011893954969825022,-0.08209324480262963,-0.04281892157458702
ANK,-0.06542203360986114,0.044781591796596236,0.04631942442981508,0.029140523298545152
Arc,0.06491972838527371,-0.04146619754355984,0.03820430542252288,0.005164853265524572
MSH2,0.06319355144416357,0.028139307021483047,0.01162929960771383,-0.005372191974750876
CDC14,-0.03208617148947999,0.03642993654063054,-0.0032779812877825575,-0.045684823431767364
APCC,0.0,0.0,0.0,0.0
