motif,Naive,CM,EM,PD1_Low
CKS1,0.09999996505021899,0.099999965050219,0.09999996505021898,0.09999996505021899
TRFH,0.09999996505021896,0.09999996505021898,0.09999996505021896,0.09999996505021899
APCC,0.09999996505021899,0.09999996505021899,0.09999996505021899,0.09999996505021899
LYPXL,0.09999996505021899,0.09999996505021899,0.09999996505021899,0.09999996505021896
PP1,0.09999996505021899,0.09999996505021896,0.09999996505021892,0.09999996505021891
CDC14,0.09999996505021898,0.09999996505021899,0.09999996505021898,0.09999996505021899
NRBOX,0.09999996505021899,0.09999996505021899,0.09999996505021899,0.09999996505021899
IRF7,0.09999996505021898,0.09999996505021899,0.09999996505021896,0.09999996505021898
Integrin,0.09999996505021898,0.09999996505021899,0.09999996505021896,0.09999996505021899
MSH2,0.09999996505021898,0.09999996505021898,0.09999996505021894,0.09999996505021896
BRCT,0.09999996505021895,0.09999996505021898,0.09999996505021896,0.09999996505021896
Clathr,0.09999996505021896,0.09999996505021896,0.09999996505021896,0.09999996505021898
ANK,0.09999996505021898,0.09999996505021896,0.09999996505021896,0.09999996505021896
REV1ctd,0.09999996505021895,0.09999996505021898,0.09999996505021896,0.09999996505021896
TRAF6,0.09999996505021896,0.09999996505021896,0.09999996505021896,0.09999996505021895
NRP,0.09999996505021896,0.09999996505021895,0.09999996505021884,0.0999999650502189
WRC,0.09999996505021895,0.09999996505021894,0.09999996505021894,0.09999996505021894
TRAF2like,0.09999996505021892,0.09999996505021891,0.09999996505021895,0.09999996505021894
PP2A,0.09999996505021892,0.09999996505021894,0.09999996505021883,0.09999996505021894
TYR,0.09999996505021888,0.09999996505021894,0.09999996505021402,0.09999996505021404
Actin,0.09999996505021894,0.09999996505021888,0.09999996505021894,0.0999999650502189
PP2B,0.09999996505021894,0.09999996505021894,0.09999996505021866,0.09999996505021866
EVH1,0.09999996505021654,0.09999996505021888,0.09999996505021891,0.09999996505021885
UBA3,0.09999996505021878,0.09999996505021891,0.09999996505021885,0.09999996505021888
BIR,0.0999999650502189,0.09999996505021891,0.0999999650502188,0.09999996505021884
14-3-3,0.0999999650502189,0.09999996505021888,0.09999996505021883,0.09999996505021883
FHA,0.09999996505021888,0.09999996505021869,0.09999996505021874,0.09999996505021852
SH3,0.09999996505021874,0.09999996505021887,0.0999999650502186,0.09999996505021884
USP7,0.09999996505021876,0.09999996505021887,0.0999999650502186,0.09999996505021883
WW,0.09999996505021876,0.09999996505021887,0.09999996505021859,0.09999996505021884
Pex14,0.09999996505021885,0.09999996505021883,0.09999996505021869,0.09999996505021885
LIR,0.09999996505021885,0.09999996505021883,0.09999996505021869,0.09999996505021885
CYCLIN,0.09999996505021838,0.09999996505021871,0.09999996505021885,0.09999996505021871
PDZ,0.09999996505021883,0.0999999650502188,0.09999996505021838,0.09999996505021833
MAPK,0.09999996505021877,0.0999999650502188,0.09999996505021871,0.09999996505021883
PP4,0.09999996505021876,0.0999999650502187,0.09999996505018197,0.09999996505021874
SUMO,0.09999996505021858,0.0999999650502186,0.09999996505021816,0.09999996505021856
Arc,0.09999980314709671,0.0999998124438708,0.09999981046423223,0.09999981253173856
SH2,0.09999928695685169,0.09999935657587043,0.0999995292397704,0.09999953371397438
WD40,0.09999934018030508,0.09999933538751331,0.0999992965628235,0.09999928648091407
