motif,Naive,CM,EM,PD1_Low
F_14_3_3,-0.4372895769277627,0.26646024667082846,2.3076712278239366,0.8699785990629826
BIR,-6.7005768292260015,-7.0110691784205965,-2.631187908269599,-3.2881410057437597
BRCT,-6.643327510628143,-11.426071108396416,-13.866822463739966,-11.131566111314095
CYCLIN,-5.951503852158364,-6.425887241780996,-4.560392692645399,-5.363283762240322
FHA,-10.007107691132365,-7.0815396501364996,-6.571966861904017,-19.771551989229394
LIR,6.2382713633845315,7.680362486423593,6.447811724505763,7.931078136897397
MAPK,0.20561054379717172,-0.3495763619892378,-0.21525018698141,-0.019199730972906923
PDZ,-1.6544309229084557,-0.15999396768707866,-0.6843785717570088,-0.22937674991365348
PP2A,-2.7497017461729456,-3.1957311366452408,-5.372743846823524,-3.827608335984179
PP2B,-9.77507323503215,-11.623641686746993,-6.199895233707185,-10.669663126732905
PP4,-9.946047388018798,-5.673161733952844,-4.046059608977897,-13.577589094133119
Pex14,-6.368306031972008,-6.773600009033985,-7.36227916879321,-9.87101995278396
SH2,2.9976113104215774,6.029854920839723,6.464116670196621,7.906469497950321
SH3,3.5290815574550565,0.5312781795341053,4.033699602107088,5.163573290657001
SUMO,-1.4162318194927468,1.7370529715634946,-1.805497748454585,0.1481352794807924
TRAF6,4.222638706350407,3.3475500962122653,3.041759123200409,4.475961003774702
UBA3,5.130108876641268,2.7375062134881696,1.7053270507856257,4.6578026360141385
USP7,0.5923668766297309,-0.9814201019845584,-0.8993280083385684,-0.3784017190119123
WD40,-7.282474366897285,-5.9482982834760225,-8.676631327377873,-7.342368721630686
WRC,-11.194790730065348,-2.2058991406854895,-13.117997550889685,-7.660321524559877
WW,-3.200684359542631,-4.240278378660506,-3.802367164754261,-4.847256005453487
