motif,contrast,log_effect,se_log_effect,z,logFC,pvalue,qvalue,neglog10_q
SUMO,EM_vs_CM,-0.9619988810217183,0.3256293629270614,-2.9542755984115567,-1.387871014990765,0.0031340398637016115,0.06581483713773384,1.1816761890506973
F_14_3_3,EM_vs_CM,0.4688362515170331,0.23772247125525464,1.9721999735297213,0.6763877350525944,0.04858678270418269,0.5101612183939183,0.29229255881458444
SH3,EM_vs_CM,0.5086366046603927,0.3145292769270898,1.6171359614904732,0.7338075071581488,0.10584893579995341,0.6344001356480822,0.1976367328291549
CYCLIN,EM_vs_CM,-0.4945790784961257,0.3427225783509324,-1.4430886954570559,-0.713526783873794,0.1489954874001309,0.6344001356480822,0.1976367328291549
WD40,EM_vs_CM,0.4176367903040126,0.3101909220583353,1.346386243455154,0.6025225262643829,0.17817798509716443,0.6344001356480822,0.1976367328291549
WRC,EM_vs_CM,-1.2140171142806948,0.942696066846,-1.2878139168888865,-1.7514564703270885,0.1978107466140404,0.6344001356480822,0.1976367328291549
FHA,EM_vs_CM,0.6806951932244275,0.5656731436795005,1.2033365925713742,0.9820355796218363,0.22884609409775258,0.6344001356480822,0.1976367328291549
PP2A,EM_vs_CM,-0.6704622751310143,0.5966202178006614,-1.1237672729270876,-0.9672725994346462,0.261111768680954,0.6344001356480822,0.1976367328291549
WW,EM_vs_CM,0.23947640548605995,0.229031524182982,1.0456045574526813,0.34549142260465326,0.2957436442572132,0.6344001356480822,0.1976367328291549
SH2,EM_vs_CM,0.35859238276356564,0.34748990348421316,1.031950508973153,0.5173394523135532,0.302095302689563,0.6344001356480822,0.1976367328291549
BIR,EM_vs_CM,0.24597917391666047,0.29876214097680476,0.8233277921775161,0.35487293437152995,0.410321613155854,0.769615328572411,0.11372629095969562
LIR,EM_vs_CM,0.11811240701524417,0.15288356372714706,0.7725644545154681,0.17040018386835157,0.4397801877556634,0.769615328572411,0.11372629095969562
BRCT,EM_vs_CM,-0.17838441955733808,0.27284535876302285,-0.6537931243033243,-0.25735431746722787,0.5132450968403348,0.8197028021276513,0.08634358028913151
PDZ,EM_vs_CM,-0.32665830338486934,0.5752879983232442,-0.5678169965946792,-0.4712683143585535,0.5701592375348566,0.8197028021276513,0.08634358028913151
UBA3,EM_vs_CM,-0.25910131079764226,0.4750964241281344,-0.5453657355412175,-0.37380417617558853,0.585502001519751,0.8197028021276513,0.08634358028913151
USP7,EM_vs_CM,0.09735386706515087,0.20567449024709858,0.4733395325214583,0.14045194122625654,0.6359709622885679,0.8273483811244661,0.08231157854822138
PP2B,EM_vs_CM,0.2355117948838532,0.5683836336797143,0.4143535825603394,0.3397716985497938,0.6786151776901168,0.8273483811244661,0.08231157854822138
TRAF6,EM_vs_CM,0.17829608051043977,0.47801816703521494,0.3729901765371711,0.2572268711623508,0.7091557552495423,0.8273483811244661,0.08231157854822138
PP4,EM_vs_CM,0.27407892837076686,0.8773135053735793,0.3124070548236438,0.3954123107726668,0.7547311895196575,0.8341765778901478,0.07874200849146847
MAPK,EM_vs_CM,0.019609865072047754,0.387622819109538,0.05059006876090599,0.02829105509194499,0.9596521766736451,0.967928919036684,0.014156534430860629
Pex14,EM_vs_CM,-0.016972655383206137,0.42214267867756966,-0.04020596883588205,-0.02448636575206886,0.9679289190366839,0.967928919036684,0.014156534430860629
LIR,Naive_vs_CM,0.4660564160814913,0.1561060231393282,2.9855120687145127,0.6723772802552508,0.0028310396646232657,0.034318056071662,1.464477320510414
TRAF6,Naive_vs_CM,1.5066314129890959,0.5122332991892814,2.9412992387915073,2.1736096679669004,0.0032683862925392384,0.034318056071662,1.464477320510414
CYCLIN,Naive_vs_CM,-0.6355529082666744,0.23092075426902947,-2.7522554665062136,-0.9169090289788895,0.00591863300617548,0.04143043104322836,1.3826805482676796
