motif,Naive,CM,EM,PD1_Low
APCC,0.23958333333333334,0.3125,0.22395833333333334,0.2777777777777778
IRF7,0.15711805555555555,-0.15885416666666669,-0.2717013888888889,0.05844907407407408
REV1ctd,-0.035590277777777776,-0.14930555555555555,-0.25,-0.265625
CDC14,0.2612847222222222,-0.056423611111111105,0.1284722222222222,0.07291666666666667
Pex14,-0.07878352490421456,0.25191570881226055,0.06657088122605363,-0.04469987228607918
NRBOX,0.2013888888888889,0.2508680555555556,0.13541666666666666,0.20601851851851852
CKS1,0.2013888888888889,0.2508680555555556,0.13541666666666666,0.20601851851851852
PP1,-0.19618055555555558,0.09809027777777779,-0.01215277777777779,-0.24247685185185186
PP2B,-0.23703703703703705,-0.0271604938271605,0.07962962962962963,0.04032921810699588
Actin,0.08422939068100359,-0.19937275985663083,-0.23521505376344087,-0.13351254480286737
MSH2,0.2048611111111111,0.23177083333333331,0.1440972222222222,0.21817129629629628
TRAF2like,-0.02016129032258064,-0.12410394265232974,-0.22356630824372759,-0.07735961768219833
LYPXL,0.03906249999999999,-0.1388888888888889,-0.2204861111111111,-0.05902777777777778
Integrin,0.1909722222222222,0.1779513888888889,0.06597222222222222,0.13483796296296297
ANK,0.15412186379928317,-0.18727598566308243,0.12903225806451615,0.027479091995221038
Clathr,0.1868279569892473,0.037634408602150546,-0.06586021505376344,0.14277180406212664
Arc,0.17383512544802868,0.15008960573476704,0.15725806451612903,0.10782556750298684
NRP,0.1032986111111111,-0.0998263888888889,0.17100694444444445,0.16030092592592593
SH2,0.09527089072543618,0.05176767676767677,0.16792929292929293,0.0691766146311601
FHA,0.16419753086419753,-0.011213991769547325,-0.05380658436213992,0.07222222222222223
14-3-3,0.11316872427983539,0.1589506172839506,0.08727709190672153,0.1391175125743027
TYR,-0.1586021505376344,-0.00313620071684588,0.12007168458781362,-0.00537634408602151
WD40,0.14284188034188033,0.011645299145299142,-0.021367521367521368,0.07222222222222222
UBA3,0.14080459770114942,-0.032088122605363985,0.020593869731800767,0.07231800766283525
TRFH,-0.00806451612903226,0.13709677419354838,0.03942652329749104,0.03464755077658304
SH3,-0.05727023319615913,-0.13151577503429357,-0.02417695473251029,-0.02549154092363969
WRC,0.11182950191570881,0.12380268199233717,0.11877394636015326,0.1275542784163474
TRAF6,0.11234567901234568,-0.04722222222222222,0.04444444444444444,0.07078189300411523
BRCT,0.045737547892720304,0.10871647509578544,0.0035919540229885083,-0.033205619412515965
PP2A,0.1032235939643347,0.09310699588477367,0.0541838134430727,0.09887974394147232
LIR,0.0009259259259259238,0.09639917695473252,-0.016666666666666666,0.03964334705075446
MAPK,-0.013888888888888888,-0.004578754578754576,-0.09355921855921856,-0.031033781033781033
BIR,-0.011904761904761904,0.09166666666666666,-0.001984126984126984,0.016798941798941796
SUMO,0.08861111111111111,0.06208333333333333,-0.06319444444444444,0.0437962962962963
EVH1,0.08154121863799282,0.03763440860215054,-0.07302867383512546,0.035842293906810034
CYCLIN,0.05572702331961591,0.08127572016460904,-0.07441700960219479,0.05486968449931412
WW,-0.07418430335097001,-0.06139770723104057,0.06481481481481481,-0.04063786008230453
PP4,0.0503968253968254,0.01984126984126984,-0.07222222222222222,0.023677248677248675
USP7,0.0003205128205128211,-0.02414529914529915,0.06388888888888888,-0.027136752136752137
PDZ,-0.0144993894993895,-0.05692918192918193,-0.05677655677655678,-0.002340252340252341
