ELM,n_with,n_without,u_stat,pvalue,cliff_delta,n_pairs,mean_with,mean_without,median_with,median_without,phenotype,qvalue,sig_stars
14-3-3,6,27,3270.0,0.25565850923674416,0.12139917695473251,5832,-1.0347050326660088,-0.648520442282141,-0.6756893211386898,-2.844182147292307,Naive_High,0.8783486684134503,
ANK,2,31,940.0,0.3616524803066635,-0.15770609318996415,2232,-3.1924514322802064,-0.5591412668726917,-10.128729230159383,-2.3993850261299348,Naive_High,0.8783486684134503,
APCC,1,32,726.0,0.2794101173652619,0.2604166666666667,1152,0.0,-0.7411963168004331,0.0,-2.6250906313224096,Naive_High,0.8783486684134503,
Actin,2,31,1192.0,0.6947354394725838,0.06810035842293907,2232,-1.0160067460936963,-0.6995570530782732,-2.0709476897213426,-2.511418647973824,Naive_High,0.8907442337428655,
Arc,2,31,1353.0,0.21896345506097492,0.21236559139784947,2232,1.544097565561609,-0.8647250731850673,-0.8911952054078682,-2.572092322530805,Naive_High,0.8783486684134503,
BIR,5,28,2677.0,0.5882741869965404,0.0623015873015873,5040,-0.9679902938202122,-0.6742260953040284,-1.769872385059878,-2.5603833659220836,Naive_High,0.8907442337428655,
BRCT,4,29,2354.0,0.31301577833235394,0.12739463601532566,4176,2.8972622506717376,-1.2174941772517522,-0.7528989256706983,-2.6250906313224096,Naive_High,0.8783486684134503,
CDC14,1,32,433.0,0.3025409097925442,-0.2482638888888889,1152,-4.604624629127428,-0.5973017971402009,-14.897974717915272,-2.3993850261299348,Naive_High,0.8783486684134503,
CKS1,1,32,694.0,0.3952569007860526,0.2048611111111111,1152,-0.002557090087685602,-0.7411164077351932,-0.8911952054078682,-2.5603833659220836,Naive_High,0.8783486684134503,
CYCLIN,6,27,3205.0,0.35356380379430996,0.09910836762688614,5832,-1.187676544890132,-0.6145267728990018,-2.18209664018155,-2.572092322530805,Naive_High,0.8783486684134503,
Clathr,2,31,1360.0,0.20562985044862658,0.21863799283154123,2232,1.059361787548802,-0.8334517971842412,0.055626789456478254,-2.572092322530805,Naive_High,0.8783486684134503,
EVH1,2,31,1209.0,0.6306585414584364,0.08333333333333333,2232,-1.1385878112660586,-0.6916485972607017,-2.62107991870166,-2.3993850261299348,Naive_High,0.8907442337428655,
FHA,15,18,5233.0,0.35350164116848315,0.07674897119341564,9720,-1.205297651123209,-0.31326763170920735,-1.9878667490885777,-4.202747121151557,Naive_High,0.8783486684134503,
IRF7,1,32,671.0,0.4941547314337331,0.16493055555555555,1152,1.6004400974388842,-0.7912100698453987,-0.09985792281234507,-2.511418647973824,Naive_High,0.8907442337428655,
Integrin,1,32,710.0,0.3341022140350147,0.2326388888888889,1152,0.6307825533897033,-0.7609082715938618,0.3817412724813558,-2.5191168919617954,Naive_High,0.8783486684134503,
LIR,18,15,5021.0,0.6893248007305601,0.0331275720164609,9720,-1.4931252242053716,0.21053145987218866,-1.9878667490885777,-3.7744698507178454,Naive_High,0.8907442337428655,
LYPXL,1,32,538.0,0.7861482023628281,-0.06597222222222222,1152,-3.079848793623236,-0.644951041999707,-2.947684328248555,-2.511418647973824,Naive_High,0.9032656940966995,
