ELM,contrast,effect_low,effect_high,diff,pvalue,qvalue
14-3-3,PD1Low_vs_PD1High,0.1391175125743027,0.100480109739369,0.03863740283493369,0.3068724508366424,1.0
ANK,PD1Low_vs_PD1High,0.027479091995221038,0.036439665471923545,-0.008960573476702507,0.04156898237810658,0.3325518590248526
APCC,PD1Low_vs_PD1High,0.2777777777777778,0.23958333333333337,0.03819444444444442,0.7137495126406113,1.0
Actin,PD1Low_vs_PD1High,-0.13351254480286737,-0.10005973715651136,-0.03345280764635601,0.7396679620706051,1.0
Arc,PD1Low_vs_PD1High,0.10782556750298684,0.212962962962963,-0.10513739545997615,1.0,1.0
BIR,PD1Low_vs_PD1High,0.016798941798941796,0.03505291005291005,-0.018253968253968255,0.6859495784357337,1.0
BRCT,PD1Low_vs_PD1High,-0.033205619412515965,0.13856960408684546,-0.17177522349936142,1.0,1.0
CDC14,PD1Low_vs_PD1High,0.07291666666666667,0.14930555555555555,-0.07638888888888888,0.007998500646030953,0.27922679978954
CKS1,PD1Low_vs_PD1High,0.20601851851851852,0.18576388888888892,0.020254629629629595,0.8455743962798197,1.0
CYCLIN,PD1Low_vs_PD1High,0.05486968449931412,-0.013145861911294007,0.06801554641060813,0.20696197674817915,1.0
Clathr,PD1Low_vs_PD1High,0.14277180406212664,-0.037037037037037035,0.17980884109916367,1.0,1.0
EVH1,PD1Low_vs_PD1High,0.035842293906810034,-0.0050776583034647564,0.04091995221027479,1.0,1.0
FHA,PD1Low_vs_PD1High,0.07222222222222223,-0.006104252400548696,0.07832647462277093,0.013961339989477,0.27922679978954
IRF7,PD1Low_vs_PD1High,0.05844907407407408,-0.24074074074074073,0.2991898148148148,0.38089271904227084,1.0
Integrin,PD1Low_vs_PD1High,0.13483796296296297,0.1550925925925926,-0.020254629629629622,1.0,1.0
LIR,PD1Low_vs_PD1High,0.03964334705075446,0.014128943758573388,0.02551440329218107,0.11187121628156298,0.6392640930375028
LYPXL,PD1Low_vs_PD1High,-0.05902777777777778,-0.1545138888888889,0.0954861111111111,1.0,1.0
MAPK,PD1Low_vs_PD1High,-0.031033781033781033,-0.043650793650793655,0.012617012617012622,1.0,1.0
MSH2,PD1Low_vs_PD1High,0.21817129629629628,0.1689814814814815,0.04918981481481477,1.0,1.0
NRBOX,PD1Low_vs_PD1High,0.20601851851851852,0.18576388888888892,0.020254629629629595,0.8455743962798197,1.0
NRP,PD1Low_vs_PD1High,0.16030092592592593,-0.04398148148148149,0.2042824074074074,0.6166940083398955,1.0
PDZ,PD1Low_vs_PD1High,-0.002340252340252341,-0.08312983312983313,0.08078958078958079,1.0,1.0
PP1,PD1Low_vs_PD1High,-0.24247685185185186,0.16898148148148148,-0.41145833333333337,0.5722667771847207,1.0
PP2A,PD1Low_vs_PD1High,0.09887974394147232,0.06812985825331504,0.030749885688157286,0.7965854055777445,1.0
PP2B,PD1Low_vs_PD1High,0.04032921810699588,-0.16337448559670784,0.20370370370370372,0.5229640205237746,1.0
PP4,PD1Low_vs_PD1High,0.023677248677248675,-0.024999999999999998,0.04867724867724867,1.0,1.0
Pex14,PD1Low_vs_PD1High,-0.04469987228607918,0.20450191570881224,-0.24920178799489143,0.03151371554269354,0.31513715542693543
REV1ctd,PD1Low_vs_PD1High,-0.265625,-0.024305555555555552,-0.24131944444444445,1.0,1.0
SH2,PD1Low_vs_PD1High,0.0691766146311601,0.14080195898377715,-0.07162534435261705,0.026180117383710684,0.31513715542693543
SH3,PD1Low_vs_PD1High,-0.02549154092363969,-0.11648376771833563,0.09099222679469594,0.27189737032243894,1.0
SUMO,PD1Low_vs_PD1High,0.0437962962962963,0.014537037037037038,0.029259259259259263,1.0,1.0
TRAF2like,PD1Low_vs_PD1High,-0.07735961768219833,-0.16786140979689365,0.09050179211469532,0.6258389892981844,1.0
TRAF6,PD1Low_vs_PD1High,0.07078189300411523,0.0022633744855967072,0.06851851851851853,1.0,1.0
TRFH,PD1Low_vs_PD1High,0.03464755077658304,0.07765830346475508,-0.04301075268817204,1.0,1.0
TYR,PD1Low_vs_PD1High,-0.00537634408602151,-0.022401433691756262,0.01702508960573475,0.4925492356954203,1.0
UBA3,PD1Low_vs_PD1High,0.07231800766283525,0.01388888888888889,0.05842911877394636,0.35518266520481956,1.0
USP7,PD1Low_vs_PD1High,-0.027136752136752137,0.05384615384615384,-0.08098290598290597,0.3630874484901461,1.0
WD40,PD1Low_vs_PD1High,0.07222222222222222,0.016524216524216526,0.05569800569800569,0.09113854287270584,0.607590285818039
WRC,PD1Low_vs_PD1High,0.1275542784163474,0.10871647509578546,0.01883780332056194,0.7455811275750526,1.0
WW,PD1Low_vs_PD1High,-0.04063786008230453,-0.006540270429159317,-0.03409758965314521,0.6544587082962448,1.0
