ELM,tsubset,cliff_delta,pvalue,qvalue
14-3-3,Naive,0.11316872427983539,0.29038661293010826,0.787489963795862
14-3-3,CM,0.1589506172839506,0.0803391860820517,0.702492421298032
14-3-3,EM,0.08727709190672153,0.46786224632313134,0.8910557085430265
ANK,Naive,0.15412186379928317,0.017512133016366005,0.23349510688488007
ANK,CM,-0.18727598566308243,0.17693120467114354,0.702492421298032
ANK,EM,0.12903225806451615,0.22949054467628305,0.8910557085430265
APCC,Naive,0.23958333333333334,0.3340917044844227,0.787489963795862
APCC,CM,0.3125,0.15429933960811415,0.702492421298032
APCC,EM,0.22395833333333334,0.382543736121578,0.8910557085430265
Actin,Naive,0.08422939068100359,0.7577811043684157,0.9209006292445173
Actin,CM,-0.19937275985663083,0.22789112949116075,0.702492421298032
Actin,EM,-0.23521505376344087,0.13244212838559122,0.8910557085430265
Arc,Naive,0.17383512544802868,0.31871673414518986,0.787489963795862
Arc,CM,0.15008960573476704,0.40426014735264215,0.702492421298032
Arc,EM,0.15725806451612903,0.3756981256218277,0.8910557085430265
BIR,Naive,-0.011904761904761904,0.6196212304215163,0.8546499729951949
BIR,CM,0.09166666666666666,0.35917460618172203,0.702492421298032
BIR,EM,-0.001984126984126984,0.8493326930687016,0.9296833227595881
BRCT,Naive,0.045737547892720304,0.5871151860355626,0.8546499729951949
BRCT,CM,0.10871647509578544,0.3957255986445589,0.702492421298032
BRCT,EM,0.0035919540229885083,0.36512087314251396,0.8910557085430265
CDC14,Naive,0.2612847222222222,0.0035555201362708067,0.1333054593689864
CDC14,CM,-0.056423611111111105,0.12316121653598155,0.702492421298032
CDC14,EM,0.1284722222222222,0.1693760233837387,0.8910557085430265
CKS1,Naive,0.2013888888888889,0.45807476874059194,0.787489963795862
CKS1,CM,0.2508680555555556,0.2724633317312397,0.702492421298032
CKS1,EM,0.13541666666666666,0.6739214157814608,0.8910557085430265
CYCLIN,Naive,0.05572702331961591,0.6862457693738817,0.9149943591651756
CYCLIN,CM,0.08127572016460904,0.09489350349703851,0.702492421298032
CYCLIN,EM,-0.07441700960219479,0.5774714872636055,0.8910557085430265
Clathr,Naive,0.1868279569892473,0.27202409769009783,0.787489963795862
Clathr,CM,0.037634408602150546,0.22857881522857426,0.702492421298032
Clathr,EM,-0.06586021505376344,0.6297357582510588,0.8910557085430265
EVH1,Naive,0.08154121863799282,0.7729560218780918,0.9209006292445173
EVH1,CM,0.03763440860215054,0.9373790405003404,0.9373790405003405
EVH1,EM,-0.07302867383512546,0.8059567304320131,0.9296833227595881
FHA,Naive,0.16419753086419753,0.006665272968449321,0.1333054593689864
FHA,CM,-0.011213991769547325,0.6263545033934859,0.7368876510511599
FHA,EM,-0.05380658436213992,0.5984677701876328,0.8910557085430265
IRF7,Naive,0.15711805555555555,0.6168681394578844,0.8546499729951949
