ELM,contrast,effect_ts1,effect_ts2,diff,pvalue,qvalue
14-3-3,EM_vs_CM,0.08727709190672153,0.1589506172839506,-0.07167352537722907,0.1606783721641034,0.9599661360730352
ANK,EM_vs_CM,0.12903225806451615,-0.18727598566308243,0.3163082437275986,0.3538624093422871,0.9599661360730352
APCC,EM_vs_CM,0.22395833333333334,0.3125,-0.08854166666666666,0.3085986792162283,0.9599661360730352
Actin,EM_vs_CM,-0.23521505376344087,-0.19937275985663083,-0.03584229390681004,0.26488425677118244,0.9599661360730352
Arc,EM_vs_CM,0.15725806451612903,0.15008960573476704,0.0071684587813619915,0.7513962512436554,1.0
BIR,EM_vs_CM,-0.001984126984126984,0.09166666666666666,-0.09365079365079365,0.7183492123634441,1.0
BRCT,EM_vs_CM,0.0035919540229885083,0.10871647509578544,-0.10512452107279693,0.7302417462850279,1.0
CDC14,EM_vs_CM,0.1284722222222222,-0.056423611111111105,0.18489583333333331,0.2463224330719631,0.9599661360730352
CKS1,EM_vs_CM,0.13541666666666666,0.2508680555555556,-0.11545138888888892,0.5449266634624794,1.0
CYCLIN,EM_vs_CM,-0.07441700960219479,0.08127572016460904,-0.15569272976680382,0.18978700699407702,0.9599661360730352
Clathr,EM_vs_CM,-0.06586021505376344,0.037634408602150546,-0.10349462365591398,0.4571576304571485,1.0
EVH1,EM_vs_CM,-0.07302867383512546,0.03763440860215054,-0.11066308243727599,1.0,1.0
FHA,EM_vs_CM,-0.05380658436213992,-0.011213991769547325,-0.0425925925925926,1.0,1.0
IRF7,EM_vs_CM,-0.2717013888888889,-0.15885416666666669,-0.11284722222222221,0.32298911619494364,0.9599661360730352
Integrin,EM_vs_CM,0.06597222222222222,0.1779513888888889,-0.11197916666666667,1.0,1.0
LIR,EM_vs_CM,-0.016666666666666666,0.09639917695473252,-0.11306584362139918,0.18356959760108338,0.9599661360730352
LYPXL,EM_vs_CM,-0.2204861111111111,-0.1388888888888889,-0.08159722222222221,0.7888222929247632,1.0
MAPK,EM_vs_CM,-0.09355921855921856,-0.004578754578754576,-0.08898046398046398,0.7084085250777092,1.0
MSH2,EM_vs_CM,0.1440972222222222,0.23177083333333331,-0.0876736111111111,0.6549626908410398,1.0
NRBOX,EM_vs_CM,0.13541666666666666,0.2508680555555556,-0.11545138888888892,0.5449266634624794,1.0
NRP,EM_vs_CM,0.17100694444444445,-0.0998263888888889,0.27083333333333337,0.8567682945115644,1.0
PDZ,EM_vs_CM,-0.05677655677655678,-0.05692918192918193,0.00015262515262514514,1.0,1.0
PP1,EM_vs_CM,-0.01215277777777779,0.09809027777777779,-0.11024305555555558,0.12286997029149571,0.9599661360730352
