motif,Naive,CM,EM,PD1_Low
PP2B,-5.076638718268768,-3.310488117505229,-3.6382354928535108,-3.6839791615586175
BRCT,-3.3701814339498264,-3.525765182668142,-3.607870358208632,-3.745162319689627
TRAF6,3.4140118687373064,1.097203193586315,1.5875914349267222,2.941327056300915
PP4,-1.7858191500591765,-2.812414092741402,-3.256775520661497,-1.4017329760841235
Pex14,-2.9677435229688043,-2.8720987181317135,-3.1239767421927604,-3.0829763908984353
WRC,-2.866070083800992,-1.5227749851312147,-2.1432880879932523,-3.08564820561655
FHA,-2.504339269278006,-2.7359128208057903,-2.901462765662801,-2.812365383531133
UBA3,2.4849125357185424,0.9190550293060389,1.483962997195554,1.4107409638866315
CYCLIN,-2.275450377794926,-1.3760470978589472,-2.138873301743661,-1.7843400471338178
LIR,2.204775843981734,1.6177107818550063,1.9976521692826748,1.9897250621130087
PP2A,-1.4458148851527026,-2.1806015235612883,-1.999521002480383,-1.9450577736718946
WD40,-1.9574598965815229,-2.051315054228763,-1.6524829316809482,-1.8972385435069088
WW,-1.4162729267090806,-0.9907709245639347,-0.8958272751864281,-1.427968816779747
SH2,0.6009570898685183,1.1473720386033377,1.2121699525315432,0.9809825561167105
BIR,-0.9326218257217432,-1.0358033028279745,-1.0462642507716067,-1.1073961687237546
SH3,0.9759919462197721,0.05467172153915422,0.7230240052037471,1.1008909473158597
USP7,0.6710369003864076,0.09086389766295658,0.18904214551217557,0.3594537142706097
SUMO,-0.20551782434053018,0.6217139731540343,-0.22254611792484605,0.20180503985093387
14-3-3,-0.6054968721513392,-0.3554825144819643,-0.0016490240355136578,-0.10867528659039259
PDZ,-0.3954025849423533,0.2962922912133068,0.4515155712921955,0.15873198431589924
MAPK,-0.0353678765285701,0.10273265664795458,-0.0027215389540821825,0.09119297902197969
