motif,contrast,EM_coef,CM_coef,logFC,se,zscore,pvalue,Naive_coef,Low_coef,High_coef,qvalue
14-3-3,EM_vs_CM,-0.0016490240355136578,-0.3554825144819643,0.3538334904464506,0.4115295170549211,0.859801000372057,0.38989874774736066,,,,0.7929184844652616
BIR,EM_vs_CM,-1.0462642507716067,-1.0358033028279745,-0.01046094794363217,0.3368081996540995,-0.03105906552861693,0.9752224348830376,,,,0.9752224348830376
BRCT,EM_vs_CM,-3.607870358208632,-3.525765182668142,-0.08210517554048957,0.32001750284718095,-0.2565646404024893,0.7975148743076713,,,,0.8373906180230548
CYCLIN,EM_vs_CM,-2.138873301743661,-1.3760470978589472,-0.7628262038847138,0.32427530390330195,-2.3524030189859495,0.01865255303322127,,,,0.1958518068488233
FHA,EM_vs_CM,-2.901462765662801,-2.7359128208057903,-0.1655499448570108,0.4081239651886965,-0.4056364217192407,0.6850097634402088,,,,0.8373906180230548
LIR,EM_vs_CM,1.9976521692826748,1.6177107818550063,0.3799413874276685,0.27907856751178683,1.36141370802909,0.17338298651818695,,,,0.5353543115505013
MAPK,EM_vs_CM,-0.0027215389540821825,0.10273265664795458,-0.10545419560203677,0.29715570369795297,-0.35487858482846685,0.7226805524777844,,,,0.8373906180230548
PDZ,EM_vs_CM,0.4515155712921955,0.2962922912133068,0.1552232800788887,0.37572893040961786,0.4131257071678378,0.6795145157287541,,,,0.8373906180230548
PP2A,EM_vs_CM,-1.999521002480383,-2.1806015235612883,0.18108052108090544,0.41458539104256403,0.4367749684221616,0.6622745541757231,,,,0.8373906180230548
PP2B,EM_vs_CM,-3.6382354928535108,-3.310488117505229,-0.3277473753482818,0.436843270321219,-0.7502630751465692,0.45309627683729237,,,,0.7929184844652616
PP4,EM_vs_CM,-3.256775520661497,-2.812414092741402,-0.4443614279200947,0.3641588808707753,-1.2202405358274921,0.22237370443360382,,,,0.5837309741382101
Pex14,EM_vs_CM,-3.1239767421927604,-2.8720987181317135,-0.251878024061047,0.3162664837390081,-0.7964107390807296,0.42579333831900223,,,,0.7929184844652616
SH2,EM_vs_CM,1.2121699525315432,1.1473720386033377,0.06479791392820555,0.229661467747369,0.28214534446624806,0.7778320651329949,,,,0.8373906180230548
SH3,EM_vs_CM,0.7230240052037471,0.05467172153915422,0.6683522836645929,0.37569859829380964,1.7789586831035171,0.07524653599328424,,,,0.5267257519529897
SUMO,EM_vs_CM,-0.22254611792484605,0.6217139731540343,-0.8442600910788803,0.25381856128992597,-3.326234640950937,0.0008802779218140608,,,,0.018485836358095278
TRAF6,EM_vs_CM,1.5875914349267222,1.097203193586315,0.49038824134040726,0.46892587239933936,1.0457692147188467,0.295667597813554,,,,0.6898910615649593
