motif,tsubset,coef,se
14-3-3,Naive,-0.6054968721513392,0.28953129573337866
BIR,Naive,-0.9326218257217432,0.2373538073534549
BRCT,Naive,-3.3701814339498264,0.22189499478763147
CYCLIN,Naive,-2.275450377794926,0.21827012653137193
FHA,Naive,-2.504339269278006,0.284046527402817
LIR,Naive,2.204775843981734,0.19724095346077275
MAPK,Naive,-0.0353678765285701,0.2064860314753237
PDZ,Naive,-0.3954025849423533,0.2622736072511656
PP2A,Naive,-1.4458148851527026,0.288884960786231
PP2B,Naive,-5.076638718268768,0.30740328254208454
PP4,Naive,-1.7858191500591765,0.2487795722306704
Pex14,Naive,-2.9677435229688043,0.21985667742401355
SH2,Naive,0.6009570898685183,0.16100354439288075
SH3,Naive,0.9759919462197721,0.2594611439500315
SUMO,Naive,-0.20551782434053018,0.17730581384033356
TRAF6,Naive,3.4140118687373064,0.32335572581786115
UBA3,Naive,2.4849125357185424,0.2575699510196304
USP7,Naive,0.6710369003864076,0.16131664574394852
WD40,Naive,-1.9574598965815229,0.20921470085850102
WRC,Naive,-2.866070083800992,0.31570259083944624
WW,Naive,-1.4162729267090806,0.1810444675685547
14-3-3,CM,-0.3554825144819643,0.29091575266563896
BIR,CM,-1.0358033028279745,0.23791822089315795
BRCT,CM,-3.525765182668142,0.22595273761316134
CYCLIN,CM,-1.3760470978589472,0.22851152728280735
FHA,CM,-2.7359128208057903,0.2878957270160486
LIR,CM,1.6177107818550063,0.19726476274612667
MAPK,CM,0.10273265664795458,0.20979003630578813
PDZ,CM,0.2962922912133068,0.26497726633850593
PP2A,CM,-2.1806015235612883,0.2924304559340994
PP2B,CM,-3.310488117505229,0.30812858937151016
PP4,CM,-2.812414092741402,0.25711940444940384
Pex14,CM,-2.8720987181317135,0.222757884192235
SH2,CM,1.1473720386033377,0.16225425609181882
SH3,CM,0.05467172153915422,0.26523499904702325
SUMO,CM,0.6217139731540343,0.17932199028871454
TRAF6,CM,1.097203193586315,0.33114142424065246
UBA3,CM,0.9190550293060389,0.25783031297302744
USP7,CM,0.09086389766295658,0.16184704938829195
WD40,CM,-2.051315054228763,0.2095043270335574
WRC,CM,-1.5227749851312147,0.3161158815684944
WW,CM,-0.9907709245639347,0.187819876838244
14-3-3,EM,-0.0016490240355136578,0.2910748499242787
BIR,EM,-1.0462642507716067,0.23840025906292606
BRCT,EM,-3.607870358208632,0.22661986341374252
CYCLIN,EM,-2.138873301743661,0.23008032210612367
FHA,EM,-2.901462765662801,0.2892770667150183
LIR,EM,1.9976521692826748,0.19741190496812835
MAPK,EM,-0.0027215389540821825,0.21045107010191633
PDZ,EM,0.4515155712921955,0.2663818264644342
PP2A,EM,-1.999521002480383,0.2938800348919444
PP2B,EM,-3.6382354928535108,0.3096591920755153
PP4,EM,-3.256775520661497,0.257878464344426
Pex14,EM,-3.1239767421927604,0.22450704614072833
SH2,EM,1.2121699525315432,0.16253598416340395
SH3,EM,0.7230240052037471,0.26608237829750947
SUMO,EM,-0.22254611792484605,0.17963152800714602
TRAF6,EM,1.5875914349267222,0.3320193231686278
UBA3,EM,1.483962997195554,0.25809964766991056
USP7,EM,0.18904214551217557,0.1621523213454706
WD40,EM,-1.6524829316809482,0.20968382502137817
WRC,EM,-2.1432880879932523,0.31720625196513363
WW,EM,-0.8958272751864281,0.18820052715920135
14-3-3,High,-0.4407363758242469,0.23769834486091004
BIR,High,-0.9073263008269213,0.19466093268544377
BRCT,High,-3.183158162782596,0.18521396345163188
CYCLIN,High,-2.0756351857923785,0.18869229855544198
FHA,High,-2.4124130668511543,0.2359009674598033
LIR,High,1.859933413094053,0.16127129036003207
MAPK,High,-0.012974548883131341,0.17209255834307582
PDZ,High,-0.20624272003950908,0.21718607526500486
PP2A,High,-1.8862009753518054,0.24031696483636766
PP2B,High,-4.250606459088921,0.252336205211187
PP4,High,-3.222505754404602,0.2114423621654841
Pex14,High,-2.8418470737462442,0.18292831929458794
SH2,High,1.0347758589978955,0.13291784919507954
SH3,High,0.1996549539777377,0.2169876674984555
SUMO,High,-0.25145854662992134,0.14706095048552356
TRAF6,High,1.673287759092827,0.2711163275350505
UBA3,High,1.7905849797794204,0.21081578753268973
USP7,High,0.2616774923892747,0.13253791858035932
WD40,High,-1.862870107264446,0.17131323485043704
WRC,High,-1.8729713328698059,0.25890322239301733
WW,High,-0.8008132631397288,0.1536791823121413
14-3-3,Low,-0.10867528659039259,0.23638160309215858
BIR,Low,-1.1073961687237546,0.1938037652163014
BRCT,Low,-3.745162319689627,0.18134954057721503
CYCLIN,Low,-1.7843400471338178,0.1781036106424194
FHA,Low,-2.812365383531133,0.23093692209781552
LIR,Low,1.9897250621130087,0.16087215918948122
MAPK,Low,0.09119297902197969,0.16830153276618154
PDZ,Low,0.15873198431589924,0.2133390304387689
PP2A,Low,-1.9450577736718946,0.2355112754142983
PP2B,Low,-3.6839791615586175,0.2500779851203876
PP4,Low,-1.4017329760841235,0.20286779266262214
Pex14,Low,-3.0829763908984353,0.1785719587605305
SH2,Low,0.9809825561167105,0.1313108402982401
SH3,Low,1.1008909473158597,0.2115930427549063
SUMO,Low,0.20180503985093387,0.14458562940590516
TRAF6,Low,2.941327056300915,0.2637528938768678
UBA3,Low,1.4107409638866315,0.20999655552709023
USP7,Low,0.3594537142706097,0.13160926360459996
WD40,Low,-1.8972385435069088,0.17072856561282085
WRC,Low,-3.08564820561655,0.25706765543985133
WW,Low,-1.427968816779747,0.14770911492378136
