CCD,contrast,effect,EM_effect,CM_effect,overall_pvalue,overall_qvalue,max_pip,contrast_max_pip,Naive_effect,Low_effect,High_effect
ABCC8-2,EM_vs_CM,-0.3841809943456205,-0.08224272868619076,0.3019382656594297,0.13298006095246392,0.13298006095246392,0.988432680110571,0.988432680110571,,,
ABCC8-2,Naive_vs_CM,-0.3954581643667133,,0.3019382656594297,0.13298006095246392,0.13298006095246392,0.988432680110571,0.988432680110571,-0.09351989870728361,,
ABCC8-2,Naive_vs_EM,-0.011277170021092853,-0.08224272868619076,,0.13298006095246392,0.13298006095246392,0.988432680110571,0.9587476064754485,-0.09351989870728361,,
ABCC8-2,PD1Low_vs_PD1High,-0.04067229094590186,,,0.13298006095246392,0.13298006095246392,0.988432680110571,0.988432680110571,,0.021722400615700854,0.06239469156160271
ABCC9-2,EM_vs_CM,-0.5374429341387515,-0.5029068933287122,0.03453604081003936,0.0,0.0,1.0,1.0,,,
ABCC9-2,Naive_vs_CM,0.2884738659308902,,0.03453604081003936,0.0,0.0,1.0,1.0,0.32300990674092955,,
ABCC9-2,Naive_vs_EM,0.8259168000696417,-0.5029068933287122,,0.0,0.0,1.0,1.0,0.32300990674092955,,
ABCC9-2,PD1Low_vs_PD1High,0.5939617725850802,,,0.0,0.0,1.0,1.0,,0.24852723769995902,-0.34543453488512116
ANO6-3,EM_vs_CM,-0.08184245748940261,0.2531539296545508,0.3349963871439534,7.854256575768455e-306,1.2342403190493286e-305,1.0,1.0,,,
ANO6-3,Naive_vs_CM,-0.9254801346811635,,0.3349963871439534,7.854256575768455e-306,1.2342403190493286e-305,1.0,1.0,-0.5904837475372101,,
ANO6-3,Naive_vs_EM,-0.8436376771917609,0.2531539296545508,,7.854256575768455e-306,1.2342403190493286e-305,1.0,1.0,-0.5904837475372101,,
ANO6-3,PD1Low_vs_PD1High,-0.12392414250557857,,,7.854256575768455e-306,1.2342403190493286e-305,1.0,1.0,,-0.06273988149902458,0.061184261006553976
