motif,Naive,CM,EM,PD1_Low
PP2B,-0.7083333333333334,-0.2222222222222222,-0.002777777777777782,-0.10740740740740744
SH3,-0.7083333333333334,-0.2222222222222222,-0.002777777777777782,-0.10740740740740744
MSH2,0.19999999999999998,0.19166666666666665,0.20833333333333331,0.2740740740740741
Clathr,0.23765432098765432,0.07407407407407407,-0.009259259259259259,0.25205761316872427
UBA3,0.24074074074074076,0.04938271604938273,-0.04166666666666667,0.19753086419753085
CYCLIN,0.24074074074074076,0.04938271604938273,-0.04166666666666667,0.19753086419753085
REV1ctd,0.005555555555555564,-0.06388888888888888,-0.2361111111111111,-0.2111111111111111
IRF7,0.22777777777777777,-0.058333333333333334,-0.225,0.1796296296296296
14-3-3,0.22777777777777777,-0.058333333333333334,-0.225,0.1796296296296296
WD40,0.2148148148148148,0.14814814814814817,0.012962962962962968,0.033333333333333326
PP4,0.20555555555555555,0.14722222222222223,0.15,0.17592592592592593
BRCT,-0.07407407407407407,0.05864197530864198,-0.10493827160493827,-0.2006172839506173
PDZ,0.037037037037037035,0.19907407407407407,0.15432098765432098,0.17798353909465017
Pex14,-0.15123456790123457,0.1867283950617284,0.06481481481481481,-0.05761316872427983
FHA,0.1863425925925926,0.010416666666666666,-0.04976851851851852,0.0787037037037037
Actin,0.13734567901234568,-0.09259259259259259,-0.18209876543209877,-0.04732510288065844
SUMO,0.18055555555555555,0.02893518518518519,-0.10532407407407407,0.10108024691358027
Arc,0.18055555555555555,0.12222222222222223,0.1388888888888889,0.044444444444444446
PP1,-0.1388888888888889,0.16944444444444445,0.04722222222222222,-0.15
TRFH,-0.13333333333333336,0.16666666666666666,0.06944444444444445,0.0462962962962963
WW,-0.15,0.05,0.03981481481481482,-0.017283950617283952
USP7,-0.1472222222222222,0.02962962962962963,0.01759259259259259,-0.1382716049382716
SH2,0.13425925925925924,-0.019675925925925927,-0.11921296296296297,-0.047067901234567895
MAPK,0.11728395061728394,0.046296296296296294,-0.047839506172839504,-0.019547325102880656
BIR,0.04938271604938271,0.06172839506172839,-0.09876543209876543,0.01646090534979423
LIR,-0.06944444444444445,0.054629629629629625,-0.019444444444444445,0.0537037037037037
