ELM,n_with,n_without,u_stat,pvalue,cliff_delta,n_pairs,mean_with,mean_without,median_with,median_without,phenotype,qvalue,sig_stars
14-3-3,1,10,197.0,0.7195672078670493,0.09444444444444444,360,0.10704650215843554,-0.1986603454639603,-2.840396451831125,-2.9493441112312873,Naive_High,0.8503976092974219,
Actin,2,9,320.0,0.9535988436095455,-0.012345679012345678,648,-2.4134875904353232,0.3274909142654978,-3.9328332649861784,-2.822232219574368,Naive_High,0.9917427973539273,
Arc,1,10,212.0,0.4918613248200768,0.17777777777777778,360,2.646649249294458,-0.45262062017756277,1.103718008077275,-3.671738483390894,Naive_High,0.7992746528326248,
BIR,2,9,324.0,1.0,0.0,648,0.2000366815030279,-0.2532922572763583,-5.226540738061617,-2.446066595442759,Naive_High,1.0,
BRCT,2,9,332.0,0.9007700297903631,0.024691358024691357,648,4.5913734482010105,-1.229144872098132,-5.520723322833369,-2.446066595442759,Naive_High,0.9758341989395601,
CYCLIN,2,9,394.0,0.2479068866137153,0.21604938271604937,648,1.2577017502000298,-0.48832893920902537,-0.2687940745075093,-4.2738314277381,Naive_High,0.5396952558391422,
Clathr,2,9,387.0,0.2987711472735993,0.19444444444444445,648,0.18539063940909806,-0.25003758125548514,-0.9899911890225713,-4.8451445286539325,Naive_High,0.5523186843123384,
FHA,3,8,474.0,0.5501676037467463,0.09722222222222222,864,-1.5210801347369618,0.33546043146621446,-1.681702987053527,-4.8451445286539325,Naive_High,0.841432805730318,
IRF7,1,10,197.0,0.7195672078670493,0.09444444444444444,360,0.10704650215843554,-0.1986603454639603,-2.840396451831125,-2.9493441112312873,Naive_High,0.8503976092974219,
LIR,6,5,509.0,0.6944874438682855,-0.05740740740740741,1080,-1.557946147837895,1.4936239869092398,-3.671738483390894,-2.446066595442759,Naive_High,0.8503976092974219,
MAPK,2,9,402.0,0.19758951661576807,0.24074074074074073,648,5.649038516898011,-1.464181554030799,0.4966476752861191,-4.2738314277381,Naive_High,0.5396952558391422,
MSH2,1,10,226.0,0.3186453947955799,0.25555555555555554,360,0.26373477665976075,-0.21432917291409279,0.029371382906977384,-4.8451445286539325,Naive_High,0.5523186843123384,
PDZ,2,9,315.0,0.8876220303258113,-0.027777777777777776,648,-3.8193080679527003,0.6398954648249144,-2.894847844135188,-2.9493441112312873,Naive_High,0.9758341989395601,
PP1,1,10,163.0,0.7195672078670493,-0.09444444444444444,360,0.2930268608476208,-0.21725838133287897,-5.520723322833369,-2.446066595442759,Naive_High,0.8503976092974219,
PP2B,1,10,25.0,8.43727046794207e-05,-0.8611111111111112,360,-21.30956206048921,1.9430005108008042,-20.637275291473053,-1.8827579756701673,Naive_High,0.0010968451608324692,**
PP4,1,10,233.0,0.24850292929351625,0.29444444444444445,360,2.408356998241624,-0.4287913950722792,0.4966476752861191,-4.2738314277381,Naive_High,0.5396952558391422,
Pex14,2,9,252.0,0.23455828168553128,-0.2222222222222222,648,-3.8046620258587693,0.6366407888040413,-6.735918281314521,-1.681702987053527,Naive_High,0.5396952558391422,
REV1ctd,1,10,205.0,0.5934932773906861,0.1388888888888889,360,8.889720035554397,-1.076927698803557,-1.2768383943292418,-2.9493441112312873,Naive_High,0.8503976092974219,
SH2,8,3,502.0,0.31699721226187294,0.16203703703703703,864,1.7968748575589946,-5.4181852709843765,-2.2834829907942646,-4.344755050552337,Naive_High,0.5523186843123384,
SH3,1,10,25.0,8.43727046794207e-05,-0.8611111111111112,360,-21.30956206048921,1.9430005108008042,-20.637275291473053,-1.8827579756701673,Naive_High,0.0010968451608324692,**
SUMO,3,8,520.0,0.2077385896172318,0.2037037037037037,864,3.0868337714575316,-1.3925072833567202,-0.9899911890225713,-4.8451445286539325,Naive_High,0.5396952558391422,
TRFH,1,10,125.0,0.23051142405981112,-0.3055555555555556,360,-7.902350912565161,0.602279396008399,-7.721711657691271,-2.1563710991373455,Naive_High,0.5396952558391422,
UBA3,2,9,394.0,0.2479068866137153,0.21604938271604937,648,1.2577017502000298,-0.48832893920902537,-0.2687940745075093,-4.2738314277381,Naive_High,0.5396952558391422,
USP7,6,5,450.0,0.24909011807960413,-0.16666666666666666,1080,-2.358408803527009,2.4541791737361773,-4.589280332334724,-0.2687940745075093,Naive_High,0.5396952558391422,
WD40,6,5,673.0,0.08795089908920736,0.2462962962962963,1080,1.3623608322804448,-2.010744389232768,-0.2687940745075093,-5.520723322833369,Naive_High,0.5396952558391422,
WW,5,6,440.0,0.20007422659632257,-0.18518518518518517,1080,-3.0534373379927775,2.231271622913787,-6.253939587509802,-1.681702987053527,Naive_High,0.5396952558391422,
14-3-3,1,10,245.0,0.15377228095366646,0.3611111111111111,360,11.380889247660136,-0.6317215267201715,9.59532306574788,-2.3452756987371046,Naive_Low,0.44831437716808975,
Actin,2,9,417.0,0.124090946165176,0.28703703703703703,648,7.014499670821768,-0.9961472623539019,6.890188134282186,-2.587892354998737,Naive_Low,0.44831437716808975,
Arc,1,10,213.0,0.4781039734106894,0.18333333333333332,360,5.278585713044147,-0.021491173258572728,9.268680089568655,-2.3452756987371046,Naive_Low,0.727575876001359,
BIR,2,9,356.0,0.6004925014988185,0.09876543209876543,648,3.5685563526713473,-0.23038208054269674,-2.3712027694947935,-2.061964853987589,Naive_Low,0.727575876001359,
BRCT,2,9,268.0,0.3561655801176079,-0.1728395061728395,648,-3.1926276524470487,1.2721032539280572,-6.864686802872466,-1.2690903851401658,Naive_Low,0.727575876001359,
CYCLIN,2,9,410.0,0.1551857459428003,0.2654320987654321,648,5.713731538456194,-0.7070876773837741,1.590817089366118,-2.5886679686882257,Naive_Low,0.44831437716808975,
Clathr,2,9,415.0,0.13243297071413238,0.2808641975308642,648,5.574804084540173,-0.6762149098468809,0.8577064349140846,-2.869367188122755,Naive_Low,0.44831437716808975,
FHA,3,8,551.0,0.08798199051398176,0.27546296296296297,864,4.59923942102125,-1.091755535325666,0.8577064349140846,-3.6520634858731285,Naive_Low,0.44831437716808975,
IRF7,1,10,245.0,0.15377228095366646,0.3611111111111111,360,11.380889247660136,-0.6317215267201715,9.59532306574788,-2.3452756987371046,Naive_Low,0.44831437716808975,
LIR,6,5,496.0,0.5753540267954783,-0.08148148148148149,1080,-1.105589912512588,2.3394426911067896,-2.3452756987371046,-0.9103300797918905,Naive_Low,0.727575876001359,
MAPK,2,9,322.0,0.9801046296817344,-0.006172839506172839,648,-1.0474524666622005,0.79539765708698,-2.304581510249222,-1.963084338028115,Naive_Low,0.9801046296817344,
MSH2,1,10,206.0,0.5784332668917544,0.14444444444444443,360,-0.2312810785797873,0.5294955059038211,-0.5305656964414409,-2.8260426746014984,Naive_Low,0.727575876001359,
PDZ,2,9,357.0,0.5889780524306747,0.10185185185185185,648,1.2332589812211936,0.28857289089067023,-1.2690903851401658,-2.8260426746014984,Naive_Low,0.727575876001359,
PP1,1,10,147.0,0.4781039734106894,-0.18333333333333332,360,-4.243776542317442,0.9307450522775861,-6.864686802872466,-1.5749429454784396,Naive_Low,0.727575876001359,
PP2B,1,10,80.0,0.023678991553132214,-0.5555555555555556,360,-11.444466168514033,1.6508140148972454,-14.168533922466995,-1.4760624295189655,Naive_Low,0.3078268901907188,
PP4,1,10,201.0,0.6553630135068528,0.11666666666666667,360,0.04657382925225358,0.5017100151206166,-0.7238089178586166,-2.3452756987371046,Naive_Low,0.727575876001359,
Pex14,2,9,298.0,0.6716085009243313,-0.08024691358024691,648,-0.7729887506476336,0.7344057201948543,-6.864686802872466,-1.5749429454784396,Naive_Low,0.727575876001359,
REV1ctd,1,10,157.0,0.624113415229227,-0.12777777777777777,360,-2.141478762576654,0.7205152743035075,-7.596110044107467,-1.6850154436269595,Naive_Low,0.727575876001359,
SH2,8,3,478.0,0.5124032286971218,0.10648148148148148,864,1.3978725758345067,-2.039768875405878,-1.963084338028115,-2.304581510249222,Naive_Low,0.727575876001359,
