ELM,contrast,effect_low,effect_high,diff,pvalue,qvalue
14-3-3,PD1Low_vs_PD1High,0.1796296296296296,-0.21666666666666667,0.39629629629629626,0.7735768990396171,1.0
Actin,PD1Low_vs_PD1High,-0.04732510288065844,-0.04423868312757201,-0.0030864197530864335,0.744545676991056,1.0
Arc,PD1Low_vs_PD1High,0.044444444444444446,0.25,-0.20555555555555555,1.0,1.0
BIR,PD1Low_vs_PD1High,0.01646090534979423,-0.008230452674897118,0.02469135802469135,1.0,1.0
BRCT,PD1Low_vs_PD1High,-0.2006172839506173,0.12037037037037036,-0.32098765432098764,0.32899170429457414,1.0
CYCLIN,PD1Low_vs_PD1High,0.19753086419753085,-0.03189300411522634,0.22942386831275718,0.9311144756568017,1.0
Clathr,PD1Low_vs_PD1High,0.25205761316872427,-0.05041152263374485,0.30246913580246915,0.5118277315542934,1.0
FHA,PD1Low_vs_PD1High,0.0787037037037037,0.019290123456790122,0.05941358024691358,0.5278919430838905,1.0
IRF7,PD1Low_vs_PD1High,0.1796296296296296,-0.21666666666666667,0.39629629629629626,0.7735768990396171,1.0
LIR,PD1Low_vs_PD1High,0.0537037037037037,-0.07654320987654321,0.13024691358024693,0.5571002441443871,1.0
MAPK,PD1Low_vs_PD1High,-0.019547325102880656,0.09670781893004114,-0.1162551440329218,1.0,1.0
MSH2,PD1Low_vs_PD1High,0.2740740740740741,0.1259259259259259,0.14814814814814817,1.0,1.0
PDZ,PD1Low_vs_PD1High,0.17798353909465017,0.0823045267489712,0.09567901234567898,1.0,1.0
PP1,PD1Low_vs_PD1High,-0.15,0.20185185185185187,-0.35185185185185186,0.5842411158381544,1.0
PP2B,PD1Low_vs_PD1High,-0.10740740740740744,-0.5148148148148148,0.4074074074074074,0.0005062362280765242,0.006581070964994815
PP4,PD1Low_vs_PD1High,0.17592592592592593,0.15925925925925927,0.016666666666666663,1.0,1.0
Pex14,PD1Low_vs_PD1High,-0.05761316872427983,0.12448559670781893,-0.18209876543209877,0.4939749469858985,1.0
REV1ctd,PD1Low_vs_PD1High,-0.2111111111111111,0.014814814814814817,-0.22592592592592592,1.0,1.0
SH2,PD1Low_vs_PD1High,-0.047067901234567895,0.043981481481481476,-0.09104938271604937,1.0,1.0
SH3,PD1Low_vs_PD1High,-0.10740740740740744,-0.5148148148148148,0.4074074074074074,0.0005062362280765242,0.006581070964994815
SUMO,PD1Low_vs_PD1High,0.10108024691358027,-0.031635802469135804,0.13271604938271608,1.0,1.0
TRFH,PD1Low_vs_PD1High,0.0462962962962963,0.02222222222222221,0.02407407407407409,1.0,1.0
UBA3,PD1Low_vs_PD1High,0.19753086419753085,-0.03189300411522634,0.22942386831275718,0.9311144756568017,1.0
USP7,PD1Low_vs_PD1High,-0.1382716049382716,0.07160493827160494,-0.20987654320987653,0.9284242156815965,1.0
WD40,PD1Low_vs_PD1High,0.033333333333333326,0.21728395061728398,-0.18395061728395065,0.37660007533565354,1.0
WW,PD1Low_vs_PD1High,-0.017283950617283952,-0.022839506172839502,0.00555555555555555,1.0,1.0
