motif,contrast,EM_coef,CM_coef,logFC,se,zscore,pvalue,Naive_coef,Low_coef,High_coef,qvalue
FHA,EM_vs_CM,-1.346872909171031,-0.7631058053440042,-0.5837671038270268,0.6759276876264937,-0.8636531902945315,0.3877784352284688,,,,0.4524081744332136
LIR,EM_vs_CM,-0.6606879653962874,0.031757736925467385,-0.6924457023217547,0.5829050400500242,-1.187921967980119,0.23486415392425675,,,,0.4524081744332136
SH2,EM_vs_CM,-1.2945501892282065,-0.30069687272723966,-0.9938533165009669,0.7732427450787691,-1.2853057113387136,0.19868547515355106,,,,0.4524081744332136
SUMO,EM_vs_CM,-0.10700758617122313,-0.856863599220173,0.7498560130489498,0.8346317395933209,0.8984273871663704,0.3689577410379229,,,,0.4524081744332136
USP7,EM_vs_CM,-0.11875858815352143,-0.13535302617083161,0.016594438017310184,0.40720732082905,0.040751816503507086,0.967493752280848,,,,0.9674937522808479
WD40,EM_vs_CM,0.2963500045366753,0.9402013691211519,-0.6438513645844766,0.4304406716951318,-1.4957958365061217,0.13470686667248963,,,,0.4524081744332136
WW,EM_vs_CM,-1.118538860512251,-0.4760415011389769,-0.6424973593732741,0.6656520299580502,-0.9652150529966306,0.33443710884384137,,,,0.4524081744332136
FHA,Naive_vs_CM,,-0.7631058053440042,-0.8122013676218934,0.5735933930554763,-1.4159880107673062,0.15677901475044884,-1.5753071729658976,,,0.1829088505421903
LIR,Naive_vs_CM,,0.031757736925467385,-1.860231740439875,0.49470132279294743,-3.760312848846894,0.00016970099423088832,-1.8284740035144076,,,0.0005939534798081092
SH2,Naive_vs_CM,,-0.30069687272723966,-1.3854435170608537,0.6562115027026958,-2.1112758788206505,0.03474860608764239,-1.6861403897880933,,,0.04864804852269934
SUMO,Naive_vs_CM,,-0.856863599220173,2.7868949402145518,0.7082883915641824,3.934689560646306,8.330429938790654e-05,1.9300313409943788,,,0.0005831300957153458
USP7,Naive_vs_CM,,-0.13535302617083161,0.3093147340502279,0.3455983732092935,0.8950121239804207,0.3707806069687093,0.1739617078793963,,,0.3707806069687093
WD40,Naive_vs_CM,,0.9402013691211519,-1.0219840228894033,0.36528925630663667,-2.7977390663565367,0.005146166785883783,-0.08178265376825138,,,0.009794640054997129
WW,Naive_vs_CM,,-0.4760415011389769,-1.5652045906087566,0.5649527300246175,-2.770505402355616,0.005596937174284073,-2.0412460917477335,,,0.009794640054997129
FHA,Naive_vs_EM,-1.346872909171031,,-0.22843426379486664,0.6844087103116433,-0.3337687851617929,0.7385540397926225,-1.5753071729658976,,,0.7385540397926225
LIR,Naive_vs_EM,-0.6606879653962874,,-1.1677860381181202,0.5902488488654724,-1.9784638976640823,0.047876397481582116,-1.8284740035144076,,,0.1675673911855374
SH2,Naive_vs_EM,-1.2945501892282065,,-0.3915902005598868,0.7829010708607332,-0.5001783943523881,0.6169494701227001,-1.6861403897880933,,,0.7197743818098168
SUMO,Naive_vs_EM,-0.10700758617122313,,2.037038927165602,0.8450072031292931,2.4106764056233945,0.01592296896118838,1.9300313409943788,,,0.11146078272831866
USP7,Naive_vs_EM,-0.11875858815352143,,0.2927202960329177,0.41234830147774565,0.7098860234997616,0.47777481821195045,0.1739617078793963,,,0.6688847454967306
WD40,Naive_vs_EM,0.2963500045366753,,-0.3781326583049267,0.43574544706089874,-0.8677833832927686,0.3855129283304546,-0.08178265376825138,,,0.6688847454967306
WW,Naive_vs_EM,-1.118538860512251,,-0.9227072312354825,0.6740089394967337,-1.3689836694516928,0.17100437968704751,-2.0412460917477335,,,0.39901021926977753
FHA,PD1Low_vs_PD1High,,,0.08568233440902007,0.5605313486249288,0.15285913021495096,0.8785093664224599,,-1.2737436998134724,-1.3594260342224924,0.9740724948233606
LIR,PD1Low_vs_PD1High,,,0.18174975143631866,0.48341558528146034,0.375969987253303,0.7069392085504524,,-0.9538075156622279,-1.1355572670985465,0.9740724948233606
SH2,PD1Low_vs_PD1High,,,-1.2969866012024696,0.6412001240919023,-2.0227485187082936,0.04309908183619735,,-1.847385573709817,-0.5503989725073476,0.15084678642669072
SUMO,PD1Low_vs_PD1High,,,0.30113986962394407,0.6920670478876731,0.4351310621464829,0.6634672979257936,,0.7380202597600529,0.43688039013610885,0.9740724948233606
USP7,PD1Low_vs_PD1High,,,-0.7229408257663317,0.3377113371873049,-2.140706414500283,0.032297720914779574,,-0.35773693136591606,0.3652038944004156,0.15084678642669072
WD40,PD1Low_vs_PD1High,,,-0.20201186739953017,0.3568804181209496,-0.5660491782181972,0.5713603500543721,,0.16075001853194085,0.362761885931471,0.9740724948233606
WW,PD1Low_vs_PD1High,,,-0.01794073719369993,0.55200519239083,-0.03250102977473,0.9740724948233606,,-1.3221412880704952,-1.3042005508767953,0.9740724948233606
