motif,contrast,log_effect,logFC,pvalue,qvalue,neglog10_q
PP4,CM-Naïve pooled_PD1,-0.14142523875824162,-0.20403349061305281,1.970914739365041e-11,6.898201587777644e-10,9.161264118292749
PP2B,CM-Naïve pooled_PD1,0.36144294370175933,0.521451942442837,1.6806593058829694e-10,2.9411537852951965e-09,8.531482266768354
PDZ,CM-Naïve pooled_PD1,-0.10571918084760568,-0.15252053793568418,1.8123054894719387e-07,2.1143564043839286e-06,5.6748218044406125
TRAF4,CM-Naïve pooled_PD1,-0.13305405561577674,-0.19195642620704545,0.0002546619549285449,0.0022282921056247683,2.6520278783342106
MAPK,CM-Naïve pooled_PD1,0.06090918056785556,0.08787337274985564,0.019246983451756353,0.13472888416229448,0.8705392870718124
TYR,CM-Naïve pooled_PD1,0.09822979087864117,0.14171563216817556,0.03426579162838279,0.18610443863998083,0.7302432687076916
TRAF2like,CM-Naïve pooled_PD1,-0.08977462117351874,-0.12951740076472082,0.037220887727996164,0.18610443863998083,0.7302432687076916
PP2A,CM-Naïve pooled_PD1,0.07139868991943826,0.1030065358727424,0.06931543932551296,0.2735263972179358,0.5630007548410328
UBA3,CM-Naïve pooled_PD1,-0.08307985109801683,-0.11985888917690238,0.07033535928461207,0.2735263972179358,0.5630007548410328
FHA,CM-Naïve pooled_PD1,0.04541033512165796,0.06551326528512186,0.10018716915501079,0.3374147059193301,0.47183599299634515
CYCLIN,CM-Naïve pooled_PD1,0.03554114215297489,0.05127502953162657,0.10604462186036089,0.3374147059193301,0.47183599299634515
APCC,CM-Naïve pooled_PD1,-0.07469475452618879,-0.10776175193535102,0.13774187304730395,0.40174712972130316,0.39604721736649096
BIR,CM-Naïve pooled_PD1,0.038009363421479855,0.05483592011551535,0.17687883424788298,0.46938243592040124,0.3284731655375232
BRCT,CM-Naïve pooled_PD1,0.04063131335678011,0.05861859428463216,0.18775297436816052,0.46938243592040124,0.3284731655375232
REV1ctd,CM-Naïve pooled_PD1,0.09809285698626925,0.14151807832072097,0.20492543460587687,0.4781593474137127,0.320427349894002
SH3,CM-Naïve pooled_PD1,-0.05049656100930211,-0.07285113815006715,0.2320500084760887,0.5076093935414441,0.29447034968712915
USP7,CM-Naïve pooled_PD1,-0.02756358837395395,-0.03976585225620805,0.3240216776773732,0.6143335159339346,0.21159579041362975
PCNA,CM-Naïve pooled_PD1,0.06892957666557517,0.09944435842600091,0.3282713939398151,0.6143335159339346,0.21159579041362975
Pex14,CM-Naïve pooled_PD1,0.02820850756252305,0.040696273971330826,0.36254477455531764,0.6143335159339346,0.21159579041362975
MSH2,CM-Naïve pooled_PD1,-0.10723862651104865,-0.15471263465923363,0.3679155864521967,0.6143335159339346,0.21159579041362975
NRP,CM-Naïve pooled_PD1,0.07396509796587862,0.10670908003423944,0.3686001095603607,0.6143335159339346,0.21159579041362975
CKS1,CM-Naïve pooled_PD1,0.06184306560837824,0.0892206840665781,0.4105966199266191,0.6488135742381506,0.18788007255297987
Arc,CM-Naïve pooled_PD1,0.04423502667690468,0.06381765362036139,0.42636320592792754,0.6488135742381506,0.18788007255297987
PP1,CM-Naïve pooled_PD1,0.014001125021488162,0.020199353635367352,0.45757204235291404,0.6672925617646662,0.17568371615412137
WW,CM-Naïve pooled_PD1,-0.018938604204703946,-0.027322630367485255,0.512085522386551,0.7169197313411715,0.14452946662935287
WRC,CM-Naïve pooled_PD1,-0.043308566037340235,-0.062481053450082945,0.5541331409324886,0.7459484589475808,0.12729117891868047
SUMO,CM-Naïve pooled_PD1,-0.03090834565474379,-0.04459131699818081,0.5890777864874077,0.7636193528540471,0.11712307355860069
WD40,CM-Naïve pooled_PD1,-0.013153555551919549,-0.018976569364811825,0.6346046507745646,0.7730904362433036,0.11176969927173057
TRAF6,CM-Naïve pooled_PD1,0.04376448974475508,0.06313881232179405,0.647798986808003,0.7730904362433036,0.11176969927173057
NRBOX,CM-Naïve pooled_PD1,-0.025081139917611434,-0.03618443617898024,0.6626489453514031,0.7730904362433036,0.11176969927173057
LIR,CM-Naïve pooled_PD1,-0.009300616530275627,-0.013417953345438565,0.7528900201223031,0.8500371194929229,0.070562109063401
Actin,CM-Naïve pooled_PD1,-0.017053169312073346,-0.024602522797968072,0.7949009663661313,0.8694229319629561,0.06076890901103496
PTB,CM-Naïve pooled_PD1,0.014737291190046301,0.02126141691601641,0.8304511184095782,0.88078148922228,0.055131821208302116
SH2,CM-Naïve pooled_PD1,-0.0021836288874236276,-0.0031503105670279523,0.9166944256868378,0.943656026442333,0.025186282228561143
ELM_14_3_3,CM-Naïve pooled_PD1,-0.0007787210296083119,-0.0011234569676518594,0.9835673987545862,0.9835673987545862,0.007195874784512725
