motif,contrast,log_effect,logFC,pvalue,qvalue,neglog10_q
PDZ,EM-CM pooled_PD1,0.11289534308143206,0.16287355160304018,1.505460961843119e-08,5.269113366450917e-07,6.2782624573591885
BIR,EM-CM pooled_PD1,-0.09750283059698008,-0.14066685017489985,1.5533973055763103e-07,2.718445284758543e-06,5.56567940379399
PP1,EM-CM pooled_PD1,-0.1242269771051074,-0.17922164381416525,0.0009288653844352934,0.010836762818411755,1.9651004318257754
PP2B,EM-CM pooled_PD1,-0.3168414819059683,-0.4571056346936507,0.0014181640418730746,0.012408935366389403,1.906265477513052
SH3,EM-CM pooled_PD1,0.08544885407603481,0.1232766380251401,0.0043061172847656155,0.03014282099335931,1.5208161055542795
BRCT,EM-CM pooled_PD1,0.11517962453489405,0.16616907312794443,0.006472077561215335,0.03775378577375612,1.4230394928237764
TYR,EM-CM pooled_PD1,-0.1075882085969648,-0.15521697500096845,0.010989406661929896,0.054947033309649486,1.2600557509571442
Pex14,EM-CM pooled_PD1,-0.09062496524503547,-0.13074418793974735,0.012981467489091573,0.05679392026477563,1.245698152612577
TRAF2like,EM-CM pooled_PD1,-0.10179887193180934,-0.14686472770411202,0.02029733109792621,0.07893406538082415,1.1027355289317258
MAPK,EM-CM pooled_PD1,-0.03443566479490351,-0.04968016282932196,0.025331341528390502,0.08865969534936675,1.0522737653479435
WW,EM-CM pooled_PD1,-0.037241733187887885,-0.05372846378427578,0.028961493431224446,0.09215020637207778,1.0355036878333583
SUMO,EM-CM pooled_PD1,-0.08702951006378257,-0.12555704258001524,0.1112594480914553,0.3025363439103265,0.5192224457665591
TRAF6,EM-CM pooled_PD1,-0.11341932798297596,-0.16362950202199827,0.11864195371503716,0.3025363439103265,0.5192224457665591
SH2,EM-CM pooled_PD1,0.04342726040478037,0.06265229322537028,0.12101453756413062,0.3025363439103265,0.5192224457665591
USP7,EM-CM pooled_PD1,0.02834666784355322,0.040895597123620876,0.15254180037715348,0.35593086754669145,0.4486343468545662
WD40,EM-CM pooled_PD1,-0.032194670324350416,-0.04644709121999542,0.19662116347108793,0.43010879509300487,0.3664216766709573
CKS1,EM-CM pooled_PD1,-0.08892121453332227,-0.12828619523704768,0.2939599342720065,0.5661754351299157,0.24704897746289675
PCNA,EM-CM pooled_PD1,-0.05338154277444332,-0.07701328703569145,0.3081826970506202,0.5661754351299157,0.24704897746289675
UBA3,EM-CM pooled_PD1,0.028737200244815075,0.04145901628222782,0.311639789142261,0.5661754351299157,0.24704897746289675
WRC,EM-CM pooled_PD1,-0.054123944394101176,-0.07808434617071978,0.3367601887439722,0.5661754351299157,0.24704897746289675
PP4,EM-CM pooled_PD1,-0.023722806330095006,-0.034224775048397375,0.3397052610779494,0.5661754351299157,0.24704897746289675
Actin,EM-CM pooled_PD1,-0.0995804427438392,-0.14366421091606418,0.40059818690397264,0.6373152973472291,0.19564565711442752
NRP,EM-CM pooled_PD1,-0.04706530290879911,-0.06790087910446138,0.44285099421591656,0.6644507767322146,0.1775371865578055
ELM_14_3_3,EM-CM pooled_PD1,0.021978577397337273,0.03170838461693275,0.4556233897592329,0.6644507767322146,0.1775371865578055
FHA,EM-CM pooled_PD1,-0.008858586527189627,-0.01278023885206226,0.5419321268697871,0.7540193941609099,0.12261748348202686
REV1ctd,EM-CM pooled_PD1,0.051329505793809155,0.07405282346000978,0.5666789264740975,0.7540193941609099,0.12261748348202686
PTB,EM-CM pooled_PD1,-0.04345794271821786,-0.06269655844680955,0.5816721040669877,0.7540193941609099,0.12261748348202686
MSH2,EM-CM pooled_PD1,0.019677891421108706,0.02838919636838501,0.6055268179628784,0.7569085224535981,0.12095660477236449
LIR,EM-CM pooled_PD1,-0.011608851672023707,-0.016748032737644154,0.6393347686271522,0.7716109276534596,0.11260163045014371
PP2A,EM-CM pooled_PD1,-0.009407467470594733,-0.013572106667151262,0.8161172915057464,0.9138295788873168,0.039134788784536724
CYCLIN,EM-CM pooled_PD1,-0.006716161216593623,-0.009689372480990407,0.831760355308654,0.9138295788873168,0.039134788784536724
NRBOX,EM-CM pooled_PD1,0.012124423957361782,0.017491846316921186,0.8427697310978219,0.9138295788873168,0.039134788784536724
APCC,EM-CM pooled_PD1,0.0072201898173555185,0.010416532043775798,0.881043990075578,0.9138295788873168,0.039134788784536724
TRAF4,EM-CM pooled_PD1,-0.012005726420884821,-0.017320601969680136,0.8877201623476791,0.9138295788873168,0.039134788784536724
Arc,EM-CM pooled_PD1,-0.0011379221583260601,-0.0016416746547346728,0.9815086138791747,0.9815086138791745,0.008105884608266788
