motif,contrast,log_effect,logFC,pvalue,qvalue,neglog10_q
PP4,EM-Naïve pooled_PD1,-0.16514804508833664,-0.2382582656614502,6.599129309977412e-08,2.309695258492094e-06,5.636445317201312
PP1,EM-Naïve pooled_PD1,-0.11022585208361925,-0.1590222901787979,1.989197533416969e-05,0.0003481095683479696,3.458284039273558
REV1ctd,EM-Naïve pooled_PD1,0.14942236278007842,0.21557090178073077,0.00019302498400216914,0.0022519581466919733,2.6474396852370474
BRCT,EM-Naïve pooled_PD1,0.15581093789167416,0.2247876674125766,0.0010259575249709936,0.008977128343496194,2.0468625657852817
SUMO,EM-Naïve pooled_PD1,-0.11793785571852636,-0.17014835957819605,0.0014149014376831277,0.009904310063781892,2.004175772112156
SH2,EM-Naïve pooled_PD1,0.041243631517356744,0.05950198265834233,0.003988879822985759,0.023268465634083597,1.6332322539552537
TRAF2like,EM-Naïve pooled_PD1,-0.19157349310532806,-0.2763821284688328,0.0064429758631974485,0.032214879315987245,1.4919434912770937
Pex14,EM-Naïve pooled_PD1,-0.062416457682512416,-0.09004791396841651,0.010941987583939319,0.047871195679734524,1.3199257250013232
BIR,EM-Naïve pooled_PD1,-0.05949346717550022,-0.0858309300593845,0.044234906537446814,0.154270554939128,0.8117169582386112
WW,EM-Naïve pooled_PD1,-0.05618033739259183,-0.08105109415176104,0.04674516533666849,0.154270554939128,0.8117169582386112
APCC,EM-Naïve pooled_PD1,-0.06747456470883326,-0.0973452198915752,0.04848503155229737,0.154270554939128,0.8117169582386112
FHA,EM-Naïve pooled_PD1,0.03655174859446833,0.0527330264330596,0.06850496721498511,0.17466870210867663,0.7577849068041654
TRAF4,EM-Naïve pooled_PD1,-0.14505978203666156,-0.20927702817672558,0.06874714199257939,0.17466870210867663,0.7577849068041654
ELM_14_3_3,EM-Naïve pooled_PD1,0.02119985636772896,0.030584927649280887,0.06986748084347065,0.17466870210867663,0.7577849068041654
Arc,EM-Naïve pooled_PD1,0.04309710451857862,0.06217597896562672,0.09231407309457035,0.20803101266206206,0.6818719168448312
PP2A,EM-Naïve pooled_PD1,0.06199122244884353,0.08943442920559115,0.09664944170256387,0.20803101266206206,0.6818719168448312
SH3,EM-Naïve pooled_PD1,0.0349522930667327,0.050425499875072964,0.101043634721573,0.20803101266206206,0.6818719168448312
Actin,EM-Naïve pooled_PD1,-0.11663361205591255,-0.16826673371403225,0.12713434021891964,0.2472056615367882,0.6069415871996037
WD40,EM-Naïve pooled_PD1,-0.045348225876269965,-0.06542366058480725,0.19034645181199317,0.3506382007063032,0.45514077092279664
MAPK,EM-Naïve pooled_PD1,0.026473515772952056,0.03819320992053368,0.2318432720428255,0.40572572607494467,0.3917674538727863
LIR,EM-Naïve pooled_PD1,-0.02090946820229933,-0.030165986083082713,0.2501526699447939,0.4169211165746565,0.37994610780102195
WRC,EM-Naïve pooled_PD1,-0.0974325104314413,-0.14056539962080256,0.26389567404760106,0.41983402689391075,0.3769223654358692
UBA3,EM-Naïve pooled_PD1,-0.05434265085320175,-0.07839987289467457,0.28313699807809345,0.4308606492492726,0.36566316846509517
CKS1,EM-Naïve pooled_PD1,-0.027078148924944034,-0.03906551117046957,0.35643233858017576,0.4892422033225667,0.31047608663259135
CYCLIN,EM-Naïve pooled_PD1,0.028824980936381257,0.04158565705063615,0.3577180565281588,0.4892422033225667,0.31047608663259135
MSH2,EM-Naïve pooled_PD1,-0.08756073508993993,-0.12632343829084858,0.36343706532533526,0.4892422033225667,0.31047608663259135
TRAF6,EM-Naïve pooled_PD1,-0.06965483823822088,-0.10049068970020421,0.4196333313050157,0.5439691331731685,0.26442574308287264
PTB,EM-Naïve pooled_PD1,-0.028720651528171555,-0.04143514153079313,0.4646771243315332,0.5808464054144166,0.23593869394307587
PP2B,EM-Naïve pooled_PD1,0.04460146179579105,0.06434630774918632,0.6918463764108216,0.8016748477255198,0.09600174202986976
TYR,EM-Naïve pooled_PD1,-0.009358417718323624,-0.0135013428327929,0.6994143334528176,0.8016748477255198,0.09600174202986976
PCNA,EM-Naïve pooled_PD1,0.015548033891131852,0.022431071390309455,0.7318668544575643,0.8016748477255198,0.09600174202986976
NRP,EM-Naïve pooled_PD1,0.026899795057079512,0.03880820092977806,0.7377214271783807,0.8016748477255198,0.09600174202986976
PDZ,EM-Naïve pooled_PD1,0.007176162233826389,0.010353013667355996,0.7558648564269186,0.8016748477255198,0.09600174202986976
NRBOX,EM-Naïve pooled_PD1,-0.012956715960249651,-0.018692589862059055,0.8941778044736365,0.9204771516640375,0.03598698720275052
USP7,EM-Naïve pooled_PD1,0.0007830794695992682,0.001129744867412824,0.9817419466689238,0.9817419466689239,0.008002652605639394
