motif,contrast,log_effect,se_log_effect,z,logFC,pvalue,qvalue,neglog10_q
CSL,PD1Low-PD1High pooled_Tsubset,0.17861010135065813,0.019474718518034916,9.171382948885912,0.2576799074712696,4.6698896727712545e-20,2.288245939657915e-18,17.640497299592234
ELM_14_3_3,PD1Low-PD1High pooled_Tsubset,-0.06696531391576843,0.008366354110591438,-8.004121392733458,-0.09661052629785181,1.203226497766257e-15,2.9479049195273296e-14,13.530486528136777
PTB,PD1Low-PD1High pooled_Tsubset,0.1743705414737515,0.0310110295237082,5.622855614659414,0.2515635154613046,1.8782638359370573e-08,3.067830932030527e-07,6.51316857800513
WW,PD1Low-PD1High pooled_Tsubset,-0.0483241557893825,0.015086545014194068,-3.203129394034026,-0.06971701991248783,0.0013594288608660317,0.012420006196692243,1.9058781874775887
SH3,PD1Low-PD1High pooled_Tsubset,-0.07410478928794961,0.023211798596541062,-3.1925483490535043,-0.10691061201184648,0.001410233335397852,0.012420006196692243,1.9058781874775887
GBD,PD1Low-PD1High pooled_Tsubset,0.14928333630686308,0.04727050154103556,3.15806542008593,0.2153703289772707,0.001588199124241524,0.012420006196692243,1.9058781874775887
CYCLIN,PD1Low-PD1High pooled_Tsubset,-0.0806181296308498,0.025792656819010693,-3.1256233197128234,-0.11630737582417061,0.0017742865995274634,0.012420006196692243,1.9058781874775887
WRC,PD1Low-PD1High pooled_Tsubset,-0.10006499932009438,0.032900108525281566,-3.0414793082886344,-0.14436327828565768,0.002354187454451102,0.014419398158513,1.841052865961348
PP2B,PD1Low-PD1High pooled_Tsubset,0.23132447115532884,0.08024088100159635,2.882875515171958,0.333730667372055,0.003940631356289103,0.021454548495351784,1.6684806206344809
FHA,PD1Low-PD1High pooled_Tsubset,-0.014108821071123934,0.005535818181986065,-2.548642424174084,-0.020354726192100214,0.010814311906465156,0.052990128341679266,1.2758050286265346
BIR,PD1Low-PD1High pooled_Tsubset,0.06895506617370417,0.027438068196028394,2.513116655336737,0.09948113201297332,0.011966975640745375,0.05330743694513849,1.2732121981229916
eIF4E,PD1Low-PD1High pooled_Tsubset,0.21385537874520558,0.09165319915662895,2.333310574132187,0.3085280943831391,0.019631850867480143,0.07827830149623641,1.1063586063509658
MAPK,PD1Low-PD1High pooled_Tsubset,0.08947279442528373,0.038696276659091415,2.312180968043155,0.12908195681183454,0.02076771264185864,0.07827830149623641,1.1063586063509658
Pex14,PD1Low-PD1High pooled_Tsubset,-0.04351735755984176,0.01909066523676358,-2.279509750977081,-0.06278227594417556,0.02263678099474378,0.07896843252683837,1.1025464823706366
DLG,PD1Low-PD1High pooled_Tsubset,0.1834859821072682,0.08139188246621651,2.2543523573549007,0.2647143164587969,0.024174009957195423,0.07896843252683837,1.1025464823706366
PDZ,PD1Low-PD1High pooled_Tsubset,-0.038186110927901085,0.017434818114478334,-2.190221353453084,-0.05509091286651875,0.02850818733209616,0.0873063237045445,1.0589542986709972
