motif,phenotype_p,phenotype_q,log_effect,pvalue,logFC,qvalue,neglog10_q
CYCLIN,EM_High,EM_Low,0.2090510762231207,3.573943203982581e-29,0.30159695095959693,1.2508801213939035e-27,26.90278430910096
PDZ,EM_High,EM_Low,0.12688049979333454,0.00010217565546032815,0.1830498678373569,0.0017880739705557426,2.747614518907167
PP2B,EM_High,EM_Low,-0.16788637127905592,0.00028677228562507657,-0.2422088352771373,0.0033456766656258935,2.4755160326263574
SH3,EM_High,EM_Low,0.1132810200947425,0.001412968534456512,0.16342996591752804,0.01236347467649448,1.9078594563705031
SH2,EM_High,EM_Low,-0.07417045420711543,0.0018150323076768543,-0.10700534646508739,0.01270522615373798,1.8960176000786788
TRAF6,EM_High,EM_Low,-0.19643121819572462,0.003993912224035382,-0.2833903443667498,0.02329782130687306,1.6326846900745409
TYR,EM_High,EM_Low,0.14890769193325343,0.008657134609881574,0.21482838870232623,0.04328567304940788,1.3636558252444997
APCC,EM_High,EM_Low,-0.09814219759236281,0.013862365411080485,-0.1415892617684466,0.060647848673477125,1.2171846000044746
Actin,EM_High,EM_Low,-0.2268419168227549,0.015633568996095373,-0.3272637084659352,0.06079721276259312,1.216116330424178
CKS1,EM_High,EM_Low,-0.3020149289210784,0.019347644513029498,-0.4357154402288726,0.0666027181627795,1.1765080462199837
PTB,EM_High,EM_Low,-0.21696010252861378,0.020932282851159275,-0.31300726398879214,0.0666027181627795,1.1765080462199837
NRBOX,EM_High,EM_Low,-0.22820560669898457,0.03200099659469197,-0.3292310970876823,0.09333624006785159,1.0299496981013232
PP4,EM_High,EM_Low,0.08021745079340722,0.05287261145598472,0.11572931845240304,0.14221218986083406,0.8470631760225739
SUMO,EM_High,EM_Low,-0.05852129504745218,0.05688487594433363,-0.08442838215135912,0.14221218986083406,0.8470631760225739
Pex14,EM_High,EM_Low,0.0567936065807626,0.10172200113959325,0.081935854568265,0.22922109633721433,0.6397454146225589
ELM_14_3_3,EM_High,EM_Low,0.044723889490728336,0.10478678689701226,0.0645229335775398,0.22922109633721433,0.6397454146225589
USP7,EM_High,EM_Low,0.02956532478988283,0.11516293818299102,0.04265374745663549,0.23710016684733445,0.6250681404087745
WD40,EM_High,EM_Low,0.03953718653855809,0.14000137513436933,0.057040102949879636,0.27222489609460704,0.565072159286682
REV1ctd,EM_High,EM_Low,0.09092948502445597,0.15132431451382797,0.1311835171153699,0.27875531620968313,0.5547768413302796
PP1,EM_High,EM_Low,-0.04186806756117356,0.167752549238406,-0.060402853442109175,0.2935669611672105,0.5322928227006306
PP2A,EM_High,EM_Low,-0.12422592707637758,0.19742784241790579,-0.17922012894292394,0.329046404029843,0.48274285100751907
WW,EM_High,EM_Low,0.022092386580863238,0.21207878574292527,0.031872576561613276,0.3373980682273811,0.47185740829280465
NRP,EM_High,EM_Low,-0.10514247273969954,0.27238449652091024,-0.15168852400836755,0.41449814687964603,0.3824774067343182
BIR,EM_High,EM_Low,-0.058472486251801264,0.3243351812899742,-0.08435796594392178,0.4548654772690888,0.3421170233821363
BRCT,EM_High,EM_Low,0.1026683344876117,0.32490391233506344,0.14811909702160675,0.4548654772690888,0.3421170233821363
TRAF4,EM_High,EM_Low,0.06029589297940752,0.4313234878018427,0.08698858578736289,0.5806277720409422,0.23610219524275922
UBA3,EM_High,EM_Low,0.04326690997466587,0.5308837326913073,0.06242095645503967,0.6827161738060428,0.1657598084248538
WRC,EM_High,EM_Low,0.08116665427358538,0.5461729390448342,0.11709872960605062,0.6827161738060428,0.1657598084248538
FHA,EM_High,EM_Low,0.00910058535122732,0.6948838604185124,0.013129369355402399,0.8249883358273038,0.08355219171873987
Arc,EM_High,EM_Low,0.022160847349908475,0.7247548557449389,0.03197134457361028,0.8249883358273038,0.08355219171873987
MAPK,EM_High,EM_Low,-0.014784586946671972,0.7307039545898977,-0.021329650269555356,0.8249883358273038,0.08355219171873987
MSH2,EM_High,EM_Low,-0.024611704713579652,0.7861763896588716,-0.03550718433810489,0.8598804261893909,0.06556193696182214
PCNA,EM_High,EM_Low,0.009154975633335782,0.8871151189380138,0.01320783794567283,0.9408796716009237,0.02646591461866062
LIR,EM_High,EM_Low,0.0015821885265428284,0.9499090271873321,0.0022826155409947546,0.9778475279869594,0.0097288578056297
TRAF2like,EM_High,EM_Low,-0.0005830447628383251,0.9877819215338172,-0.0008411557879631334,0.9877819215338172,0.005338926595155269
